#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,125,5813,69,6731,8709,3205,278,158,RED
2,1735,8567,3623,2877,1153,6324,179,195,BLUE
3,88,2713,5000,4311,4546,2084,227,207,RED
4,2876,8013,9729,2423,246,1474,228,169,RED
5,6731,8709,3205,1735,8567,3623,193,130,RED
6,4311,4546,2084,2423,246,1474,187,190,BLUE
7,125,5813,69,2877,1153,6324,246,205,RED
8,88,2713,5000,2876,8013,9729,178,229,BLUE
9,2877,1153,6324,2423,246,1474,213,205,RED
10,88,2713,5000,6731,8709,3205,221,184,RED
11,125,5813,69,2876,8013,9729,270,235,RED
12,88,2713,5000,2877,1153,6324,231,170,RED
13,2876,8013,9729,88,2713,5000,224,200,RED
14,125,5813,69,2876,8013,9729,276,224,RED
15,125,5813,69,2876,8013,9729,277,212,RED
