#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,1965,1153,663,1757,88,1474,103•,134•,BLUE,1,3.1666666666666665,16,8,0,2,0,3.2,17,13,0,2
2,2084,5563,97,2423,5813,4311,56•,158•,BLUE,0,1.0666666666666667,10,6,0,2,0,1.6,26,15,2,2
3,5347,2876,6367,3958,8567,9729,123•,104•,RED,1,0.1,22,8,1,2,0,2.0666666666666664,25,8,0,2
4,1761,5902,246,6731,3205,4546,79•,138•,BLUE,0,1.9666666666666668,20,6,0,2,1,0.06666666666666667,17,12,2,2
5,69,6324,2262,125,3623,8709,87•,169•,BLUE,1,1.0333333333333334,22,4,0,2,0,3.3,24,15,2,2
6,6201,8013,10022,2713,1119,1735,125•,136•,BLUE,0,3.2333333333333334,13,14,1,2,0,1.2,18,12,1,2
7,5000,1153,1761,2877,8567,97,110•,120•,BLUE,1,3.3,19,5,1,2,1,0.2333333333333333,16,11,1,2
8,6731,1757,5347,246,88,4546,76•,160,BLUE,0,1.1333333333333333,15,6,0,2,0,2.1333333333333333,31,9,2,1
9,3958,2713,1474,663,2876,3205,125•,127•,BLUE,0,1.2333333333333334,18,12,1,2,0,1.1333333333333335,25,11,1,2
10,8709,6201,6324,5813,5563,5000,92•,140•,BLUE,0,2.2,24,7,0,2,0,2.033333333333333,26,9,2,2
11,3623,2262,1965,69,8013,1735,85•,131•,BLUE,1,1.0333333333333334,23,3,0,2,0,3.166666666666667,21,14,0,2
12,2423,2084,125,10022,2877,6367,201•,77•,RED,1,2.2666666666666666,30,18,1,2,1,0.3,13,4,1,2
13,5902,9729,6731,4311,8709,1119,118•,121•,BLUE,1,1.0,18,11,0,2,0,0.26666666666666666,25,11,1,2
14,6324,5813,88,3623,1757,8013,174•,121•,RED,1,2.8666666666666663,25,12,3,2,1,3.3,17,8,1,2
15,4546,125,8567,1735,5563,663,199•,77•,RED,0,1.3,26,18,2,2,0,2.0,17,6,0,2
16,3205,5000,2877,2423,2262,9729,134•,113•,RED,1,1.6333333333333333,21,9,1,2,1,1.8666666666666667,19,9,0,2
17,1153,69,2876,2084,1474,5347,169•,99•,RED,0,1.9000000000000001,28,16,1,2,0,1.0666666666666667,26,7,0,2
18,2713,6201,4311,1965,246,6367,130•,80•,RED,0,1.0666666666666667,25,11,1,2,0,1.1666666666666667,23,4,0,2
19,5902,3958,97,1761,10022,1119,54,72•,BLUE,0,0.23333333333333334,13,4,0,0,0,2.0666666666666664,17,6,0,2
20,5813,1153,2877,1474,69,5563,202•,96•,RED,1,2.8,27,13,3,2,0,2.833333333333333,21,7,0,2
21,5000,4546,5347,8013,2713,125,101•,188•,BLUE,0,0.5,24,6,1,2,1,4.633333333333333,20,15,3,2
22,88,663,6201,6367,9729,6324,117•,76•,RED,0,2.1333333333333333,21,11,1,2,0,1.1,24,4,0,2
23,1965,2876,1119,2262,246,97,109•,76,RED,0,0.26666666666666666,18,10,1,2,0,1.0,22,5,0,1
24,10022,6731,1735,2084,3958,1761,102•,82•,RED,0,2.0,15,11,0,2,0,1.1666666666666667,26,3,0,2
25,8709,2423,3205,4311,5902,3623,135•,73•,RED,0,1.1,21,15,0,2,0,-0.033333333333333326,22,4,0,2
26,5347,8567,5563,1757,1965,2877,69,122•,BLUE,0,0.9333333333333333,21,4,0,1,1,1.4666666666666668,14,10,1,2
27,2876,1761,5813,2262,4546,663,118•,110•,RED,0,1.6333333333333333,15,10,2,2,0,1.1666666666666667,16,11,1,2
28,3958,6731,2423,3623,69,6201,156•,85•,RED,1,1.0666666666666667,21,15,1,2,0,2.7666666666666666,23,6,0,2
29,8567,8709,10022,2713,246,1153,140•,170••,BLUE,1,0.19999999999999998,26,9,1,2,0,3.0333333333333328,26,14,2,2
30,9729,1474,125,88,5902,8013,174•,173•,RED,0,3.1333333333333333,21,16,2,2,1,3.433333333333333,18,16,2,2
31,1757,1735,5000,2084,6367,1119,82•,80•,RED,0,1.5333333333333334,12,8,0,2,0,0.26666666666666666,15,9,0,2
32,4311,69,3205,97,6324,4546,117•,58•,RED,0,0.9333333333333333,27,11,0,2,0,1.2,13,3,1,2
33,2713,2876,8567,2877,8013,2423,161•,169•,BLUE,0,0.16666666666666666,25,16,1,2,1,2.4,17,18,1,2
34,9729,6201,5000,5813,1757,10022,103•,125•,BLUE,1,1.3,24,6,0,2,0,1.8333333333333333,18,10,2,2
35,5563,1119,3623,88,2084,3205,65•,129•,BLUE,0,0.9333333333333335,16,5,0,2,0,1.2,23,11,1,2
36,6324,3958,246,1153,1735,8709,90•,155•,BLUE,0,1.2,31,3,0,2,1,2.0666666666666664,21,12,1,2
37,663,5902,6367,5347,97,1965,50•,46•,RED,0,0.23333333333333334,11,5,0,2,0,0.16666666666666666,13,3,0,2
38,1761,1474,2262,125,6731,4311,66•,159•,BLUE,0,1.9,10,7,0,2,0,1.2333333333333334,27,11,2,2
39,246,8709,1757,8013,9729,2876,119,150•,BLUE,0,1.2666666666666666,23,9,1,1,0,3.233333333333333,19,15,1,2
40,5813,2713,2084,1153,6324,5347,212•,111•,RED,1,1.9,23,20,3,2,0,1.0333333333333334,29,6,1,2
41,6367,1761,3623,4546,2877,5563,72•,109•,BLUE,1,1.9,15,3,0,2,0,1.2,14,10,2,2
42,3205,8567,1735,6201,97,6731,116•,90•,RED,0,0.9666666666666667,21,13,0,2,0,0.9666666666666667,15,10,0,2
43,2262,4311,88,5000,663,3958,102•,59•,RED,0,1.0999999999999999,26,7,0,2,0,0.6666666666666666,17,3,0,2
44,1119,2423,5902,69,10022,1965,106•,66•,RED,1,1.0999999999999999,12,12,0,2,0,1.1,15,6,0,2
45,1474,97,8709,125,5347,6201,84•,88•,BLUE,0,0.16666666666666666,10,11,0,2,0,3.1666666666666665,16,4,1,2
46,9729,3205,1757,1735,4546,2084,90,153•,BLUE,0,1.0666666666666667,15,11,0,1,1,2.1333333333333337,29,13,0,2
47,6324,2423,2713,1965,1761,4311,177•,87•,RED,1,1.1666666666666665,24,17,1,2,1,1.0666666666666667,21,4,0,2
48,125,88,2876,8567,3623,1153,212•,131•,RED,0,2.3666666666666663,26,20,3,2,1,1.8333333333333335,29,7,0,2
49,2877,2262,5902,246,5813,6731,87•,157•,BLUE,1,0.26666666666666666,14,5,1,2,1,2.6333333333333333,30,9,1,2
50,3958,1119,69,6367,5000,1474,76,82•,BLUE,0,0.16666666666666669,16,7,0,1,0,2.466666666666667,22,5,0,2
51,5563,8013,8709,663,10022,2084,155•,88,RED,0,3.3666666666666667,21,15,2,2,0,0.23333333333333334,25,7,0,1
52,2876,3623,2877,3205,6201,1761,159•,53•,RED,1,2.1333333333333333,25,11,1,2,0,1.8666666666666667,9,5,0,2
53,8567,246,2423,1735,1474,5813,122•,164•,BLUE,0,1.9,25,11,0,2,1,3.6,18,12,2,2
54,6731,663,8013,1153,6367,4311,120•,103•,RED,0,1.3666666666666667,12,12,1,2,0,1.0,17,9,1,2
55,10022,88,2713,69,5347,5902,148•,72•,RED,0,1.2666666666666666,17,16,1,2,0,1.0,14,9,0,2
56,4546,1965,9729,6324,125,5000,110•,152•,BLUE,0,1.1333333333333333,23,10,1,2,1,1.7666666666666668,28,10,1,2
57,1119,97,1757,3958,2262,5563,60•,62•,BLUE,0,0.26666666666666666,10,7,0,2,0,1.0666666666666667,18,3,0,2
58,3623,6731,2084,8567,663,1474,100•,122•,BLUE,0,1.0,25,2,1,2,1,1.0666666666666667,24,10,0,2
59,9729,1735,88,1761,8709,69,138•,106•,RED,0,3.0,21,13,1,2,0,2.033333333333333,20,8,1,2
60,5563,125,246,6367,3205,2713,141••,127,RED,0,3.1333333333333337,29,10,0,2,0,0.2,16,11,1,1
61,8013,4546,5813,6201,1965,3958,205•,60•,RED,1,3.0,22,19,2,2,0,1.2,14,5,0,2
62,2877,4311,6324,2876,5000,5902,122•,106•,RED,0,0.3,28,7,1,2,0,0.5333333333333333,25,6,1,2
63,1119,1153,2262,10022,5347,2423,91•,75•,RED,0,1.0333333333333332,16,9,0,2,0,0.9666666666666667,14,9,0,2
64,97,2713,69,1757,2084,8567,142•,70•,RED,1,1.1,14,15,1,2,0,0.23333333333333334,12,8,0,2
65,3205,1965,8013,6731,6324,2876,129•,129•,TIE,0,1.4,15,14,1,2,1,0.13333333333333333,18,8,2,2
66,1735,6367,3958,8709,2877,88,61,194•,BLUE,0,1.1666666666666667,16,3,0,1,1,1.4666666666666666,21,16,3,2
67,5347,4311,663,1119,125,5813,84•,203••,BLUE,0,1.1,29,3,0,2,1,3.0,26,19,1,2
68,1474,10022,246,97,3623,9729,91•,71•,RED,0,1.9666666666666668,18,9,0,2,0,1.8666666666666667,18,6,0,2
69,4546,1757,1761,6201,2423,1153,117•,118•,BLUE,0,1.1333333333333333,19,10,1,2,1,2.8,19,9,1,2
70,2262,5000,6731,5902,5563,2713,103•,101•,RED,1,1.4333333333333333,18,4,1,2,1,1.1333333333333333,12,7,2,2
71,97,6367,125,8709,5813,3958,99•,92•,RED,0,1.3333333333333335,7,10,1,2,0,1.9666666666666666,15,6,1,2
72,1474,4546,3623,8567,1119,6324,133,96•,RED,0,0.9333333333333333,21,14,1,1,0,0.19999999999999998,24,8,0,2
73,663,2877,69,5902,3205,1153,105•,123,BLUE,0,2.2333333333333334,17,11,0,2,0,1.0,13,15,1,1
74,2423,1735,1761,8013,5347,2262,91•,83•,RED,0,1.8333333333333335,11,11,0,2,0,1.2666666666666666,16,5,1,2
75,246,2084,6201,88,5000,1965,92,125•,BLUE,0,2.0,26,6,0,1,1,2.6666666666666665,21,7,1,2
76,5563,9729,10022,2876,4311,1757,59•,156•,BLUE,0,1.9000000000000001,14,5,0,2,1,0.16666666666666666,27,13,1,2
