Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,125,12,0,0,12,38,3.1666666666666665,1985,60,56,616,799,190,24
2,5813,11,1,0,12,35,2.9166666666666665,1950,105,53,614,701,240,24
3,88,11,1,0,12,33,2.75,1806,60,48,594,694,180,23
4,2876,9,2,1,12,31,2.5833333333333335,1719,60,23,606,671,160,24
5,1735,10,2,0,12,31,2.5833333333333335,1406,45,46,484,617,50,23
6,2877,9,3,0,12,30,2.5,1600,135,26,496,560,160,24
7,2423,9,3,0,12,30,2.5,1621,105,34,506,716,70,24
8,2713,8,4,0,12,28,2.3333333333333335,1817,75,32,520,749,180,23
9,4311,8,4,0,12,28,2.3333333333333335,1412,30,16,654,464,90,24
10,6731,7,4,1,12,27,2.25,1448,90,24,506,534,110,24
11,8013,7,4,1,12,27,2.25,1749,75,61,466,740,160,24
12,1153,7,5,0,12,26,2.1666666666666665,1586,90,46,570,557,120,23
13,5000,7,5,0,12,26,2.1666666666666665,1297,90,35,566,362,90,24
14,3205,8,3,1,12,26,2.1666666666666665,1418,30,20,478,592,80,21
15,1119,7,5,0,12,26,2.1666666666666665,1215,30,17,468,500,40,23
16,1474,7,5,0,12,25,2.0833333333333335,1370,30,41,498,567,60,23
17,4546,7,5,0,12,24,2.0,1593,45,28,560,610,160,22
18,8709,6,6,0,12,23,1.9166666666666667,1562,45,33,556,601,130,23
19,5563,5,7,0,12,22,1.8333333333333333,1130,15,38,474,383,80,23
20,6324,4,7,1,12,21,1.75,1364,75,24,616,396,100,24
21,663,5,7,0,12,21,1.75,1162,30,29,488,432,40,23
22,10022,5,7,0,12,21,1.75,1168,30,28,436,454,60,23
23,1757,5,7,0,12,20,1.6666666666666667,1272,45,28,440,492,70,22
24,246,5,7,0,12,20,1.6666666666666667,1377,15,42,672,420,60,20
25,1965,3,8,1,12,19,1.5833333333333333,1122,75,27,458,351,50,24
26,2262,4,8,0,12,19,1.5833333333333333,1065,75,24,482,318,40,23
27,8567,4,8,0,12,19,1.5833333333333333,1450,60,16,588,542,50,23
28,6201,4,8,0,12,19,1.5833333333333333,1153,30,44,486,401,50,23
29,69,4,8,0,12,19,1.5833333333333333,1252,30,36,506,486,30,23
30,1761,3,9,0,12,18,1.5,1053,45,38,446,337,50,24
31,2084,4,8,0,12,18,1.5,1362,45,25,574,480,60,22
32,6367,4,8,0,12,18,1.5,1030,45,17,432,330,50,22
33,3623,3,9,0,12,17,1.4166666666666667,1264,75,36,558,366,60,23
34,9729,3,9,0,12,17,1.4166666666666667,1306,45,41,518,496,50,23
35,5902,3,9,0,12,16,1.3333333333333333,1142,75,20,416,430,70,21
36,97,3,9,0,12,16,1.3333333333333333,956,30,14,352,394,40,21
37,5347,2,10,0,12,15,1.25,1027,15,21,498,315,50,23
38,3958,2,10,0,12,13,1.0833333333333333,1021,15,22,512,313,30,20
