#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,620,836,10057,4541,3748,8726,219,146,RED
2,1389,8592,5841,2377,4099,4821,124,169,BLUE
3,9072,1727,2537,2534,6326,223,226,161,RED
4,5338,686,7770,2186,888,2199,207,109,RED
5,4541,3748,8726,1389,8592,5841,155,134,RED
6,2534,6326,223,2186,888,2199,139,112,RED
7,620,836,10057,2377,4099,4821,193,167,RED
8,9072,1727,2537,5338,686,7770,192,166,RED
9,2377,4099,4821,2534,6326,223,159,158,RED
10,5338,686,7770,4541,3748,8726,192,130,RED
11,620,836,10057,9072,1727,2537,197,194,RED
12,5338,686,7770,2377,4099,4821,173,188,BLUE
13,9072,1727,2537,2377,4099,4821,205,150,RED
14,620,836,10057,9072,1727,2537,199,229,BLUE
15,620,836,10057,9072,1727,2537,190,197,BLUE
