#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,3793,4821,2900,1389,6213,5243,36•,42•,BLUE,0,0.06666666666666667,7,4,0,2,0,0.1,5,5,0,2
2,1719,2186,8592,620,1111,888,91,128•,BLUE,0,-0.06666666666666667,11,11,0,1,1,2.1999999999999997,21,9,1,2
3,2377,2537,9072,6326,3748,5830,110•,82•,RED,0,2.5999999999999996,20,7,1,2,0,0.0,23,5,0,2
4,8514,2534,4505,836,8726,1727,55•,208•,BLUE,0,1.9333333333333333,15,3,0,2,1,0.7333333333333333,30,18,1,2
5,2199,10057,4099,5841,7770,5338,88•,127•,BLUE,0,1.0333333333333334,10,10,0,2,1,1.1,14,12,1,2
6,2849,6863,4464,4541,7886,686,44•,89•,BLUE,0,0.03333333333333333,8,5,0,2,0,0.8666666666666667,13,12,0,2
7,223,2534,9072,1719,888,4821,123•,76•,RED,0,1.9666666666666668,25,9,0,2,0,0.3,23,4,0,2
8,5243,4505,5830,2199,836,5338,64•,180•,BLUE,0,1.0333333333333334,17,4,0,2,1,1.9333333333333333,17,15,3,2
9,2849,6326,8592,3748,8514,7886,101,36•,RED,0,0.0,17,10,1,1,0,0.06666666666666667,6,4,0,2
10,5841,686,1389,2900,2377,6213,96•,66•,RED,0,1.9333333333333333,9,10,1,2,0,1.7,12,6,0,2
11,3793,1727,4464,7770,4541,620,70•,99•,BLUE,0,0.8666666666666667,9,8,0,2,0,1.8,11,13,0,2
12,2186,10057,223,4099,8726,2537,97•,95•,RED,1,0.9,16,7,0,2,0,2.0,20,5,1,2
13,6213,1111,8592,6863,2900,836,87•,109•,BLUE,0,0.13333333333333333,12,9,0,2,1,0.8666666666666666,12,9,1,2
14,3748,4541,1389,888,8514,7770,86•,66•,RED,1,-0.1,12,8,0,2,0,0.19999999999999998,16,5,0,2
15,223,4464,5243,2534,2199,3793,73•,66•,RED,0,0.1,13,8,0,2,0,2.0,11,7,0,2
16,4821,1111,10057,4099,7886,5338,60•,103•,BLUE,0,0.19999999999999998,13,5,0,2,1,2.1333333333333337,6,12,0,2
17,620,2849,1727,5830,2377,686,154•,131•,RED,0,1.7666666666666666,16,17,2,2,0,1.6,18,13,1,2
18,8726,1719,5841,2537,6326,2186,54•,85•,BLUE,0,1.1333333333333333,12,4,0,2,0,1.8,13,10,0,2
19,4505,3748,6863,4821,9072,4099,64•,139,BLUE,0,1.0,16,5,0,2,0,1.9666666666666668,27,9,1,1
20,836,8592,8514,5243,620,2377,118•,139•,BLUE,0,1.7999999999999998,5,13,1,2,1,2.6333333333333333,20,11,1,2
21,6213,2534,8726,1727,7770,1111,93•,91•,RED,1,1.0333333333333334,26,3,0,2,0,1.0333333333333334,9,10,1,2
22,2199,223,7886,9072,6326,686,86•,158•,BLUE,0,0.13333333333333333,23,7,0,2,0,0.9,30,13,2,2
23,2849,5338,1719,10057,6863,888,117•,81•,RED,1,0.19999999999999998,15,10,1,2,1,1.2333333333333334,18,4,0,2
24,4541,2537,3793,2900,5841,4505,59•,45•,RED,0,1.8333333333333335,8,8,0,2,0,1.9666666666666668,12,2,0,2
25,2186,4464,2199,5830,1389,4821,65•,56•,RED,0,0.8666666666666667,7,10,0,2,0,0.06666666666666667,17,3,0,2
