Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,620,12,0,0,12,36,3.0,1498,45,32,438,652,130,24
2,9072,11,1,0,12,33,2.75,1453,0,30,560,563,120,23
3,5338,10,2,0,12,32,2.6666666666666665,1598,60,27,442,712,140,24
4,686,9,3,0,12,31,2.5833333333333335,1494,15,33,520,624,130,24
5,1389,9,3,0,12,30,2.5,1077,75,17,302,453,60,24
6,1727,9,3,0,12,30,2.5,1527,30,22,398,736,100,24
7,836,9,3,0,12,29,2.4166666666666665,1633,105,32,428,643,180,23
8,2377,8,3,1,12,29,2.4166666666666665,1314,75,48,412,557,70,24
9,2186,9,3,0,12,29,2.4166666666666665,1073,60,24,270,524,30,23
10,2534,8,4,0,12,29,2.4166666666666665,1085,30,32,508,352,30,24
11,4541,8,3,1,12,28,2.3333333333333335,1071,30,24,384,457,30,23
12,5243,8,4,0,12,26,2.1666666666666665,998,30,20,374,378,50,21
13,6326,6,5,1,12,24,2.0,1202,90,15,454,430,50,23
14,4099,7,5,0,12,24,2.0,1296,45,39,348,563,110,22
15,3748,6,6,0,12,24,2.0,1143,30,12,502,418,40,24
16,223,7,5,0,12,24,2.0,1126,15,13,508,438,20,21
17,10057,5,7,0,12,22,1.8333333333333333,1009,45,20,350,407,30,24
18,8726,5,7,0,12,22,1.8333333333333333,1126,45,17,520,337,50,24
19,8592,6,6,0,12,22,1.8333333333333333,1351,0,14,400,611,110,22
20,888,5,7,0,12,21,1.75,1160,30,25,544,350,60,22
21,2199,4,7,1,12,21,1.75,1041,15,20,386,439,40,24
22,6863,4,8,0,12,20,1.6666666666666667,945,45,17,328,379,40,24
23,5830,4,8,0,12,20,1.6666666666666667,861,0,12,350,324,50,24
24,1111,4,8,0,12,19,1.5833333333333333,989,45,20,286,407,70,23
25,2900,3,8,1,12,19,1.5833333333333333,951,15,18,346,387,50,24
26,3793,4,8,0,12,19,1.5833333333333333,872,15,17,284,414,20,23
27,2537,4,8,0,12,19,1.5833333333333333,909,0,35,388,319,50,23
28,8514,4,8,0,12,19,1.5833333333333333,746,0,12,252,326,20,23
29,4505,3,9,0,12,18,1.5,868,30,34,422,271,10,24
30,5841,4,8,0,12,18,1.5,948,30,32,370,326,50,21
31,2849,5,7,0,12,18,1.5,918,15,15,358,359,50,18
32,4821,4,8,0,12,18,1.5,973,15,12,448,329,40,22
33,7886,4,8,0,12,17,1.4166666666666667,795,45,19,268,334,20,19
34,7770,3,9,0,12,17,1.4166666666666667,1007,45,17,302,435,40,23
35,6213,3,9,0,12,17,1.4166666666666667,853,15,17,310,324,40,23
36,4464,3,9,0,12,16,1.3333333333333333,632,30,8,230,266,0,21
37,1719,2,9,1,12,15,1.25,856,45,18,314,317,30,21
