#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,2377,686,614,1719,1418,4575,184,116,RED
2,8726,116,2537,2849,6326,5841,115,90,RED
3,1727,5338,1908,5830,3748,4541,164,117,RED
4,9072,888,3793,9235,102,1111,175,114,RED
5,1719,1418,4575,2849,6326,5841,117,98,RED
6,5830,3748,4541,9235,102,1111,106,113,BLUE
7,2377,686,614,8726,116,2537,175,135,RED
8,1727,5338,1908,9072,888,3793,184,180,RED
9,8726,116,2537,9235,102,1111,130,99,RED
10,9072,888,3793,1719,1418,4575,178,94,RED
11,2377,686,614,1727,5338,1908,136,189,BLUE
12,9072,888,3793,8726,116,2537,195,129,RED
13,2377,686,614,9072,888,3793,172,190,BLUE
14,1727,5338,1908,9072,888,3793,198,178,RED
15,1727,5338,1908,9072,888,3793,186,147,RED
