#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,2377,6326,4575,6213,5841,102,78•,61•,RED,0,1.7,13,8,0,2,0,1.9333333333333333,7,8,0,2
2,9072,5830,8726,4464,3748,888,86•,74•,RED,0,1.0333333333333334,21,5,0,2,0,0.16666666666666666,19,5,0,2
3,1446,4541,1727,1418,10057,9235,99•,58•,RED,0,2.7,14,10,0,2,0,0.06666666666666667,15,5,0,2
4,116,614,8514,686,8622,1111,68•,89•,BLUE,0,0.13333333333333333,13,7,0,2,0,1.0666666666666667,17,9,0,2
5,1908,2537,7886,2849,2914,5338,39•,88•,BLUE,0,1.9666666666666666,11,2,0,2,0,0.09999999999999999,12,9,1,2
6,1719,6326,9072,3748,1727,3793,115•,125•,BLUE,0,1.0666666666666667,19,11,1,2,0,0.8666666666666667,15,13,1,2
7,4464,9235,6213,1908,2377,614,32•,94•,BLUE,0,0.03333333333333333,9,2,0,2,0,2.666666666666667,15,9,0,2
8,1418,2914,5830,2537,686,1111,66•,111,BLUE,0,0.0,15,7,0,2,0,2.033333333333333,17,12,0,1
9,7886,10057,102,5841,888,116,67,82•,BLUE,0,1.0666666666666667,9,8,0,1,0,2.2,22,5,0,2
10,1446,5338,1719,3793,4541,8514,118•,69•,RED,1,2.1666666666666665,15,9,1,2,0,0.8666666666666667,5,12,0,2
11,8622,4575,1418,8726,2849,2377,67•,78•,BLUE,1,0.03333333333333333,18,2,0,2,0,1.7333333333333334,14,7,0,2
12,4541,1111,2537,1727,9235,5338,92•,140•,BLUE,1,0.9666666666666667,12,9,0,2,1,1.0,13,17,0,2
13,3748,102,2914,2849,1719,5830,98•,46•,RED,0,0.9666666666666667,20,9,0,2,0,0.09999999999999999,8,6,0,2
14,6326,888,6213,10057,686,4575,76•,91•,BLUE,0,0.16666666666666666,18,6,0,2,0,1.0,17,8,1,2
15,8622,1446,8514,614,5841,7886,33,46•,BLUE,0,0.9666666666666667,9,2,0,1,0,1.1,8,5,0,2
16,3793,9072,116,4464,8726,1908,103•,77•,RED,0,1.0333333333333334,15,10,1,2,1,1.0,17,5,0,2
17,2377,5338,5830,4541,10057,1719,123•,83•,RED,0,1.7666666666666666,20,14,0,2,1,1.0,10,9,0,2
18,8622,888,7886,6326,4464,1446,65•,45•,RED,1,0.23333333333333334,15,3,0,2,0,0.9666666666666667,11,3,0,2
19,8514,2914,9072,614,4575,1908,93•,76•,RED,0,0.9666666666666667,15,9,1,2,0,1.0333333333333334,17,7,0,2
20,686,1727,8726,3748,1418,6213,108•,60•,RED,0,0.8666666666666667,20,9,1,2,0,0.0,14,6,0,2
21,3793,1111,5841,9235,2849,116,48•,73•,BLUE,0,1.1,9,5,0,2,1,0.1,18,3,0,2
22,6213,2537,8622,102,1908,1719,39•,99•,BLUE,0,0.9666666666666667,8,3,0,2,1,3.0,13,11,0,2
23,8726,3748,10057,2914,1111,2377,68•,76•,BLUE,0,0.1,20,4,0,2,0,1.7999999999999998,14,8,0,2
24,5830,9072,2849,4575,1446,116,89,54•,RED,0,0.9666666666666667,16,8,1,0,0,1.0666666666666667,16,2,0,2
25,4464,686,1418,6326,2537,614,103•,80•,RED,1,0.9333333333333333,11,9,1,2,0,1.0333333333333334,18,7,0,2
26,102,3793,9235,8514,5841,4541,64•,63,RED,0,1.0,8,10,0,2,0,1.8333333333333335,9,8,0,1
27,888,1727,1719,5338,7886,686,132•,126•,RED,1,1.1333333333333333,14,13,0,2,1,1.1,11,13,1,2
28,1908,8726,5841,5830,1446,614,67,54•,RED,0,1.9666666666666668,21,3,0,1,0,1.0333333333333334,12,4,0,2
29,2849,6213,1727,2914,3793,888,77•,68•,RED,0,0.8666666666666667,8,8,0,2,0,0.16666666666666666,16,6,0,2
30,8514,2537,9235,1418,10057,6326,50•,68•,BLUE,0,1.0,9,5,0,2,0,0.03333333333333333,17,6,0,2
31,4541,7886,2377,116,4464,3748,64•,56•,RED,0,1.6,11,5,0,2,0,0.06666666666666667,18,3,0,2
32,5338,8622,4575,9072,1111,102,85•,111,BLUE,0,0.13333333333333333,12,8,1,2,0,2.0666666666666664,17,11,1,1
33,2377,116,1727,6326,2849,4541,157•,100•,RED,0,2.5999999999999996,15,19,1,2,1,0.8666666666666667,15,11,0,2
34,102,5830,888,1418,6213,1111,103•,54•,RED,0,1.1333333333333333,22,11,0,2,0,0.13333333333333333,11,5,0,2
35,9235,8622,10057,1719,7886,8726,52•,52•,TIE,0,0.06666666666666667,14,4,0,2,0,1.2333333333333334,15,4,0,2
36,9072,3748,614,5338,3793,4464,109•,69•,RED,0,1.0333333333333334,21,9,0,2,0,0.09999999999999999,12,8,0,2
37,686,2914,5841,2537,8514,1908,90•,55•,RED,0,1.9,18,7,0,2,0,1.9,11,5,0,2
38,2849,4541,4575,1446,1418,7886,79,46•,RED,0,0.9,18,7,0,1,0,1.0333333333333334,13,3,0,2
39,6213,614,3793,5830,116,686,54•,107,BLUE,0,0.06666666666666667,8,6,0,2,0,1.0,14,11,1,0
40,5841,2377,9235,8726,888,2914,84•,56•,RED,0,1.6666666666666667,14,8,0,2,0,0.23333333333333334,12,5,0,2
41,1111,8514,10057,9072,1727,2537,36,146•,BLUE,0,0.16666666666666666,7,4,0,1,1,2.8,10,19,0,2
42,1446,6326,5338,8622,102,4464,110•,51•,RED,1,1.0666666666666667,19,6,1,2,0,-0.03333333333333333,7,7,0,2
43,1908,1719,3793,4575,3748,2537,62•,74•,BLUE,0,1.0333333333333334,14,6,0,2,0,1.0,21,5,0,2
44,4541,102,1418,7886,614,2914,114•,36•,RED,0,1.8333333333333335,14,16,0,2,0,0.13333333333333333,4,5,0,2
45,10057,4464,2849,5338,6213,8514,40,64•,BLUE,0,0.03333333333333333,6,4,0,1,0,0.09999999999999999,9,6,1,2
46,5841,1719,3748,8726,8622,9072,70•,103•,BLUE,0,1.0666666666666667,16,6,0,2,0,1.0333333333333334,29,4,0,2
47,686,2377,888,1111,9235,1446,154•,52,RED,1,2.7666666666666666,24,14,0,2,0,1.1333333333333333,13,4,0,1
48,4575,1727,5830,116,6326,1908,117•,56•,RED,0,0.9,13,14,1,2,0,1.0,14,4,0,2
49,614,102,686,2377,9072,10057,113•,132•,BLUE,0,1.9666666666666668,16,14,0,2,0,1.6666666666666667,18,15,1,2
50,9235,8726,2849,5830,3793,8622,58•,48•,RED,0,0.1,22,1,0,2,0,0.0,9,6,0,2
51,116,1418,5338,1727,5841,6326,122•,109•,RED,1,0.16666666666666666,26,6,1,2,0,0.8333333333333334,14,10,1,2
52,2914,1719,4464,4575,6213,4541,36,70•,BLUE,0,0.09999999999999999,6,5,0,0,1,-0.1,10,7,0,2
53,1111,1908,3748,888,8514,1446,66,46•,RED,0,1.0666666666666667,16,6,0,1,0,1.1333333333333333,9,3,0,2
54,7886,4575,4464,2537,5830,5841,36,59•,BLUE,0,0.1,11,2,0,1,0,1.9333333333333333,16,3,0,2
55,1111,8726,6326,2914,1446,6213,86•,35•,RED,0,0.2,19,8,0,2,0,0.9666666666666667,7,3,0,2
56,3793,2377,1418,888,5338,9072,97•,170•,BLUE,1,0.6666666666666666,13,10,0,2,0,1.2333333333333334,29,15,1,2
57,1719,9235,686,1727,7886,102,125•,70•,RED,1,1.0666666666666667,15,10,1,2,0,1.9,10,8,0,2
58,8622,1908,2849,10057,4541,3748,62•,61•,RED,1,0.9333333333333333,14,3,0,2,0,0.9,11,6,0,2
59,2537,116,8726,8514,614,6213,86•,46•,RED,0,1.1,30,3,0,2,0,0.06666666666666667,6,6,0,2
60,7886,5830,3748,1727,2849,1111,42,97•,BLUE,0,0.06666666666666667,12,3,0,0,0,1.0,12,11,0,2
61,2537,4464,2914,1719,116,8622,25•,56•,BLUE,0,0.9666666666666667,5,2,0,2,0,0.16666666666666666,15,4,0,2
