Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,2377,11,1,0,12,34,2.8333333333333335,1229,2,15,181,129,2,24
2,1727,10,2,0,12,32,2.6666666666666665,1377,3,10,158,151,5,24
3,9072,11,1,0,12,32,2.6666666666666665,1434,1,12,239,133,9,21
4,686,10,2,0,12,30,2.5,1394,4,12,209,133,8,21
5,5338,8,4,0,12,28,2.3333333333333335,1296,5,8,194,118,8,24
6,8726,8,3,1,12,28,2.3333333333333335,925,1,7,240,58,1,23
7,2849,9,3,0,12,27,2.25,887,3,2,163,78,2,20
8,116,8,4,0,12,27,2.25,1020,2,9,216,77,4,22
9,9235,7,4,1,12,26,2.1666666666666665,965,3,7,179,86,3,23
10,888,6,6,0,12,24,2.0,1102,3,8,217,93,1,24
11,102,7,5,0,12,24,2.0,1043,1,14,153,125,1,22
12,5830,7,5,0,12,23,1.9166666666666667,940,0,6,178,92,3,18
13,1719,5,6,1,12,22,1.8333333333333333,994,5,12,160,94,3,22
14,4541,6,6,0,12,22,1.8333333333333333,987,4,7,140,113,0,22
15,1418,5,7,0,12,22,1.8333333333333333,948,4,3,178,88,2,24
16,8622,5,6,1,12,22,1.8333333333333333,750,3,2,167,55,1,23
17,4575,6,6,0,12,22,1.8333333333333333,903,2,5,183,77,3,22
18,5841,6,6,0,12,22,1.8333333333333333,860,0,12,170,75,1,22
19,2537,5,7,0,12,21,1.75,856,2,11,168,75,0,23
20,1111,7,5,0,12,21,1.75,918,1,10,164,92,1,19
21,2914,5,7,0,12,21,1.75,767,0,2,144,75,2,22
22,1908,5,7,0,12,20,1.6666666666666667,806,3,15,176,65,0,22
23,6326,4,8,0,12,20,1.6666666666666667,1004,2,6,193,87,3,24
24,614,4,8,0,12,20,1.6666666666666667,869,0,9,149,92,0,24
25,3748,5,7,0,12,20,1.6666666666666667,903,0,4,203,75,1,21
26,3793,3,9,0,12,18,1.5,883,1,4,141,99,2,24
27,6213,3,9,0,12,18,1.5,668,1,1,115,66,1,24
28,1446,3,9,0,12,16,1.3333333333333333,745,2,12,151,53,2,22
29,7886,3,8,1,12,16,1.3333333333333333,689,2,8,130,61,1,20
30,10057,3,8,1,12,16,1.3333333333333333,809,1,6,157,77,2,21
31,8514,3,9,0,12,15,1.25,715,0,6,112,79,2,21
32,4464,1,11,0,12,11,0.9166666666666666,644,2,1,132,55,1,20
