#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,348,2523,6895,9056,9096,5265,66•,37,RED,1,0.9666666666666667,11,5,0,2,0,0.9666666666666667,10,2,0,1
2,9732,172,78,6153,1729,166,165•,173•,BLUE,1,0.13333333333333333,15,17,2,2,1,0.9333333333333333,17,17,2,2
3,4473,5687,1740,1922,4564,9055,157•,101•,RED,1,1.1666666666666667,13,20,1,2,0,0.03333333333333333,15,10,1,2
4,2648,10125,133,3451,4041,6329,138•,164•,BLUE,1,2.4333333333333336,12,14,1,2,1,0.2,22,18,1,2
5,7907,4906,58,238,5494,6161,110•,83•,RED,0,0.9666666666666667,24,8,1,2,1,1.0666666666666669,17,6,0,2
6,8023,9055,157,3467,8421,5687,53•,180•,BLUE,0,0.9666666666666667,9,6,0,2,0,1.1666666666666667,14,18,3,2
7,6329,6895,6161,7907,5494,166,98•,81•,RED,1,0.03333333333333333,10,7,1,2,0,0.9666666666666667,10,9,1,2
8,1740,4564,3467,4041,348,9056,198•,80•,RED,1,0.19999999999999998,24,18,2,2,0,1.1,25,5,0,2
9,58,10125,8421,2523,4473,9732,84•,63•,RED,0,1.9,17,6,0,2,0,0.9333333333333333,9,9,0,2
10,9096,2648,78,1729,238,1922,175•,126•,RED,1,1.0666666666666667,12,22,2,2,1,1.1666666666666667,23,9,1,2
11,172,3451,133,5265,8023,6153,169•,61,RED,1,2.533333333333333,21,15,1,2,0,1.8333333333333335,14,5,0,1
12,348,4473,4906,157,2523,78,109•,129•,BLUE,1,1.0333333333333334,19,11,0,2,0,1.0666666666666667,17,15,1,2
13,7907,1729,8421,3451,5265,10125,70•,34•,RED,0,1.0333333333333334,6,8,1,2,0,0.1,9,2,0,2
14,3467,5494,6153,133,166,5687,117•,184•,BLUE,0,0.9333333333333333,22,9,1,2,1,1.5333333333333334,17,18,2,2
15,58,1922,157,4564,6329,172,159•,185•,BLUE,0,0.9333333333333333,43,10,1,2,0,0.03333333333333333,13,20,3,2
16,9056,1740,6895,6161,4906,8023,68•,46•,RED,0,1.0666666666666667,12,8,0,2,0,1.0666666666666667,3,8,0,2
17,9096,238,4041,9732,9055,2648,64•,113•,BLUE,0,0.2,18,4,0,2,1,0.9666666666666667,15,9,1,2
18,1729,5265,6895,6153,9056,8421,88•,59•,RED,1,0.06666666666666667,13,6,1,2,0,2.8,12,5,0,2
19,4564,348,133,1922,157,3467,167•,169•,BLUE,1,1.4333333333333333,33,7,2,2,1,0.13333333333333333,24,14,1,2
20,4041,9055,9732,7907,6329,2648,76•,164•,BLUE,0,0.13333333333333333,22,6,0,2,0,0.9666666666666667,14,21,2,2
21,172,166,3451,6161,2523,9096,129•,32,RED,1,0.1,20,11,1,2,0,1.0,6,3,0,1
22,5687,238,4906,10125,4473,8023,93•,49,RED,0,0.23333333333333334,15,8,1,2,0,1.9666666666666668,4,6,0,1
23,78,6329,5494,1740,58,348,156•,103•,RED,0,1.0666666666666667,17,16,1,2,0,1.0,25,5,1,2
24,4041,9056,1922,2648,4564,166,92•,209•,BLUE,0,0.13333333333333333,30,5,0,2,1,0.9666666666666667,30,20,2,2
25,78,9055,133,1729,4473,3451,169•,87•,RED,1,2.533333333333333,15,17,2,2,0,1.1,8,13,0,2
26,9732,157,5265,1740,7907,238,64,87•,BLUE,0,0.0,15,6,0,0,1,0.16666666666666666,11,6,1,2
27,5494,9096,8421,4906,3467,58,51•,193•,BLUE,0,1.9333333333333333,17,2,0,2,1,1.0666666666666667,17,17,2,2
28,6895,8023,5687,10125,172,2523,119•,94•,RED,1,1.0666666666666667,10,12,1,2,0,1.0333333333333334,13,9,1,2
29,6153,9096,4564,9055,7907,6161,72,48•,RED,0,-0.13333333333333333,18,3,1,1,0,0.03333333333333333,12,4,0,2
30,8023,172,348,9732,2648,5494,87•,105•,BLUE,0,1.0,16,6,1,2,1,1.9333333333333333,13,8,1,2
31,5687,6161,2523,5265,133,9056,121•,129•,BLUE,0,1.1,14,10,2,2,0,2.4,14,13,2,2
