Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,133,10,2,0,12,32,2.6666666666666665,1808,120,50,420,752,200,24
2,3467,10,2,0,12,32,2.6666666666666665,1955,105,16,422,874,220,24
3,6329,10,2,0,12,32,2.6666666666666665,1767,45,9,406,817,220,24
4,172,9,3,0,12,30,2.5,1718,75,21,464,745,200,24
5,2648,8,4,0,12,28,2.3333333333333335,1614,105,28,416,728,150,24
6,1740,8,4,0,12,28,2.3333333333333335,1499,75,16,508,568,150,24
7,78,8,4,0,12,27,2.25,1707,90,18,374,853,130,23
8,166,8,4,0,12,27,2.25,1540,75,9,416,702,150,23
9,5687,8,4,0,12,27,2.25,1738,45,17,408,785,210,23
10,1922,7,5,0,12,26,2.1666666666666665,1424,60,13,688,447,70,24
11,4906,7,5,0,12,25,2.0833333333333335,1351,60,18,440,550,100,23
12,7907,7,5,0,12,24,2.0,1202,15,18,368,521,120,22
13,1729,6,6,0,12,23,1.9166666666666667,1447,90,17,368,614,150,23
14,6895,6,6,0,12,23,1.9166666666666667,977,60,15,296,385,60,23
15,4564,7,5,0,12,23,1.9166666666666667,1657,45,12,566,660,170,21
16,9056,6,6,0,12,23,1.9166666666666667,1201,15,28,428,442,120,23
17,238,5,7,0,12,22,1.8333333333333333,1208,90,16,350,496,70,24
18,2523,6,6,0,12,22,1.8333333333333333,1106,30,33,382,437,70,22
19,8421,6,6,0,12,22,1.8333333333333333,1214,30,31,370,497,100,22
20,5494,5,7,0,12,21,1.75,1176,45,40,456,418,60,23
21,10125,5,7,0,12,21,1.75,1103,45,17,356,428,90,23
22,157,5,7,0,12,21,1.75,1273,30,9,528,493,50,22
23,6153,6,6,0,12,21,1.75,1212,15,22,550,415,70,21
24,3451,4,8,0,12,20,1.6666666666666667,1171,105,15,394,483,50,24
25,4041,5,7,0,12,20,1.6666666666666667,1333,45,16,592,467,40,22
26,9732,5,7,0,12,20,1.6666666666666667,1107,45,8,396,467,60,21
27,9055,4,8,0,12,19,1.5833333333333333,1203,30,12,462,493,80,22
28,58,4,8,0,12,18,1.5,1442,60,25,560,508,100,21
29,4473,4,8,0,12,18,1.5,1133,45,33,392,490,20,22
30,6161,3,9,0,12,17,1.4166666666666667,1055,90,16,312,390,80,23
31,348,3,9,0,12,17,1.4166666666666667,1174,60,16,468,411,80,23
32,5265,4,8,0,12,16,1.3333333333333333,1103,45,15,346,443,100,18
33,9096,3,9,0,12,15,1.25,886,15,13,338,325,70,21
34,8023,2,10,0,12,14,1.1666666666666667,892,30,30,286,355,50,22
