#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,862,8728,5205,6150,6615,5282,180,169,RED
2,5509,5066,4216,3536,7660,4776,115,189,BLUE
3,3656,5067,1502,3668,5530,6528,142,208,BLUE
4,1076,302,6344,3322,5144,5708,159,199,BLUE
5,6150,6615,5282,5509,5066,4216,146,135,RED
6,3656,5067,1502,1076,302,6344,173,204,BLUE
7,862,8728,5205,3536,7660,4776,196,164,RED
8,3668,5530,6528,3322,5144,5708,198,216,BLUE
9,3536,7660,4776,1076,302,6344,176,171,RED
10,3668,5530,6528,6150,6615,5282,145,141,RED
11,862,8728,5205,3322,5144,5708,182,215,BLUE
12,3668,5530,6528,3536,7660,4776,178,174,RED
13,862,8728,5205,3668,5530,6528,182,177,RED
14,3322,5144,5708,862,8728,5205,154,162,BLUE
15,3322,5144,5708,862,8728,5205,215,184,RED
16,3322,5144,5708,862,8728,5205,186,209,BLUE
