Team#,Total,Rank,Selection,Elims
302,29,15,14,0
830,9,9,0,0
862,68,22,16,30
1076,34,20,14,0
1502,14,12,2,0
3322,49,18,11,20
3536,37,18,12,7
3656,36,21,15,0
3668,40,17,10,13
4216,18,14,4,0
4395,10,10,0,0
4776,21,9,5,7
5066,26,13,13,0
5067,31,16,15,0
5144,45,14,11,20
5205,41,10,1,30
5225,8,8,0,0
5282,19,11,8,0
5509,32,19,13,0
5530,38,15,10,13
5702,7,7,0,0
5708,37,11,6,20
6096,6,6,0,0
6101,12,12,0,0
6150,25,16,9,0
6190,13,13,0,0
6344,13,10,3,0
6528,34,14,7,13
6615,20,11,9,0
7147,12,12,0,0
7660,34,15,12,7
8297,6,6,0,0
8300,8,8,0,0
8728,63,17,16,30
8895,4,4,0,0
9204,5,5,0,0
9209,7,7,0,0
9211,13,13,0,0
9212,9,9,0,0
9748,4,4,0,0
