#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,8728,862,1502,4216,6150,6096,136•,96•,RED,0,1.9333333333333333,19,14,1,2,0,-0.03333333333333333,21,7,1,2
2,4395,3668,3322,8300,5702,5225,133•,37•,RED,1,0.6333333333333333,22,7,2,2,0,0.9666666666666667,6,5,0,2
3,5282,5067,3536,5144,7660,9204,121•,104•,RED,1,0.0,36,5,0,2,0,1.1666666666666667,29,5,1,2
4,7147,5205,5066,9211,5708,302,58•,96•,BLUE,0,2.0,11,6,0,2,1,1.8333333333333335,15,9,0,2
5,8297,5530,9748,4776,3656,6344,87,125•,BLUE,0,1.0,11,8,1,1,1,1.9333333333333333,19,9,1,2
6,830,6190,6101,9209,6615,1076,68•,71•,BLUE,0,1.0666666666666667,22,3,0,2,0,1.0333333333333334,19,2,0,2
7,5509,9212,5144,8895,6528,5205,75•,59•,RED,0,0.9333333333333333,20,5,0,2,0,1.8666666666666667,15,4,0,2
8,6344,8300,862,5066,5282,302,125,114•,RED,0,1.0,21,14,1,1,1,1.7666666666666666,25,7,0,2
9,8728,7147,4776,1502,3322,5225,89•,98,BLUE,0,1.9,26,5,0,2,0,1.5,9,11,2,1
10,9212,5530,5702,5708,5067,6190,88,88,TIE,0,0.06666666666666667,13,9,1,1,0,1.0333333333333334,27,5,0,1
11,6528,9204,6150,3656,3668,3536,107•,139•,BLUE,0,0.06666666666666667,21,9,1,2,1,1.9333333333333333,16,12,1,2
12,8297,7660,5509,9211,830,4395,85•,54•,RED,0,0.19999999999999998,15,8,1,2,0,0.2,16,3,0,2
13,1076,6101,4216,8895,9748,6615,69•,47•,RED,0,1.2,18,3,1,2,0,0.8,9,4,0,2
14,6096,8728,3668,9209,9212,5066,71•,55•,RED,0,0.9333333333333333,18,5,0,2,0,0.9333333333333333,12,5,0,2
15,7660,5225,6190,5708,7147,3656,72,97•,BLUE,0,2.0999999999999996,10,6,1,1,0,1.9666666666666668,17,10,1,2
16,5509,3536,302,1502,1076,4216,117•,91•,RED,1,2.666666666666667,18,11,0,2,0,2.0999999999999996,15,6,1,2
17,8895,3322,5282,862,5530,830,98•,144,BLUE,0,0.4666666666666667,14,8,2,2,0,0.13333333333333333,24,16,1,1
