Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,862,12,0,0,12,33,2.75,1496,30,19,480,663,120,21
2,3656,10,2,0,12,32,2.6666666666666665,1371,105,38,334,555,120,24
3,1076,9,3,0,12,30,2.5,1282,45,23,414,490,120,24
4,5509,9,3,0,12,30,2.5,1083,30,24,440,375,80,24
5,3536,9,3,0,12,29,2.4166666666666665,1352,60,42,504,537,40,23
6,3322,10,2,0,12,29,2.4166666666666665,1452,60,38,362,622,190,21
7,8728,9,3,0,12,29,2.4166666666666665,1333,60,31,554,471,60,23
8,3668,8,4,0,12,27,2.25,1180,45,13,582,372,50,23
9,5067,7,4,1,12,26,2.1666666666666665,1223,105,12,698,274,20,23
10,6150,7,5,0,12,26,2.1666666666666665,1220,15,13,516,420,110,24
11,302,6,6,0,12,24,2.0,1192,90,47,462,396,30,24
12,7660,7,5,0,12,24,2.0,1317,75,25,386,523,140,22
13,5530,7,4,1,12,24,2.0,1271,60,19,466,444,110,21
14,4216,6,6,0,12,24,2.0,1042,15,33,506,309,40,24
15,6528,6,6,0,12,23,1.9166666666666667,1170,90,18,452,418,50,23
16,5144,7,5,0,12,23,1.9166666666666667,1077,30,31,648,212,20,21
17,5066,7,5,0,12,23,1.9166666666666667,1138,30,23,470,443,30,21
18,9211,6,6,0,12,23,1.9166666666666667,896,30,18,342,305,50,23
19,6190,6,5,1,12,23,1.9166666666666667,1071,15,30,418,392,80,22
20,6101,5,7,0,12,22,1.8333333333333333,960,90,22,466,223,50,24
21,7147,5,7,0,12,22,1.8333333333333333,944,45,40,396,301,40,24
22,1502,6,6,0,12,22,1.8333333333333333,1084,30,32,346,465,60,22
23,5708,6,5,1,12,22,1.8333333333333333,1100,30,18,572,311,50,21
24,6615,6,6,0,12,22,1.8333333333333333,1089,30,15,584,306,10,22
25,5282,5,7,0,12,22,1.8333333333333333,1063,30,13,594,266,40,24
26,5205,6,6,0,12,21,1.75,1026,15,36,458,337,40,21
27,4395,4,8,0,12,20,1.6666666666666667,919,75,18,484,184,40,24
28,6344,5,7,0,12,20,1.6666666666666667,1008,60,39,534,251,20,22
29,4776,5,7,0,12,20,1.6666666666666667,1016,30,15,594,230,30,22
30,9212,4,7,1,12,20,1.6666666666666667,868,15,11,410,269,30,23
31,830,4,8,0,12,19,1.5833333333333333,968,30,20,480,273,30,23
32,8300,5,7,0,12,19,1.5833333333333333,1038,30,20,336,472,60,21
33,5225,5,7,0,12,19,1.5833333333333333,913,0,28,394,341,60,21
34,5702,4,7,1,12,18,1.5,923,45,13,418,278,40,21
35,9209,3,9,0,12,17,1.4166666666666667,760,45,25,408,137,20,23
36,8297,4,8,0,12,17,1.4166666666666667,905,15,20,408,270,60,21
37,6096,3,9,0,12,15,1.25,884,30,10,436,253,50,21
38,9204,1,11,0,12,14,1.1666666666666667,863,30,20,412,240,50,24
39,8895,2,10,0,12,14,1.1666666666666667,774,15,30,336,238,30,22
40,9748,1,11,0,12,10,0.8333333333333334,845,30,30,368,249,40,20
