#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,2767,141,7256,9239,9672,3658,188,127,RED
2,6002,9312,4327,7658,4381,5227,157,129,RED
3,5152,8608,10190,5501,10011,9203,222,93,RED
4,5675,3357,10154,4422,8126,9215,213,113,RED
5,9239,9672,3658,7658,4381,5227,126,136,BLUE
6,5501,10011,9203,4422,8126,9215,75,154,BLUE
7,2767,141,7256,6002,9312,4327,190,235,BLUE
8,5152,8608,10190,5675,3357,10154,194,214,BLUE
9,2767,141,7256,4422,8126,9215,241,133,RED
10,5152,8608,10190,7658,4381,5227,205,143,RED
11,6002,9312,4327,5675,3357,10154,229,214,RED
12,5152,8608,10190,2767,141,7256,193,192,RED
13,5675,3357,10154,5152,8608,10190,176,232,BLUE
14,6002,9312,4327,5152,8608,10190,219,229,BLUE
15,6002,9312,4327,5152,8608,10190,214,234,BLUE
