#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,5623,5248,9703,5227,4381,7203,38•,93•,BLUE,0,0.16666666666666666,9,3,0,2,1,2.2,10,10,0,2
2,5501,5675,4327,9542,9183,10012,136,56•,RED,0,2.2666666666666666,17,13,1,0,1,1.9333333333333333,8,4,0,2
3,7658,4422,9638,8608,10165,10154,61•,127•,BLUE,0,0.9666666666666667,14,6,0,2,0,2.033333333333333,18,11,2,2
4,9203,5152,141,10198,7811,9743,146•,36,RED,1,1.0666666666666667,29,8,1,2,0,0.1,6,4,0,1
5,3357,9753,10019,10190,7256,4453,89•,66,RED,0,1.1666666666666667,14,9,0,2,0,0.2,12,9,0,1
6,2767,10011,3658,9215,8126,9239,140•,71•,RED,1,2.2,16,10,2,2,0,1.9666666666666668,19,5,0,2
7,6002,4422,9759,9312,9672,9183,94•,91•,RED,0,1.8333333333333333,7,11,1,2,0,2.9,10,9,1,2
8,5501,7811,9542,10154,4381,5623,39•,58•,BLUE,0,-0.03333333333333333,7,4,0,2,0,0.3,9,6,0,2
9,2767,141,7256,10165,9638,5227,108•,67•,RED,0,2.166666666666667,13,8,1,2,1,1.0,13,4,0,2
10,4327,9672,5248,9703,9743,10190,69,42•,RED,0,1.9333333333333333,14,7,0,1,0,0.19999999999999998,10,4,0,2
11,3357,9215,9759,8608,9203,5675,84•,181•,BLUE,0,0.16666666666666666,13,9,0,2,0,2.3000000000000003,24,14,3,2
12,10019,5152,8126,6002,3658,4453,116•,107•,RED,1,0.13333333333333333,14,8,1,2,0,2.0,12,11,1,2
13,7203,9753,10012,9239,10011,9312,36,86•,BLUE,0,1.0,7,3,0,1,1,2.966666666666667,14,7,0,2
14,10190,10198,9203,7658,8608,4381,62,130•,BLUE,0,0.06666666666666667,16,6,0,1,0,3.2666666666666666,14,12,2,2
15,5623,141,4422,6002,8126,5501,71•,110•,BLUE,0,1.8666666666666667,19,5,0,2,0,2.8666666666666663,16,10,1,2
16,3357,2767,9542,10019,5248,9759,146•,44•,RED,0,2.2333333333333334,16,11,3,2,0,0.06666666666666667,7,5,0,2
17,7256,10198,7203,4453,9672,10154,40,60•,BLUE,0,1.0666666666666667,6,5,0,1,0,1.1,16,4,0,2
18,10165,9239,5152,9753,7658,9703,92•,50•,RED,0,1.1333333333333333,15,9,1,2,0,1.1666666666666667,13,4,0,2
19,3658,9183,9638,9215,9743,9312,37•,89•,BLUE,0,-0.03333333333333333,12,2,0,2,0,1.0333333333333334,16,9,0,2
20,7811,5227,4327,5675,10011,10012,62•,98•,BLUE,0,1.9333333333333333,8,7,0,2,0,1.4000000000000001,11,11,0,2
21,10154,6002,10198,10165,4422,9753,137•,55•,RED,1,2.966666666666667,16,13,1,2,0,0.9666666666666667,10,6,0,2
22,5501,9703,9312,8126,9542,9672,103•,55,RED,0,1.1,13,11,1,2,0,2.8666666666666663,14,4,0,1
23,4453,10012,5227,9743,141,3357,54•,87•,BLUE,0,2.1,11,5,0,2,0,1.1,16,7,1,2
24,9203,3658,9215,10190,5623,4327,58•,60•,BLUE,0,0.03333333333333333,16,4,0,2,0,0.9666666666666667,7,8,0,2
25,10011,7256,7658,7203,5248,5675,62•,69•,BLUE,0,1.1333333333333335,8,8,0,2,0,2.333333333333333,13,6,0,2
26,4381,9759,9638,8608,5152,7811,64,157•,BLUE,0,1.2666666666666666,6,11,0,1,0,3.1333333333333333,13,15,2,2
27,9183,9239,9753,2767,10019,10190,47•,118,BLUE,0,1.9333333333333333,13,3,0,2,0,1.2333333333333336,15,12,2,1
28,9312,6002,3357,10198,10012,7658,226•,79•,RED,1,3.0,21,18,3,2,1,0.1,10,8,0,2
29,9638,9703,7203,9759,3658,5623,53•,50•,RED,1,1.1,7,4,0,2,0,0.0,13,4,0,2
30,4327,10019,10011,4422,7256,4381,61,90•,BLUE,0,1.0,5,8,0,1,0,1.2666666666666666,8,15,0,2
31,9183,9743,5501,8126,2767,8608,62•,172•,BLUE,0,1.0,14,5,0,2,1,4.1,16,14,2,2
32,5152,9215,5227,5248,10154,9239,94•,56•,RED,0,1.1333333333333333,21,4,1,2,0,1.0333333333333334,16,3,0,2
33,4453,5675,9542,10165,7811,9203,87•,43•,RED,0,1.3666666666666667,14,6,1,2,1,0.06666666666666667,4,3,0,2
34,9672,3658,9753,141,7658,5501,47,91•,BLUE,0,0.9666666666666667,12,3,0,1,0,0.9666666666666667,29,5,0,2
35,9312,8126,10012,10154,5227,2767,112•,161,BLUE,0,1.9666666666666668,16,13,0,2,0,2.166666666666667,17,13,2,1
36,9203,4453,9239,10019,4422,7811,60•,62•,BLUE,0,1.0666666666666667,18,4,0,2,0,1.0,12,7,0,2
37,141,10190,5675,9703,3357,5152,139•,165•,BLUE,0,1.3,28,10,1,2,1,0.4,24,17,1,2
38,9759,8608,7256,4327,9542,10198,105,63,RED,0,2.0333333333333337,9,12,1,1,0,1.9000000000000001,5,10,0,1
39,4381,9743,10165,9215,7203,9183,66•,39•,RED,0,1.3333333333333335,9,8,0,2,0,1.9666666666666668,7,3,0,2
40,10011,5248,6002,9638,9672,5623,118•,51•,RED,0,1.9666666666666668,14,12,2,2,0,0.9666666666666667,14,4,0,2
41,9312,7658,4453,9703,9203,4327,103•,71•,RED,0,1.1,14,11,1,2,0,1.0666666666666667,11,8,0,2
42,10190,10154,3658,10019,141,5227,81•,100•,BLUE,1,0.06666666666666667,20,4,0,2,1,2.9333333333333336,27,3,0,2
43,8126,4381,5248,9239,9542,4422,48•,63•,BLUE,0,2.2666666666666666,9,4,0,2,0,2.833333333333333,17,4,0,2
44,6002,5152,9672,10011,3357,9183,164•,112•,RED,0,4.0,18,13,3,2,0,0.13333333333333333,16,13,1,2
45,5623,8608,9743,5675,9753,2767,114,142•,BLUE,0,2.0,20,9,1,1,0,2.5,11,16,1,2
46,10012,5501,9759,7256,10165,9215,40,85•,BLUE,0,0.03333333333333333,8,4,0,1,1,1.1333333333333335,12,8,0,2
47,7811,7203,8126,9638,10198,3357,54•,90•,BLUE,1,1.9666666666666668,8,3,0,2,0,0.16666666666666666,13,10,1,2
48,5248,5227,9542,9753,9203,6002,53•,82•,BLUE,0,1.9333333333333333,13,4,0,2,0,1.9,13,7,1,2
49,141,10165,3658,5675,5623,9312,75•,124•,BLUE,0,0.9666666666666667,24,3,0,2,0,2.3,13,9,2,2
50,8608,9183,10198,7256,9703,9239,111•,58•,RED,0,2.966666666666667,15,12,1,2,0,1.1666666666666667,7,9,0,2
51,9672,2767,7658,7811,9638,10154,137•,32•,RED,1,2.1666666666666665,14,8,2,2,0,0.06666666666666667,7,3,0,2
52,10011,10190,4381,4453,9759,9743,64,34•,RED,0,0.3333333333333333,9,9,0,1,0,0.13333333333333333,9,3,0,2
53,5152,10012,4422,7203,10019,5501,105•,56•,RED,0,1.1,14,11,1,2,0,1.0,11,5,0,2
