Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,2767,12,0,0,12,34,2.8333333333333335,1719,90,55,382,663,230,22
2,5152,11,1,0,12,34,2.8333333333333335,1535,75,32,450,591,170,24
3,8608,11,1,0,12,32,2.6666666666666665,1651,45,65,482,654,190,21
4,5675,10,2,0,12,31,2.5833333333333335,1407,15,36,416,565,120,22
5,141,8,4,0,12,29,2.4166666666666665,1226,75,35,592,326,50,24
6,6002,9,3,0,12,29,2.4166666666666665,1535,60,59,344,668,180,23
7,9312,9,3,0,12,29,2.4166666666666665,1385,60,44,372,567,120,23
8,7658,8,4,0,12,28,2.3333333333333335,1065,75,24,358,393,60,24
9,3357,8,4,0,12,27,2.25,1477,60,24,448,600,130,23
10,4422,8,4,0,12,27,2.25,1020,0,35,356,416,60,23
11,4381,8,4,0,12,26,2.1666666666666665,1061,45,33,242,520,40,22
12,5501,8,4,0,12,26,2.1666666666666665,1048,30,24,380,406,50,21
13,9239,7,5,0,12,25,2.0833333333333335,991,45,40,380,359,30,23
14,9215,6,6,0,12,24,2.0,977,60,21,398,333,30,24
15,10154,6,6,0,12,23,1.9166666666666667,997,45,22,334,381,50,23
16,9203,6,6,0,12,23,1.9166666666666667,1056,45,19,390,375,80,23
17,5227,6,6,0,12,22,1.8333333333333333,966,45,37,366,321,50,22
18,10019,6,6,0,12,22,1.8333333333333333,875,45,17,314,336,30,22
19,5248,5,7,0,12,21,1.75,760,15,23,312,271,30,23
20,4453,5,7,0,12,21,1.75,810,0,18,316,325,40,23
21,10165,5,7,0,12,20,1.6666666666666667,792,60,21,282,277,30,22
22,4327,7,5,0,12,20,1.6666666666666667,1001,30,32,268,514,10,17
23,10011,6,6,0,12,20,1.6666666666666667,1006,30,26,298,450,60,20
24,9703,4,8,0,12,20,1.6666666666666667,906,30,19,318,386,40,24
25,3658,4,8,0,12,19,1.5833333333333333,1027,90,22,414,314,60,23
26,9638,4,8,0,12,19,1.5833333333333333,780,60,15,304,282,20,23
27,7256,6,6,0,12,19,1.5833333333333333,908,15,24,212,501,20,19
28,8126,4,8,0,12,18,1.5,1055,60,43,370,383,50,22
29,10198,5,7,0,12,18,1.5,929,45,17,294,400,50,20
30,9672,5,7,0,12,18,1.5,949,15,42,350,312,80,20
31,10012,4,8,0,12,17,1.4166666666666667,902,45,22,302,376,20,21
32,9542,4,8,0,12,17,1.4166666666666667,826,30,38,284,304,50,20
33,9743,4,8,0,12,17,1.4166666666666667,880,15,18,336,341,50,21
34,5623,3,9,0,12,17,1.4166666666666667,853,15,18,318,336,40,23
35,7811,3,9,0,12,16,1.3333333333333333,716,30,18,210,304,30,22
36,9183,2,10,0,12,16,1.3333333333333333,811,15,33,270,339,30,24
37,10190,5,7,0,12,16,1.3333333333333333,909,15,16,348,364,50,18
38,7203,3,9,0,12,15,1.25,735,60,34,234,265,20,21
39,9753,3,9,0,12,15,1.25,754,15,22,284,300,20,21
40,9759,2,10,0,12,12,1.0,704,15,15,220,337,20,20
