#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,7769,4362,9754,3098,6099,5462,250,108,RED
2,9208,4983,135,4956,9182,5056,170,147,RED
3,2959,4237,9239,5982,6538,4325,172,178,BLUE
4,5216,3452,6588,5535,8612,10099,139,127,RED
5,3098,6099,5462,4956,9182,5056,94,161,BLUE
6,2959,4237,9239,5535,8612,10099,195,137,RED
7,7769,4362,9754,9208,4983,135,251,155,RED
8,5982,6538,4325,5216,3452,6588,179,171,RED
9,9208,4983,135,2959,4237,9239,141,154,BLUE
10,5216,3452,6588,4956,9182,5056,133,162,BLUE
11,7769,4362,9754,5982,6538,4325,254,141,RED
12,4956,9182,5056,2959,4237,9239,160,188,BLUE
13,5982,6538,4325,2959,4237,9239,143,176,BLUE
14,7769,4362,9754,2959,4237,9239,236,182,RED
15,7769,4362,9754,2959,4237,9239,245,215,RED
