#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,9208,10012,4983,6591,9239,135,106•,53•,RED,1,0.03333333333333333,24,6,0,2,0,2.8666666666666667,11,4,0,2
2,3098,10067,4325,10099,5535,5231,60•,87•,BLUE,0,1.0,22,2,0,2,1,1.0333333333333334,16,7,0,2
3,8612,6588,4956,3452,10217,5462,85•,78•,RED,0,0.0,14,11,0,2,0,0.06666666666666667,18,6,0,2
4,5056,5053,5982,7769,4237,7809,94•,182•,BLUE,1,1.9333333333333333,15,9,0,2,0,1.7,22,17,3,2
5,9549,5182,10160,2959,6538,9758,35,101•,BLUE,0,1.9666666666666666,8,2,0,1,0,1.3333333333333335,17,10,0,2
6,4362,1502,5216,9182,7810,7814,138•,49•,RED,1,2.966666666666667,15,7,2,2,0,1.9,14,3,0,2
7,5056,6099,4337,9735,10067,9754,77•,37•,RED,0,1.9333333333333333,22,5,0,2,0,1.9666666666666668,10,2,0,2
8,4956,5535,5182,4983,4237,5231,65•,115•,BLUE,0,0.9333333333333333,23,3,0,2,0,0.26666666666666666,27,6,1,2
9,6538,3452,7769,9208,4362,6588,156•,156•,TIE,0,2.7,23,13,2,2,1,1.9666666666666668,18,14,2,2
10,9182,2959,10160,5216,9549,5982,110•,114•,BLUE,0,1.9666666666666666,22,9,0,2,0,1.0,11,16,0,2
11,4325,7814,8612,10099,6099,9754,79•,60•,RED,0,0.9666666666666667,19,7,0,2,0,1.0,17,4,0,2
12,5053,6591,3098,9239,5462,7809,48•,45•,RED,1,1.9333333333333333,10,1,0,2,0,0.9666666666666667,15,2,0,2
13,10217,9758,135,4337,7810,10012,44•,25•,RED,0,2.1333333333333333,10,2,0,2,0,1.9333333333333333,3,3,0,2
14,1502,10160,8612,9735,5182,5056,97•,47•,RED,0,1.0333333333333334,13,13,0,2,0,2.8666666666666663,11,3,0,2
15,5462,5216,4237,10099,2959,4325,148•,123•,RED,1,1.3,22,11,2,2,0,1.9333333333333333,32,5,1,2
16,4956,9182,10012,6588,4983,4337,109•,37•,RED,1,1.0,33,4,0,2,0,0.9666666666666667,11,2,0,2
17,10067,7814,5053,5535,6591,10217,46•,68•,BLUE,0,1.0,14,2,0,2,0,1.0,13,7,0,2
18,3098,4362,9758,6538,9208,6099,136•,111•,RED,0,2.1333333333333333,16,13,2,2,1,1.2333333333333334,20,8,0,2
19,1502,5231,9754,9735,7769,9239,61•,130•,BLUE,0,1.9333333333333333,12,6,0,2,0,2.3666666666666663,23,9,2,2
20,5982,7809,3452,135,9549,7810,88•,57•,RED,0,0.03333333333333333,19,10,0,2,0,1.8333333333333335,13,4,0,2
21,5462,10099,5056,9208,4337,4956,64•,76•,BLUE,0,1.0,15,6,0,2,0,0.9666666666666667,25,3,0,2
22,9239,10217,10067,9758,9735,4325,40,36•,RED,0,2.033333333333333,9,2,0,1,0,1.0999999999999999,11,1,0,2
23,4983,135,5053,1502,7814,3098,105•,58•,RED,0,1.9,36,4,0,2,1,0.9666666666666667,6,5,0,2
24,2959,5182,5231,7810,9754,6588,95•,38•,RED,0,1.8666666666666667,20,6,1,2,1,1.9,4,2,0,2
25,5535,5982,7769,6538,8612,5216,149•,146•,RED,1,0.43333333333333335,13,21,0,2,1,1.2666666666666668,19,13,1,2
26,6591,10012,4237,6099,9182,9549,93,69•,RED,0,1.2666666666666666,15,9,0,1,0,1.9333333333333333,25,2,0,2
27,10160,7809,10217,3452,4362,4325,69•,129•,BLUE,1,0.1,11,6,0,2,0,2.966666666666667,23,11,1,2
