Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,7769,11,0,1,12,36,3.0,1917,7,18,265,152,24,24
2,4362,11,0,1,12,36,3.0,1673,5,24,222,130,22,24
3,2959,10,2,0,12,33,2.75,1532,4,13,253,119,15,24
4,5216,10,2,0,12,31,2.5833333333333335,1488,5,11,203,135,13,23
5,4237,10,2,0,12,30,2.5,1458,4,14,236,114,14,22
6,9208,8,3,1,12,29,2.4166666666666665,1330,7,6,227,113,5,24
7,4983,8,4,0,12,28,2.3333333333333335,1127,4,6,289,59,5,24
8,4956,8,4,0,12,27,2.25,1015,5,4,261,58,2,23
9,5535,8,4,0,12,27,2.25,1112,4,5,208,102,4,23
10,3452,7,4,1,12,27,2.25,1215,3,7,248,105,4,24
11,8612,7,5,0,12,26,2.1666666666666665,1211,3,6,202,124,2,24
12,5982,7,5,0,12,25,2.0833333333333335,1188,4,6,153,144,2,23
13,6538,7,4,1,12,25,2.0833333333333335,1148,2,14,230,89,3,22
14,3098,6,6,0,12,24,2.0,1016,5,7,195,77,6,24
15,4325,6,6,0,12,24,2.0,1076,4,20,234,61,4,24
16,5056,6,6,0,12,24,2.0,995,4,14,210,74,0,24
17,135,6,6,0,12,24,2.0,1050,3,14,227,71,4,24
18,9182,6,6,0,12,24,2.0,1056,2,17,273,65,1,24
19,6588,5,6,1,12,23,1.9166666666666667,1017,5,6,164,96,5,24
20,9754,6,6,0,12,23,1.9166666666666667,900,4,19,164,64,4,23
21,9239,6,6,0,12,23,1.9166666666666667,902,0,16,183,74,6,23
22,5053,5,7,0,12,22,1.8333333333333333,824,5,13,197,48,1,24
23,1502,5,7,0,12,22,1.8333333333333333,1028,3,13,152,107,3,24
24,6099,5,7,0,12,22,1.8333333333333333,946,2,4,245,61,2,24
25,6591,6,6,0,12,21,1.75,893,5,14,152,69,2,21
26,10012,5,7,0,12,20,1.6666666666666667,901,5,8,184,74,1,22
27,7814,4,8,0,12,20,1.6666666666666667,832,5,6,169,60,3,24
28,10099,4,8,0,12,20,1.6666666666666667,1066,4,12,186,97,4,24
29,5462,4,8,0,12,20,1.6666666666666667,969,2,6,241,66,3,24
30,5182,5,7,0,12,20,1.6666666666666667,854,1,14,163,62,6,22
31,4337,5,7,0,12,20,1.6666666666666667,837,0,11,187,60,3,21
32,10217,4,8,0,12,19,1.5833333333333333,719,2,8,146,57,0,23
33,7809,4,8,0,12,19,1.5833333333333333,898,2,4,201,69,4,22
34,9758,4,8,0,12,19,1.5833333333333333,747,1,15,140,64,2,23
35,5231,3,9,0,12,18,1.5,860,4,5,206,51,3,24
36,9735,3,9,0,12,18,1.5,724,1,13,154,51,3,24
37,10160,3,9,0,12,17,1.4166666666666667,851,4,11,170,67,1,23
38,10067,4,8,0,12,17,1.4166666666666667,845,2,9,189,66,1,20
39,9549,3,9,0,12,16,1.3333333333333333,750,0,13,159,64,1,22
40,7810,2,10,0,12,14,1.1666666666666667,670,3,12,134,54,1,22
