#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1701,5460,2337,5561,6618,1504,244,125,RED
2,4998,5084,7784,27,6548,8385,184,139,RED
3,70,5533,2867,494,5282,1684,171,157,RED
4,6081,5660,8193,68,3668,772,154,172,BLUE
5,5561,6618,1504,27,6548,8385,147,153,BLUE
6,494,5282,1684,6081,5660,8193,140,148,BLUE
7,1701,5460,2337,4998,5084,7784,291,206,RED
8,70,5533,2867,68,3668,772,156,167,BLUE
9,4998,5084,7784,6081,5660,8193,145,152,BLUE
10,70,5533,2867,27,6548,8385,139,211,BLUE
11,1701,5460,2337,68,3668,772,229,184,RED
12,27,6548,8385,6081,5660,8193,204,175,RED
13,68,3668,772,27,6548,8385,173,125,RED
14,1701,5460,2337,68,3668,772,246,195,RED
15,1701,5460,2337,68,3668,772,233,164,RED
