#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,5641,27,5234,6081,4998,1504,110•,172•,BLUE,0,2.1333333333333333,6,16,1,2,0,1.7333333333333334,26,15,2,2
2,2337,7772,5282,7784,6085,6073,81•,80•,RED,0,0.16666666666666666,21,5,0,2,1,1.9333333333333333,18,3,0,2
3,5533,6618,9651,7491,9242,494,66•,90•,BLUE,0,2.1333333333333333,17,4,0,2,1,1.8333333333333333,9,9,0,2
4,5561,1701,5660,5084,70,1684,193•,117•,RED,0,0.09999999999999999,29,16,2,2,0,3.9,23,11,0,2
5,5517,5193,9648,2867,68,5697,46•,131•,BLUE,0,1.0,12,3,0,2,0,1.9666666666666668,24,11,1,2
6,772,5527,4851,8193,3668,8385,78•,82•,BLUE,0,0.26666666666666666,18,8,0,2,0,0.16666666666666666,24,6,0,2
7,9776,6548,7491,5460,5282,70,76•,169•,BLUE,0,1.0,21,5,0,2,1,2.6666666666666665,23,16,1,2
8,7784,5533,5660,5561,9242,1504,111•,63•,RED,0,0.13333333333333333,28,9,0,2,1,0.1,14,2,0,2
9,4998,8385,4851,9651,68,5641,105•,65•,RED,0,1.1,23,9,0,2,0,1.9333333333333333,10,8,0,2
10,27,6073,5193,8193,5517,1684,110•,78•,RED,0,2.0999999999999996,20,6,1,2,0,0.13333333333333333,18,8,0,2
11,1701,6548,494,6085,6081,5697,184•,114•,RED,1,1.8666666666666667,21,18,1,2,0,2.7666666666666666,16,9,1,2
12,5234,2867,9648,5084,9776,7772,78•,98•,BLUE,0,2.0,21,6,0,2,1,1.9000000000000001,25,4,0,2
13,3668,5527,2337,5460,772,6618,107•,181•,BLUE,1,1.2333333333333334,15,9,1,2,1,2.0,31,14,2,2
14,70,5660,6081,6085,5641,4851,152•,62•,RED,1,2.7,16,15,1,2,0,1.0,12,6,0,2
15,9242,5193,7772,8193,9776,494,46•,95,BLUE,0,0.06666666666666667,19,0,0,2,0,2.7333333333333334,16,12,0,1
16,7491,5561,6073,8385,6548,9648,97•,82•,RED,0,2.0666666666666664,29,3,0,2,0,2.2,26,4,0,2
17,3668,5697,5460,7784,27,5517,150•,89•,RED,1,2.7666666666666666,22,13,1,2,0,0.16666666666666666,21,4,1,2
18,5282,6618,1701,1504,2337,2867,129•,104•,RED,0,0.03333333333333333,34,5,1,2,0,1.1666666666666667,19,7,1,2
19,5234,772,68,1684,5533,4998,146•,126•,RED,1,2.0666666666666664,18,14,1,2,0,1.1666666666666667,14,14,1,2
20,9651,5084,5561,5527,7772,5517,64•,62•,RED,0,2.0,16,4,0,2,0,1.1666666666666667,14,6,0,2
21,6548,6081,5641,5282,5193,2867,136•,89•,RED,0,0.9333333333333333,24,11,1,2,1,0.06666666666666667,29,2,0,2
22,5660,7491,772,68,27,1504,85,165•,BLUE,0,0.16666666666666666,17,9,0,1,1,2.033333333333333,18,11,3,2
23,9648,5527,6085,5533,5234,8193,91•,101•,BLUE,1,2.033333333333333,17,7,0,2,0,1.1,22,10,0,2
24,4998,7784,5084,2337,8385,6618,141•,140•,RED,1,1.8666666666666667,26,8,1,2,1,0.3333333333333333,30,7,1,2
25,4851,70,1701,5460,1684,6073,149•,155•,BLUE,1,1.8666666666666667,16,16,1,2,1,2.8666666666666663,18,11,2,2
26,494,9651,5697,9776,3668,9242,57•,76•,BLUE,0,3.7333333333333334,6,6,0,2,1,0.9666666666666667,19,3,0,2
27,5282,4998,8193,2867,5533,6548,120•,127•,BLUE,0,0.9333333333333333,22,11,1,2,0,0.26666666666666666,30,10,0,2
28,9648,5660,68,1701,1504,7784,127•,145•,BLUE,0,1.9,22,11,1,2,1,-0.03333333333333333,28,10,1,2
29,27,1684,6081,2337,9651,7491,191•,114•,RED,1,1.0666666666666667,17,18,3,2,1,1.1,13,11,0,2
30,9776,5641,70,7772,772,3668,84•,74•,RED,1,2.8333333333333335,7,11,0,2,0,0.19999999999999998,23,4,0,2
31,5193,6085,5084,5527,6618,9242,114•,83•,RED,1,1.9,29,6,0,2,1,0.16666666666666666,15,7,0,2
32,494,6073,4851,5234,5697,5561,93•,74•,RED,0,2.7666666666666666,14,10,0,2,0,2.033333333333333,18,6,0,2
33,8385,5460,1504,5517,2867,6081,98•,104•,BLUE,0,2.933333333333333,26,2,1,2,1,0.9333333333333333,13,7,1,2
34,1684,3668,6085,9648,70,4998,105•,147•,BLUE,1,1.0666666666666667,21,7,0,2,1,3.7666666666666666,17,13,1,2
35,68,2337,5533,27,8193,7772,152•,124•,RED,1,1.2,19,10,1,2,1,0.16666666666666666,20,10,0,2
36,5084,5282,9242,5697,4851,5193,92•,57•,RED,1,0.9666666666666667,25,3,0,2,0,0.9666666666666667,17,4,0,2
37,5561,5517,5460,772,494,5641,118•,84•,RED,0,1.9333333333333331,18,11,1,2,0,2.0,17,9,0,2
38,7491,7784,6618,1701,9776,5234,85•,154•,BLUE,0,0.03333333333333333,19,6,0,2,1,1.9,17,15,2,2
39,6073,8385,5527,9651,5660,6548,83•,99•,BLUE,1,1.2333333333333334,15,6,0,2,1,1.0333333333333334,21,7,0,2
40,5641,3668,5282,68,1684,5561,88•,105•,BLUE,0,1.0333333333333334,27,5,0,2,0,1.1333333333333335,20,11,0,2
41,9776,4998,5460,5533,772,5084,201•,115•,RED,1,3.6666666666666665,24,15,2,2,0,1.2333333333333334,29,9,0,2
42,6548,8193,2337,5660,494,5234,114•,87•,RED,0,0.2,26,8,1,2,0,2.7666666666666666,7,14,0,2
43,4851,6618,6081,6073,1701,5517,121•,125•,BLUE,0,0.8666666666666667,18,11,1,2,0,1.0,20,11,2,2
44,1504,6085,70,5193,9651,5527,83•,34•,RED,0,3.8,13,7,0,2,0,1.0666666666666667,8,3,0,2
