Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1701,10,2,0,12,32,2.6666666666666665,1852,6,5,267,154,20,24
2,70,9,3,0,12,30,2.5,1413,8,26,186,141,4,24
3,5460,9,3,0,12,30,2.5,1807,8,21,258,145,18,24
4,6081,9,3,0,12,30,2.5,1815,7,9,242,152,18,24
5,4998,9,3,0,12,30,2.5,1639,5,14,260,133,13,24
6,5084,8,4,0,12,28,2.3333333333333335,1329,8,14,276,94,3,24
7,27,8,4,0,12,28,2.3333333333333335,1588,6,12,207,132,18,23
8,68,8,4,0,12,28,2.3333333333333335,1503,5,15,225,127,11,24
9,5660,8,4,0,12,27,2.25,1462,6,8,230,133,10,23
10,494,8,4,0,12,26,2.1666666666666665,1219,3,23,184,124,2,22
11,5561,7,5,0,12,26,2.1666666666666665,1225,2,13,263,88,5,23
12,9242,7,5,0,12,25,2.0833333333333335,1122,9,3,203,77,5,23
13,9776,7,5,0,12,25,2.0833333333333335,1174,6,20,210,92,5,23
14,5533,7,5,0,12,25,2.0833333333333335,1340,3,9,293,99,3,23
15,6085,6,6,0,12,24,2.0,1221,7,18,214,92,4,24
16,6073,6,6,0,12,24,2.0,1196,6,19,248,72,5,24
17,6548,6,6,0,12,24,2.0,1326,6,11,281,95,4,24
18,3668,6,6,0,12,24,2.0,1293,6,9,291,85,5,24
19,2337,6,6,0,12,24,2.0,1369,6,8,221,107,10,24
20,5234,6,6,0,12,24,2.0,1292,5,18,197,130,6,24
21,2867,6,6,0,12,24,2.0,1177,2,8,245,91,5,24
22,1504,5,7,0,12,23,1.9166666666666667,1289,3,17,279,78,8,24
23,7491,6,6,0,12,23,1.9166666666666667,1162,3,7,216,99,3,23
24,5697,5,7,0,12,22,1.8333333333333333,1204,5,18,219,95,6,24
25,6618,5,7,0,12,22,1.8333333333333333,1316,5,8,273,90,7,24
26,1684,5,7,0,12,22,1.8333333333333333,1349,4,12,225,121,7,24
27,7784,5,7,0,12,22,1.8333333333333333,1163,4,4,256,72,6,24
28,8193,6,6,0,12,22,1.8333333333333333,1183,3,5,243,101,4,22
29,5641,5,7,0,12,22,1.8333333333333333,1201,2,11,202,119,5,24
30,5282,5,7,0,12,21,1.75,1150,3,4,308,62,3,23
31,5527,4,8,0,12,20,1.6666666666666667,1024,7,9,177,91,2,24
32,772,4,8,0,12,20,1.6666666666666667,1211,4,16,249,100,3,23
33,7772,4,8,0,12,20,1.6666666666666667,1072,4,6,241,67,2,24
34,9648,3,9,0,12,20,1.6666666666666667,1146,3,26,242,80,5,24
35,5193,4,8,0,12,19,1.5833333333333333,954,2,7,247,54,3,23
36,8385,3,9,0,12,18,1.5,1195,4,13,255,82,4,24
37,9651,3,9,0,12,18,1.5,898,2,16,186,63,3,24
38,4851,3,9,0,12,18,1.5,1071,2,6,198,96,5,24
39,5517,3,9,0,12,17,1.4166666666666667,1009,3,9,202,76,5,23
