#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,7054,6877,10070,4327,2246,7911,73•,80•,BLUE,0,1.1,8,10,0,2,0,0.9666666666666667,13,10,0,2
2,5610,5260,858,5567,10019,3357,59•,95•,BLUE,1,0.16666666666666666,11,3,0,2,0,0.2,11,9,1,2
3,6114,7210,8397,5256,8767,3458,98•,75•,RED,1,0.13333333333333333,15,9,0,2,1,0.06666666666666667,15,6,0,2
4,904,5248,3875,1506,9106,3546,77•,108•,BLUE,1,1.1333333333333335,14,5,0,2,1,3.766666666666666,19,7,1,2
5,288,9671,3234,9763,1940,7203,80•,34•,RED,0,1.1333333333333333,22,7,0,2,0,2.033333333333333,5,3,0,2
6,2075,2771,7248,4004,9206,9566,124•,108•,RED,0,1.5,22,5,2,2,0,1.1,13,14,0,2
7,244,1506,5980,2054,6090,904,116••,180•,BLUE,0,3.0,32,7,0,2,1,2.266666666666667,23,17,2,2
8,3875,10070,4327,5610,3546,9763,93•,81•,RED,0,1.0666666666666667,13,11,0,2,1,1.0333333333333334,10,8,0,2
9,7248,2246,6114,10019,7210,2771,66,78•,BLUE,0,0.9666666666666667,21,2,0,1,0,0.26666666666666666,17,8,0,2
10,5980,7203,9566,5260,5248,244,74•,78•,BLUE,0,1.0333333333333334,8,11,0,2,0,0.03333333333333333,25,5,0,2
11,2075,9106,3234,3357,8767,6090,128•,153,BLUE,0,1.4,24,8,2,2,0,1.2666666666666666,21,11,2,1
12,2054,1940,9206,7054,8397,5567,93•,84,RED,0,1.3333333333333335,8,13,1,2,0,0.06666666666666667,24,6,0,1
13,5256,858,288,4004,7911,6877,89•,91•,BLUE,1,1.2333333333333334,20,5,0,2,0,1.0333333333333334,16,10,0,2
14,9671,7210,8767,3458,9566,2771,46,62•,BLUE,0,1.1333333333333335,13,4,0,1,0,0.09999999999999999,12,6,0,2
15,904,1940,5980,10019,7203,5610,44•,50•,BLUE,0,0.1,15,2,0,2,0,1.1333333333333333,13,3,0,2
16,6114,5256,9106,5260,8397,9763,107•,50•,RED,0,1.0,29,6,0,2,0,0.03333333333333333,8,6,0,2
17,858,2054,3875,3234,3357,2246,168•,129•,RED,1,2.3000000000000003,17,16,2,2,0,0.13333333333333333,22,12,1,2
18,9206,6090,288,3546,7248,4327,106•,78•,RED,0,0.4,14,14,0,2,0,3.766666666666666,6,10,0,2
19,7054,7911,9671,5248,6877,5567,42•,122•,BLUE,0,1.0333333333333334,14,2,0,2,1,0.1,19,13,0,2
20,10070,4004,244,3458,1506,2075,84•,180•,BLUE,0,1.0,20,7,0,2,0,2.3666666666666663,28,14,3,2
21,7210,7248,3357,7203,2246,5256,107,68•,RED,0,1.2333333333333334,19,7,1,1,0,1.0,25,2,0,2
22,8397,5980,3234,5567,9106,3875,60•,99•,BLUE,0,0.06666666666666667,17,4,0,2,1,1.1,22,6,0,2
23,244,3458,6090,2771,7911,5248,124•,101•,RED,0,0.09999999999999999,27,9,1,2,1,0.16666666666666666,24,7,0,2
24,9206,5610,1506,6877,9671,2075,91•,110•,BLUE,0,2.2,22,5,0,2,0,1.4333333333333333,7,15,1,2
25,9566,4327,2054,6114,4004,1940,134•,103•,RED,0,2.1,4,20,2,2,0,1.0,23,8,0,2
26,288,5260,7054,10070,858,3546,68,98•,BLUE,0,0.19999999999999998,12,8,0,0,1,1.9333333333333333,14,9,0,2
27,9763,10019,244,8767,9206,904,85•,52,RED,1,0.06666666666666667,14,7,0,2,0,0.16666666666666666,16,4,0,1
28,7248,3234,6090,5610,6114,9671,90•,66•,RED,1,1.0666666666666667,12,8,0,2,0,1.1,12,7,0,2
29,2075,4327,858,7203,8397,5248,158•,69•,RED,0,2.4,19,16,1,2,1,1.0,10,6,0,2
30,5567,5260,8767,5980,288,2054,50•,80•,BLUE,0,0.06666666666666667,12,4,0,2,0,2.4000000000000004,11,8,1,2
31,3546,4004,3458,10019,904,9106,91•,62•,RED,0,1.8333333333333333,18,8,0,2,0,1.0,17,4,0,2
32,2246,6877,1940,9763,2771,10070,59•,90•,BLUE,0,0.06666666666666667,7,8,0,2,0,0.16666666666666666,23,7,0,2
33,7210,5256,1506,3357,9566,7054,121•,142•,BLUE,1,2.0999999999999996,17,8,1,2,1,0.16666666666666666,12,17,1,2
34,7911,6114,5260,3875,2075,7203,68•,91•,BLUE,0,0.03333333333333333,18,5,0,2,0,2.5,15,6,1,2
