Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,6090,12,0,0,12,35,2.9166666666666665,1518,4,7,251,136,8,23
2,2075,11,1,0,12,34,2.8333333333333335,1647,4,15,233,132,19,24
3,3357,11,1,0,12,32,2.6666666666666665,1495,5,8,214,134,12,22
4,2054,10,2,0,12,32,2.6666666666666665,1514,4,22,164,158,17,24
5,1506,9,3,0,12,31,2.5833333333333335,1435,6,24,226,112,9,24
6,3458,9,3,0,12,30,2.5,1106,3,6,190,108,6,24
7,6877,8,4,0,12,28,2.3333333333333335,1184,5,9,148,135,2,24
8,2771,8,4,0,12,27,2.25,1210,4,9,240,100,3,23
9,244,7,5,0,12,27,2.25,1213,4,6,267,98,2,24
10,858,7,5,0,12,26,2.1666666666666665,1201,5,8,204,105,5,24
11,3546,6,5,1,12,25,2.0833333333333335,1221,8,25,186,111,2,24
12,3875,6,5,1,12,25,2.0833333333333335,1153,5,10,214,102,3,24
13,4327,7,5,0,12,25,2.0833333333333335,1250,0,13,181,145,4,23
14,5610,6,6,0,12,24,2.0,1021,6,9,180,84,3,24
15,9763,6,6,0,12,24,2.0,1005,5,7,143,102,3,24
16,9566,6,6,0,12,24,2.0,1209,3,7,143,151,4,24
17,5256,6,6,0,12,23,1.9166666666666667,1290,6,9,303,81,4,23
18,9106,6,6,0,12,23,1.9166666666666667,937,5,15,190,65,4,23
19,5980,5,7,0,12,23,1.9166666666666667,1042,5,11,201,82,5,24
20,288,6,6,0,12,23,1.9166666666666667,1154,5,9,214,112,2,22
21,4004,5,6,1,12,23,1.9166666666666667,1183,4,16,222,96,3,24
22,7911,5,6,1,12,23,1.9166666666666667,923,2,10,196,83,2,24
23,10070,5,7,0,12,22,1.8333333333333333,991,3,7,180,92,1,24
24,6114,6,6,0,12,22,1.8333333333333333,1234,3,6,242,104,3,22
25,7210,6,5,1,12,22,1.8333333333333333,943,2,8,164,89,3,21
26,10019,5,7,0,12,22,1.8333333333333333,836,1,4,166,77,2,24
27,5567,5,7,0,12,21,1.75,1166,6,4,239,91,2,23
28,5248,5,7,0,12,21,1.75,1033,5,9,176,96,4,23
29,3234,4,7,1,12,21,1.75,1002,3,6,220,70,3,24
30,7203,4,8,0,12,20,1.6666666666666667,777,3,15,146,58,3,24
31,9671,5,7,0,12,20,1.6666666666666667,910,2,14,174,82,3,22
32,904,4,8,0,12,19,1.5833333333333333,982,4,6,230,69,2,23
33,8397,4,8,0,12,19,1.5833333333333333,979,4,3,194,85,3,23
34,7248,4,8,0,12,18,1.5,900,2,14,176,66,3,22
35,2246,4,8,0,12,18,1.5,969,2,4,213,75,3,22
36,1940,3,9,0,12,18,1.5,838,1,7,172,71,2,24
37,5260,3,9,0,12,17,1.4166666666666667,729,1,4,149,63,1,22
38,7054,3,9,0,12,15,1.25,908,3,6,192,78,1,20
39,8767,3,9,0,12,14,1.1666666666666667,947,3,8,171,87,3,20
40,9206,2,10,0,12,14,1.1666666666666667,907,1,7,170,91,1,22
