#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,6121,8041,10004,4381,9225,10120,99,117,BLUE
2,6002,6087,9594,6077,3620,10097,164,180,BLUE
3,7226,6100,10003,3603,8522,6753,162,185,BLUE
4,1918,8286,10138,4810,5676,5086,171,136,RED
5,6121,8041,10004,6002,6087,9594,139,150,BLUE
6,7226,6100,10003,4810,5676,5086,171,102,RED
7,4381,9225,10120,6077,3620,10097,109,157,BLUE
8,3603,8522,6753,1918,8286,10138,158,163,BLUE
9,4381,9225,10120,7226,6100,10003,113,182,BLUE
10,3603,8522,6753,6002,6087,9594,182,179,RED
11,6077,3620,10097,1918,8286,10138,185,180,RED
12,3603,8522,6753,7226,6100,10003,165,186,BLUE
13,1918,8286,10138,7226,6100,10003,126,156,BLUE
14,6077,3620,10097,7226,6100,10003,145,166,BLUE
15,6077,3620,10097,7226,6100,10003,157,192,BLUE
