Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,6121,10,2,0,12,32,2.6666666666666665,1082,3,11,247,84,2,24
2,7226,10,2,0,12,31,2.5833333333333335,1357,5,10,247,105,9,23
3,1918,9,2,1,12,31,2.5833333333333335,1230,4,7,193,137,2,24
4,6002,10,2,0,12,30,2.5,1414,3,20,176,121,16,22
5,6077,8,4,0,12,28,2.3333333333333335,1042,6,5,259,64,3,24
6,4810,8,4,0,12,28,2.3333333333333335,1081,5,4,196,100,2,24
7,6087,8,4,0,12,28,2.3333333333333335,1090,5,2,261,73,3,24
8,3603,8,4,0,12,28,2.3333333333333335,1182,3,11,272,70,10,24
9,5676,7,4,1,12,27,2.25,1096,5,9,248,79,2,24
10,4381,7,4,1,12,27,2.25,1108,4,9,163,122,2,24
11,8286,8,4,0,12,27,2.25,1170,4,5,244,90,2,23
12,8522,8,4,0,12,27,2.25,1077,2,10,231,81,6,23
13,3620,9,3,0,12,27,2.25,1360,2,10,223,99,18,21
14,8041,7,5,0,12,26,2.1666666666666665,1199,2,4,193,135,5,24
15,10120,8,4,0,12,25,2.0833333333333335,987,2,9,222,72,4,21
16,6100,7,5,0,12,23,1.9166666666666667,1087,2,13,269,67,4,21
17,6753,5,6,1,12,23,1.9166666666666667,936,2,4,210,81,1,24
18,9594,6,6,0,12,23,1.9166666666666667,861,1,8,216,55,3,23
19,6642,5,7,0,12,22,1.8333333333333333,804,3,5,180,63,1,24
20,8424,6,6,0,12,22,1.8333333333333333,847,3,5,174,66,3,22
21,6033,6,6,0,12,22,1.8333333333333333,928,1,6,171,83,5,22
22,6078,5,7,0,12,21,1.75,983,7,12,199,65,1,23
23,9225,6,6,0,12,21,1.75,1012,3,7,208,85,4,21
24,7155,4,7,1,12,21,1.75,760,3,4,185,54,1,24
25,8832,5,7,0,12,21,1.75,791,1,3,179,66,2,23
26,9568,5,7,0,12,21,1.75,768,1,2,182,56,2,23
27,4453,5,7,0,12,21,1.75,821,0,11,182,65,3,23
28,7221,4,8,0,12,20,1.6666666666666667,747,4,14,139,57,1,24
29,4568,4,7,1,12,20,1.6666666666666667,775,2,12,188,50,1,23
30,10003,6,6,0,12,20,1.6666666666666667,907,2,9,199,70,3,20
31,9227,4,8,0,12,19,1.5833333333333333,889,3,12,178,68,5,23
32,10004,4,8,0,12,19,1.5833333333333333,838,3,5,198,62,1,23
33,10138,4,8,0,12,19,1.5833333333333333,897,1,5,180,82,3,23
34,5086,3,9,0,12,18,1.5,848,3,6,246,36,2,24
35,8611,3,9,0,12,18,1.5,875,2,6,186,66,4,24
36,10097,3,9,0,12,18,1.5,948,2,5,203,75,4,24
37,7794,3,9,0,12,17,1.4166666666666667,783,4,9,207,42,1,23
38,7254,3,9,0,12,17,1.4166666666666667,772,2,9,181,54,3,23
39,7855,3,9,0,12,16,1.3333333333333333,815,2,4,171,65,4,22
40,9228,3,9,0,12,14,1.1666666666666667,737,2,10,145,56,2,20
