#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,8179,6190,5619,3667,8774,8623,47•,52•,BLUE,0,0.9666666666666667,8,6,0,2,0,0.03333333333333333,18,2,0,2
2,503,7174,6152,5907,5467,6532,116•,102•,RED,0,2.533333333333333,20,9,1,2,0,0.8666666666666667,18,9,0,2
3,469,548,9205,3414,3632,9148,105•,84•,RED,0,0.1,15,12,1,2,0,0.9333333333333333,4,13,1,2
4,2048,6029,2673,6861,5498,862,34•,130•,BLUE,0,0.03333333333333333,14,0,0,2,1,0.13333333333333333,24,13,0,2
5,8115,5090,6057,7598,308,2832,70•,58•,RED,0,0.06666666666666667,18,5,0,2,0,0.03333333333333333,14,5,0,2
6,10036,8426,6914,5708,9572,4405,72•,122•,BLUE,0,0.1,15,8,0,2,0,1.8333333333333335,25,8,1,2
7,5467,8280,5531,469,8774,7553,75•,58•,RED,1,0.9333333333333333,10,6,0,2,0,0.13333333333333333,15,4,0,2
8,5498,7598,8115,862,548,5907,50•,135•,BLUE,0,0.1,16,3,0,2,0,0.9,16,12,2,2
9,8623,4405,6057,6532,3632,10036,95•,48•,RED,0,0.9666666666666667,10,7,2,2,0,0.03333333333333333,11,3,0,2
10,9205,2048,6190,8280,5090,6914,50•,106•,BLUE,0,1.0333333333333334,13,4,0,2,1,1.0333333333333334,17,9,0,2
11,6029,7553,3667,9572,3414,503,66•,179•,BLUE,0,0.03333333333333333,22,2,0,2,1,2.4,21,19,1,2
12,9148,5708,2832,6152,308,8179,76•,63•,RED,0,0.03333333333333333,23,4,0,2,0,0.9666666666666667,16,5,0,2
13,8426,6861,2673,5619,7174,5531,68•,102•,BLUE,0,0.06666666666666667,24,3,0,2,0,0.9333333333333333,21,7,1,2
14,8623,2048,6914,3632,3667,8280,61•,89•,BLUE,1,0.06666666666666667,12,3,0,2,1,0.0,20,5,0,2
