Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,4405,12,0,0,12,36,3.0,1352,3,4,167,113,19,24
2,7174,10,2,0,12,32,2.6666666666666665,1310,6,3,233,91,12,24
3,5907,10,2,0,12,32,2.6666666666666665,1385,2,5,209,118,12,24
4,548,11,1,0,12,31,2.5833333333333335,1360,1,4,195,123,14,21
5,3414,9,3,0,12,30,2.5,1442,5,9,144,165,11,24
6,503,8,4,0,12,28,2.3333333333333335,1322,5,11,200,112,10,24
7,6861,8,4,0,12,28,2.3333333333333335,1110,5,0,254,77,2,24
8,862,8,4,0,12,28,2.3333333333333335,1340,4,3,208,120,10,24
9,5090,8,4,0,12,27,2.25,1209,3,2,267,88,2,23
10,5531,7,5,0,12,26,2.1666666666666665,899,2,6,184,69,4,24
11,8280,7,5,0,12,25,2.0833333333333335,1144,8,3,185,99,2,23
12,2832,7,5,0,12,25,2.0833333333333335,926,1,0,214,66,4,23
13,469,6,6,0,12,24,2.0,1080,4,6,241,76,3,24
14,8774,6,6,0,12,24,2.0,909,4,1,192,56,6,24
15,5498,6,6,0,12,24,2.0,932,3,5,186,77,3,24
16,9205,6,6,0,12,24,2.0,924,2,2,176,81,3,24
17,6152,6,6,0,12,24,2.0,1055,1,11,227,84,4,24
18,6057,7,5,0,12,23,1.9166666666666667,878,4,5,145,78,5,21
19,9572,5,7,0,12,22,1.8333333333333333,1121,4,7,236,83,4,24
20,7598,5,7,0,12,22,1.8333333333333333,786,4,1,176,54,2,24
21,6914,5,7,0,12,22,1.8333333333333333,905,3,3,146,89,4,24
22,3667,6,6,0,12,22,1.8333333333333333,1016,2,4,249,68,3,22
23,9148,5,7,0,12,22,1.8333333333333333,798,1,0,170,62,3,24
24,7553,5,7,0,12,21,1.75,894,1,2,222,59,2,23
25,8115,5,7,0,12,21,1.75,955,1,1,237,64,4,23
26,3632,5,7,0,12,20,1.6666666666666667,962,4,2,156,86,5,22
27,8179,4,8,0,12,20,1.6666666666666667,949,4,1,200,72,4,24
28,6190,5,7,0,12,20,1.6666666666666667,885,2,8,151,81,4,22
29,6532,4,8,0,12,20,1.6666666666666667,928,2,1,209,67,3,24
30,5467,5,7,0,12,20,1.6666666666666667,811,2,1,156,65,4,22
31,10036,4,8,0,12,19,1.5833333333333333,895,4,5,168,70,2,23
32,6029,4,8,0,12,19,1.5833333333333333,814,4,2,194,47,2,23
33,5619,4,8,0,12,19,1.5833333333333333,918,2,3,180,65,6,23
34,8623,5,7,0,12,19,1.5833333333333333,791,2,1,166,46,6,21
35,5708,5,7,0,12,19,1.5833333333333333,1032,1,4,257,64,3,21
36,2673,3,9,0,12,18,1.5,831,3,3,210,45,3,24
37,8426,4,8,0,12,18,1.5,985,2,2,218,77,3,22
38,308,3,9,0,12,17,1.4166666666666667,1068,4,2,205,90,5,23
39,2048,1,11,0,12,12,1.0,826,2,5,204,49,3,22
