#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,2075,1718,9771,2405,3641,5674,187,148,RED
2,4362,5547,4003,3175,4779,4855,191,209,BLUE
3,5460,7174,7602,9176,3618,7160,192,164,RED
4,1023,67,9756,9721,5424,6128,169,189,BLUE
5,2405,3641,5674,4362,5547,4003,124,162,BLUE
6,9176,3618,7160,1023,67,9756,181,189,BLUE
7,2075,1718,9771,3175,4779,4855,185,251,BLUE
8,5460,7174,7602,9721,5424,6128,196,162,RED
9,2075,1718,9771,1023,67,9756,191,213,BLUE
10,9721,5424,6128,4362,5547,4003,144,205,BLUE
11,3175,4779,4855,5460,7174,7602,210,247,BLUE
12,4362,5547,4003,1023,67,9756,171,178,BLUE
13,3175,4779,4855,1023,67,9756,197,191,RED
14,5460,7174,7602,3175,4779,4855,215,205,RED
15,5460,7174,7602,3175,4779,4855,233,231,RED
