#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,4835,5674,5547,9736,4855,4362,93•,116•,BLUE,0,0.9666666666666667,22,10,0,2,0,1.9666666666666668,17,10,1,2
2,3175,9541,9721,5162,9771,6005,106•,54,RED,0,1.0333333333333334,22,7,1,2,0,1.1333333333333333,11,5,0,1
3,6128,10172,1718,7602,9248,5460,132•,104•,RED,0,0.1,25,11,1,2,0,1.8666666666666667,13,13,1,2
4,10206,1023,6097,4003,7160,10217,86•,70•,RED,0,1.4666666666666668,11,7,1,2,0,0.06666666666666667,20,5,0,2
5,9241,9176,4779,9756,9205,7174,125•,103•,RED,1,1.0,20,11,0,2,0,0.06666666666666667,22,8,1,2
6,3618,3641,9106,2075,5424,10067,93•,141•,BLUE,0,3.2,15,9,0,2,1,1.5333333333333334,23,10,1,2
7,2405,67,4362,6097,9742,10138,192••,76•,RED,1,3.666666666666667,29,12,2,2,1,0.9666666666666667,17,4,0,2
8,9205,10217,3175,9241,10172,5162,94•,60•,RED,1,0.13333333333333333,16,8,0,2,0,1.0333333333333334,11,7,0,2
9,9756,1023,4835,10067,9106,10206,79•,46•,RED,0,1.4666666666666668,16,6,0,2,0,1.0333333333333334,8,5,0,2
10,7602,3618,2075,5460,67,5674,114•,165••,BLUE,0,2.4333333333333336,18,10,1,2,0,4.466666666666667,28,9,2,2
11,9541,5547,5424,9771,6128,10138,78•,78•,TIE,0,0.06666666666666667,17,8,0,2,0,0.1,20,8,0,2
12,4779,9248,6005,9176,2405,4855,87•,89•,BLUE,0,1.1,10,9,1,2,0,0.03333333333333333,14,10,0,2
13,3641,9736,9742,4003,7174,1718,66,154•,BLUE,0,1.2,12,8,0,1,1,0.06666666666666667,25,13,1,2
14,4362,5162,9721,7160,10172,2075,109•,151•,BLUE,0,2.9000000000000004,15,11,1,2,0,0.4666666666666667,31,9,1,2
15,5547,5460,9176,6128,1023,9241,133•,124•,RED,0,2.833333333333333,22,12,1,2,1,0.5,16,11,1,2
16,4835,7174,10138,6097,9756,9771,87,60,RED,0,0.03333333333333333,14,8,1,1,0,0.06666666666666667,18,3,0,1
17,3175,67,7602,3641,9248,5424,124•,76•,RED,0,1.8,24,6,2,2,0,0.36666666666666664,15,7,0,2
18,9541,6005,9742,9721,3618,9736,34,74•,BLUE,0,1.0666666666666667,11,1,0,1,0,1.9333333333333333,15,7,0,2
19,1718,10217,4855,2405,4003,9106,127•,76•,RED,0,0.06666666666666667,19,14,1,2,0,2.0,23,3,0,2
20,10206,7160,9205,4779,10067,5674,48•,104•,BLUE,0,0.06666666666666667,12,4,0,2,0,1.9333333333333333,25,5,1,2
21,9248,6128,9756,4362,3641,5547,56,135•,BLUE,0,0.1,20,2,0,0,0,2.2333333333333334,16,15,1,2
