Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,2075,11,1,0,12,35,2.9166666666666665,1686,45,36,550,566,170,24
2,1718,11,1,0,12,32,2.6666666666666665,1835,60,16,622,711,180,22
3,5460,10,2,0,12,32,2.6666666666666665,1692,45,48,498,619,200,23
4,1023,10,2,0,12,31,2.5833333333333335,1517,60,41,400,583,160,23
5,4362,9,3,0,12,31,2.5833333333333335,1581,30,61,470,594,180,23
6,67,8,3,1,12,30,2.5,1615,105,56,476,557,180,23
7,3175,9,3,0,12,30,2.5,1435,30,15,548,518,140,24
8,7174,9,3,0,12,29,2.4166666666666665,1572,60,15,572,588,140,23
9,9721,8,4,0,12,28,2.3333333333333335,1192,60,35,518,393,40,24
10,4779,8,4,0,12,28,2.3333333333333335,1526,30,37,494,638,140,24
11,9176,8,4,0,12,27,2.25,1355,60,18,602,485,40,23
12,2405,7,5,0,12,27,2.25,1318,45,17,640,381,70,24
13,5674,7,4,1,12,26,2.1666666666666665,1260,30,32,564,409,80,22
14,4855,6,5,1,12,25,2.0833333333333335,1275,60,13,494,497,60,24
15,5547,6,5,1,12,25,2.0833333333333335,1398,45,23,450,626,70,24
16,3618,6,6,0,12,24,2.0,1315,60,38,538,474,50,24
17,5424,5,6,1,12,23,1.9166666666666667,1344,75,22,646,377,50,24
18,3641,6,6,0,12,23,1.9166666666666667,1200,30,24,388,505,50,23
19,7160,5,6,1,12,23,1.9166666666666667,1107,30,9,564,320,50,24
20,10172,6,6,0,12,23,1.9166666666666667,1021,15,12,412,374,60,23
21,9771,7,3,2,12,23,1.9166666666666667,1106,0,18,420,439,60,19
22,6128,5,6,1,12,21,1.75,1159,60,15,518,364,50,21
23,10206,5,7,0,12,21,1.75,953,0,18,360,354,70,23
24,6097,5,7,0,12,20,1.6666666666666667,1006,45,16,502,279,40,22
25,9106,4,8,0,12,20,1.6666666666666667,914,30,40,380,308,30,24
26,9756,5,7,0,12,20,1.6666666666666667,1098,30,12,502,376,50,21
27,10217,4,8,0,12,18,1.5,1024,45,21,402,369,30,22
28,4003,3,9,0,12,18,1.5,1151,45,18,478,397,60,24
29,10067,4,8,0,12,18,1.5,991,30,22,406,341,50,22
30,9736,5,7,0,12,18,1.5,914,30,21,346,350,50,19
31,4835,4,8,0,12,18,1.5,1040,15,9,506,353,30,22
32,9541,3,8,1,12,17,1.4166666666666667,896,45,9,432,251,40,22
33,10138,4,7,1,12,17,1.4166666666666667,1014,30,17,426,353,50,20
34,6005,4,8,0,12,17,1.4166666666666667,1030,15,23,418,362,60,20
35,9241,3,9,0,12,16,1.3333333333333333,998,45,15,344,406,50,22
36,7602,4,8,0,12,16,1.3333333333333333,1086,30,17,538,341,40,19
37,9248,3,9,0,12,16,1.3333333333333333,902,0,13,326,370,60,21
38,9742,3,9,0,12,14,1.1666666666666667,946,30,29,406,315,50,20
39,9205,2,9,1,12,14,1.1666666666666667,920,15,7,406,341,30,21
40,5162,2,10,0,12,12,1.0,977,15,37,344,402,50,19
