#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,7769,3539,9679,815,7692,247,222,179,RED
2,123,5660,7191,1250,9245,8352,130,150,BLUE
3,1025,4130,4680,573,4967,8427,186,177,RED
4,910,5901,94,1481,1188,6566,181,213,BLUE
5,815,7692,247,123,5660,7191,125,115,RED
6,573,4967,8427,910,5901,94,161,172,BLUE
7,7769,3539,9679,1250,9245,8352,224,176,RED
8,1025,4130,4680,1481,1188,6566,166,171,BLUE
9,1250,9245,8352,910,5901,94,126,197,BLUE
10,1025,4130,4680,815,7692,247,203,149,RED
11,7769,3539,9679,1481,1188,6566,223,154,RED
12,1025,4130,4680,910,5901,94,192,200,BLUE
13,1481,1188,6566,910,5901,94,182,228,BLUE
14,7769,3539,9679,910,5901,94,207,180,RED
15,7769,3539,9679,910,5901,94,190,170,RED
