Team#,Total,Rank,Selection,Elims
94,38,15,3,20
123,31,18,13,0
247,21,13,8,0
573,26,16,10,0
815,24,15,9,0
910,53,19,14,20
1025,43,21,15,7
1188,41,17,11,13
1250,30,18,12,0
1481,41,17,11,13
2673,13,13,0,0
3539,66,20,16,30
3619,8,8,0,0
3632,11,11,0,0
4130,37,15,15,7
4680,15,6,2,7
4758,10,10,0,0
4967,24,14,10,0
5065,4,4,0,0
5197,6,6,0,0
5532,9,9,0,0
5642,4,4,0,0
5660,27,14,13,0
5695,7,7,0,0
5756,11,11,0,0
5901,48,14,14,20
6566,32,13,6,13
7191,13,9,4,0
7224,9,9,0,0
7692,21,12,9,0
7769,68,22,16,30
8352,17,12,5,0
8362,5,5,0,0
8427,19,12,7,0
9245,28,16,12,0
9679,38,7,1,30
9727,8,8,0,0
9744,10,10,0,0
9751,10,10,0,0
9775,11,11,0,0
