#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,3632,2673,9751,94,5756,8362,38•,49•,BLUE,0,0.06666666666666667,10,2,0,2,0,-0.06666666666666667,4,8,0,2
2,1025,6566,123,7692,9245,5197,114•,78,RED,1,2.033333333333333,16,8,1,2,0,0.0,21,7,0,1
3,815,7224,5065,5642,4758,9744,62•,26•,RED,0,0.03333333333333333,10,8,0,2,0,0.0,9,1,0,2
4,3619,4130,7769,5695,9679,8352,170•,51•,RED,1,1.4,20,16,1,2,1,0.16666666666666666,11,2,0,2
5,1481,7191,8427,9727,1188,1250,80•,99,BLUE,0,2.7666666666666666,17,5,0,2,0,0.9666666666666667,9,10,1,1
6,9775,573,247,5901,910,5532,73•,100•,BLUE,0,2.5999999999999996,18,5,0,2,0,1.4666666666666668,14,11,0,2
7,4967,4680,9751,3539,5660,8362,74•,111,BLUE,0,1.1666666666666667,19,4,0,2,0,1.4,24,10,0,1
8,9727,123,1481,1250,7769,1025,116•,160•,BLUE,0,1.0,25,7,1,2,0,2.3333333333333335,19,15,2,2
9,9744,5695,5532,6566,8427,3619,34•,69•,BLUE,0,0.0,11,1,0,2,0,0.9666666666666667,22,4,0,2
10,7692,3632,4130,4680,5065,5901,89•,64•,RED,0,0.9333333333333333,16,8,0,2,0,0.9333333333333333,13,7,0,2
11,5197,4758,5660,9679,2673,247,62•,67•,BLUE,0,0.0,12,7,0,2,1,1.1333333333333333,18,2,0,2
12,7224,7191,8352,5756,815,4967,43•,82•,BLUE,0,0.9666666666666667,10,3,0,2,0,0.13333333333333333,12,11,0,2
13,910,9245,9775,94,5642,1188,86•,78•,RED,0,2.5,21,6,0,2,0,0.9,10,10,0,2
14,1250,9679,3539,573,4680,7769,127•,146•,BLUE,0,0.5666666666666667,24,11,1,2,1,3.0999999999999996,9,15,1,2
15,9727,7224,5756,3632,1025,8427,28•,121•,BLUE,0,0.0,5,2,0,2,0,2.7333333333333334,16,12,1,2
16,2673,7692,3619,9775,5532,123,44•,59•,BLUE,0,0.03333333333333333,8,4,0,2,1,1.0,14,2,0,2
17,4967,5660,9744,94,6566,910,97•,103•,BLUE,1,0.09999999999999999,20,6,0,2,0,0.5666666666666667,15,12,1,2
18,5695,5197,573,4758,4130,9751,71•,65•,RED,0,1.6666666666666665,15,7,0,2,0,0.0,10,6,1,2
19,5065,8362,7191,9245,247,8352,19•,101•,BLUE,0,0.9666666666666667,5,1,0,2,0,0.9666666666666667,35,4,0,2
20,815,5642,1481,1188,5901,3539,85,161••,BLUE,0,1.0,8,10,1,1,0,3.3,29,14,1,2
21,4758,123,7769,5197,9751,8427,130•,78•,RED,1,0.4666666666666667,24,9,1,2,1,0.9,21,3,0,2
22,3619,1250,247,9245,3632,8362,99•,76•,RED,0,1.0,16,8,1,2,0,0.0,25,4,0,2
23,5756,7692,4680,1481,9744,573,78,93•,BLUE,0,0.0,9,12,0,0,1,2.6333333333333333,8,7,1,2
24,7224,9679,1025,3539,815,9775,97•,109•,BLUE,0,2.0666666666666664,13,10,1,2,0,1.4,19,10,0,2
25,4130,9727,94,5065,5695,6566,104•,30•,RED,0,1.8666666666666667,12,14,0,2,0,0.09999999999999999,9,2,0,2
26,910,7191,2673,5642,8352,4967,104•,86•,RED,1,1.5,20,6,1,2,0,0.09999999999999999,21,5,0,2
27,1188,5532,7224,5901,1025,5660,67•,129•,BLUE,0,0.9666666666666667,16,5,0,2,0,2.8333333333333335,17,12,1,2
