#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,4392,4391,4988,10189,4375,2586,195,142,RED
2,1596,3655,3602,6637,7826,6113,181,112,RED
3,857,3175,7250,6112,7202,10172,167,116,RED
4,7154,7782,9548,9674,6569,5314,170,165,RED
5,10189,4375,2586,6637,7826,6113,144,123,RED
6,6112,7202,10172,9674,6569,5314,115,88,RED
7,4392,4391,4988,1596,3655,3602,208,151,RED
8,857,3175,7250,7154,7782,9548,179,147,RED
9,1596,3655,3602,6112,7202,10172,171,111,RED
10,7154,7782,9548,10189,4375,2586,171,109,RED
11,4392,4391,4988,857,3175,7250,224,215,RED
12,7154,7782,9548,1596,3655,3602,188,128,RED
13,857,3175,7250,7154,7782,9548,197,168,RED
14,4392,4391,4988,857,3175,7250,221,199,RED
15,4392,4391,4988,857,3175,7250,199,206,BLUE
16,4392,4391,4988,857,3175,7250,209,145,RED
