Team#,Total,Rank,Selection,Elims
857,55,20,15,20
1596,38,18,13,7
2586,21,13,8,0
3175,54,19,15,20
3602,25,14,4,7
3655,36,16,13,7
4375,23,14,9,0
4391,67,21,16,30
4392,68,22,16,30
4827,11,11,0,0
4988,43,12,1,30
5213,4,4,0,0
5314,16,10,6,0
5486,9,9,0,0
5706,7,7,0,0
5878,13,13,0,0
6079,12,12,0,0
6088,6,6,0,0
6112,25,15,10,0
6113,17,12,5,0
6345,5,5,0,0
6558,11,11,0,0
6569,21,10,11,0
6637,29,17,12,0
7154,45,18,14,13
7202,25,15,10,0
7250,33,11,2,20
7713,4,4,0,0
7782,44,17,14,13
7826,25,13,12,0
9188,9,9,0,0
9249,6,6,0,0
9548,23,7,3,13
9674,27,16,11,0
9722,8,8,0,0
9755,9,9,0,0
10128,8,8,0,0
10172,19,12,7,0
10189,24,15,9,0
