#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,7713,6637,6345,4391,3175,7202,38•,202•,BLUE,0,0.0,12,2,0,2,1,0.1,30,16,2,2
2,4392,5213,3602,7826,6569,10128,107•,77,RED,1,0.26666666666666666,22,7,0,2,0,0.9666666666666667,27,3,0,1
3,9674,6113,7154,9249,5314,9755,94•,49•,RED,0,0.13333333333333333,17,7,1,2,0,0.9666666666666667,15,3,0,2
4,6558,5706,9188,5486,1596,10189,46,75•,BLUE,0,0.0,14,3,0,1,0,0.03333333333333333,16,6,0,2
5,4375,6079,3655,7250,10172,9722,117•,54,RED,1,1.1666666666666667,26,8,0,2,0,0.03333333333333333,15,3,0,1
6,6112,7782,4988,5878,9548,2586,102•,91•,RED,0,0.19999999999999998,16,9,1,2,0,0.9666666666666667,21,6,1,2
7,6569,4827,6088,7154,857,6345,84•,162•,BLUE,1,0.9,20,5,0,2,1,0.06666666666666667,22,12,2,2
8,5706,4375,7713,9755,4392,10189,26•,99•,BLUE,0,0.0,7,1,0,2,0,0.26666666666666666,13,9,1,2
9,3655,9249,10128,5878,5486,6637,60•,64•,BLUE,0,0.23333333333333334,18,2,0,2,0,0.0,16,5,0,2
10,5213,5314,7826,6088,9188,7202,55,67•,BLUE,0,0.9666666666666667,18,2,0,1,1,0.0,13,4,0,2
11,3602,7250,9548,3175,6558,6079,79•,96•,BLUE,1,0.03333333333333333,19,3,0,2,0,1.0666666666666667,22,6,1,2
12,6112,4391,9674,10172,4827,7782,107•,71•,RED,0,0.03333333333333333,26,6,1,2,0,0.2333333333333333,16,4,1,2
13,9722,2586,4988,1596,6113,857,91•,125•,BLUE,0,0.9666666666666667,20,7,1,2,0,1.1333333333333335,15,11,2,2
14,3655,10189,6558,9755,9548,5486,74•,48•,RED,0,0.19999999999999998,15,7,0,2,0,0.0,12,4,0,2
15,4827,7826,6112,5213,6569,7713,92•,73•,RED,1,0.0,18,6,0,2,0,0.9,24,4,0,2
16,6088,6637,7154,9674,4988,9188,73•,50•,RED,0,0.03333333333333333,18,6,0,2,0,0.0,15,3,0,2
17,4392,4375,1596,5314,2586,6345,154•,84•,RED,0,0.2333333333333333,20,14,2,2,0,1.9333333333333333,13,7,1,2
18,3175,857,5878,10172,6079,6113,164•,83•,RED,0,0.1,20,19,2,2,1,0.13333333333333333,18,6,0,2
19,7250,10128,5706,7782,9722,4391,50•,127•,BLUE,0,0.06666666666666667,10,5,0,2,0,1.2333333333333334,31,4,2,2
20,7202,3602,7154,1596,9249,4827,94•,71•,RED,0,1.0666666666666667,18,7,1,2,0,0.0,12,6,1,2
21,3655,5486,7826,6345,4988,10172,99•,54•,RED,1,0.16666666666666666,21,7,0,2,0,0.03333333333333333,13,5,0,2
22,2586,5213,9755,7250,6637,6569,55•,77•,BLUE,0,0.9666666666666667,11,4,1,2,0,0.9,23,4,0,2
23,6558,6113,4391,4392,7202,857,125•,141•,BLUE,1,0.13333333333333333,22,9,1,2,0,0.26666666666666666,24,11,1,2
24,9188,5878,6079,9674,10189,3175,62•,101•,BLUE,0,0.0,18,4,0,2,1,1.1,17,6,1,2
25,3602,9249,7782,6088,9722,7713,85•,36•,RED,0,0.2333333333333333,18,5,1,2,0,0.0,9,3,0,2
26,5706,9548,6112,10128,4375,5314,47•,60,BLUE,0,0.0,11,3,0,2,0,1.0333333333333334,19,3,0,1
27,5878,10172,7154,6558,7250,6345,97•,54•,RED,0,0.06666666666666667,18,9,1,2,0,0.0,15,4,0,2
28,4988,1596,3602,7713,3175,9755,91•,77•,RED,0,0.03333333333333333,19,6,1,2,0,1.0666666666666667,7,9,1,2
29,6079,4827,5486,6637,9674,10128,38•,46•,BLUE,0,0.0,9,3,0,2,0,0.06666666666666667,14,2,0,2
30,7782,7202,5213,3655,4392,9722,82•,111•,BLUE,0,0.19999999999999998,20,5,1,2,0,0.39999999999999997,21,10,1,2
31,6569,2586,6113,4375,4391,9548,94•,151•,BLUE,1,2.966666666666667,14,5,1,2,1,0.03333333333333333,30,9,1,2
32,10189,857,5706,9249,6088,6112,86•,55•,RED,0,0.06666666666666667,12,9,1,2,0,0.0,12,5,0,2
33,9188,7826,7782,5314,3655,1596,95•,111•,BLUE,0,0.19999999999999998,30,3,0,2,0,1.1333333333333333,18,10,1,2
34,7713,6113,6079,7202,10172,2586,44•,103•,BLUE,0,0.09999999999999999,12,3,0,2,1,1.0,16,7,1,2
35,6569,9674,4375,4988,10128,6558,87,48•,RED,0,0.9,27,5,0,1,0,0.06666666666666667,12,4,0,2
36,6637,5213,10189,3602,4827,5878,52•,54,BLUE,0,0.03333333333333333,16,3,0,2,0,0.03333333333333333,9,7,0,1
37,9249,7250,3175,7154,5706,7826,91•,91•,TIE,0,0.06666666666666667,18,6,1,2,0,0.03333333333333333,22,5,1,2
38,9755,9722,857,5314,9548,6088,102•,53•,RED,1,0.03333333333333333,12,9,1,2,0,-0.03333333333333333,17,3,0,2
