#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,7197,3538,280,302,3302,245,238,150,RED
2,9558,7178,5214,573,894,7224,154,139,RED
3,5525,1718,3096,2591,8728,7716,139,146,BLUE
4,5436,5612,7145,10066,5050,2834,140,131,RED
5,302,3302,245,573,894,7224,143,148,BLUE
6,5525,1718,3096,10066,5050,2834,135,110,RED
7,7197,3538,280,9558,7178,5214,195,176,RED
8,2591,8728,7716,5436,5612,7145,108,188,BLUE
9,9558,7178,5214,5525,1718,3096,153,168,BLUE
10,2591,8728,7716,573,894,7224,126,161,BLUE
11,7197,3538,280,5436,5612,7145,212,192,RED
12,573,894,7224,5525,1718,3096,121,165,BLUE
13,5436,5612,7145,5525,1718,3096,156,166,BLUE
14,7197,3538,280,5525,1718,3096,222,174,RED
15,7197,3538,280,5525,1718,3096,215,182,RED
