#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,5235,5525,9252,7247,7813,245,57•,66•,BLUE,0,0.9666666666666667,20,2,0,2,0,1.1,4,6,1,2
2,5050,4390,5436,9528,5478,894,113,58•,RED,0,1.2666666666666666,18,12,0,1,0,1.1,18,3,0,2
3,5612,9733,9697,2604,3096,7178,75•,95•,BLUE,1,1.1666666666666667,18,4,0,2,0,1.0333333333333334,18,7,1,2
4,5214,1718,8728,7224,573,3302,111•,87•,RED,0,1.9333333333333333,15,10,1,2,0,1.6666666666666665,20,8,0,2
5,3619,7197,10099,9757,3538,280,93•,112•,BLUE,0,0.1,17,6,1,2,1,4.366666666666667,13,9,1,2
6,2834,2591,8364,10066,7145,302,55•,57,BLUE,0,1.5333333333333332,9,6,0,2,0,1.7333333333333334,8,7,0,1
7,7716,9204,245,4838,4390,9558,90•,105•,BLUE,1,0.2,11,6,1,2,1,1.1666666666666667,9,15,0,2
8,9528,5235,3096,7197,3302,9252,40•,114•,BLUE,0,1.0,13,2,0,2,0,1.0,21,10,0,2
9,1718,7178,7145,8728,280,3619,100•,64,RED,0,0.06666666666666667,14,11,0,2,0,2.1333333333333333,13,5,0,1
10,9558,894,573,3538,7813,8364,140•,79•,RED,1,0.9333333333333333,20,17,0,2,0,2.2,14,6,1,2
11,9757,9733,5478,2591,7716,5612,25•,84•,BLUE,0,1.9,6,1,0,2,0,0.26666666666666666,26,5,0,2
12,5436,10066,7247,10099,302,2604,93•,73•,RED,0,0.23333333333333334,5,13,1,2,0,2.7,11,7,0,2
13,7224,9697,5050,9204,5214,2834,66•,61•,RED,0,0.16666666666666666,19,5,0,2,0,3.5666666666666664,16,4,0,2
14,5525,9558,8728,4838,2591,9528,114•,22•,RED,0,0.06666666666666667,20,14,0,2,0,1.0,7,0,0,2
