Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,7197,11,1,0,12,34,2.8333333333333335,1326,3,9,227,110,9,24
2,5525,10,2,0,12,33,2.75,1174,6,5,297,62,4,24
3,5436,11,0,1,12,33,2.75,1295,5,9,177,117,9,22
4,3538,10,1,1,12,32,2.6666666666666665,1485,5,25,221,120,14,22
5,1718,10,1,1,12,32,2.6666666666666665,1501,4,6,244,129,10,22
6,9558,10,1,1,12,32,2.6666666666666665,1337,2,8,155,181,3,23
7,5612,8,3,1,12,29,2.4166666666666665,1220,5,8,254,89,6,24
8,573,7,5,0,12,26,2.1666666666666665,1090,4,14,179,105,2,24
9,894,8,4,0,12,26,2.1666666666666665,1072,3,9,212,98,2,22
10,10066,8,4,0,12,25,2.0833333333333335,817,2,6,153,71,4,21
11,2591,6,5,1,12,25,2.0833333333333335,803,2,5,179,58,3,24
12,302,7,5,0,12,24,2.0,1135,6,16,184,102,3,22
13,4390,7,5,0,12,24,2.0,836,4,7,156,73,3,22
14,7813,6,6,0,12,23,1.9166666666666667,871,5,16,147,77,3,23
15,4838,5,6,1,12,23,1.9166666666666667,800,4,6,146,66,3,24
16,245,6,6,0,12,23,1.9166666666666667,1205,2,8,141,127,9,23
17,5050,7,5,0,12,23,1.9166666666666667,1006,0,12,208,91,1,21
18,9697,5,6,1,12,22,1.8333333333333333,740,4,4,143,64,3,23
19,9528,5,7,0,12,22,1.8333333333333333,797,3,17,189,44,4,22
20,9204,5,7,0,12,22,1.8333333333333333,808,3,10,167,62,3,24
21,7716,5,7,0,12,22,1.8333333333333333,913,3,7,204,64,3,24
22,9733,5,6,1,12,22,1.8333333333333333,737,2,16,169,47,2,23
23,7178,6,6,0,12,22,1.8333333333333333,1192,2,9,192,103,11,22
24,7247,5,7,0,12,22,1.8333333333333333,748,2,7,141,65,2,24
25,3302,5,7,0,12,22,1.8333333333333333,958,2,5,203,82,1,24
26,8728,6,5,1,12,22,1.8333333333333333,1062,1,16,181,104,3,21
27,10099,6,6,0,12,22,1.8333333333333333,848,0,7,164,77,3,21
28,9757,4,8,0,12,20,1.6666666666666667,755,2,15,158,55,2,24
29,3096,5,7,0,12,20,1.6666666666666667,864,1,12,162,76,4,22
30,280,4,8,0,12,19,1.5833333333333333,935,4,14,161,76,3,23
31,2834,4,8,0,12,19,1.5833333333333333,1000,1,17,175,92,4,23
32,8364,4,8,0,12,19,1.5833333333333333,874,1,5,167,82,3,23
33,7145,5,7,0,12,18,1.5,883,3,4,151,86,2,20
34,2604,3,9,0,12,18,1.5,772,1,16,154,62,2,24
35,5214,3,9,0,12,17,1.4166666666666667,872,2,19,156,68,4,23
36,7224,3,8,1,12,17,1.4166666666666667,878,2,7,201,71,2,22
37,9252,2,9,1,12,16,1.3333333333333333,771,1,13,142,72,1,23
38,5478,3,9,0,12,16,1.3333333333333333,738,0,5,158,65,2,22
39,3619,2,10,0,12,15,1.25,703,1,9,169,38,2,23
40,5235,2,10,0,12,14,1.1666666666666667,729,2,8,162,57,2,22
