#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,2175,2129,5434,5464,2531,3184,212,203,RED
2,3206,6147,7038,7068,6749,3630,209,205,RED
3,1816,2502,2987,4624,4536,7541,192,142,RED
4,7028,2052,2169,4663,2491,2470,187,198,BLUE
5,5464,2531,3184,7068,6749,3630,210,203,RED
6,4624,4536,7541,7028,2052,2169,184,256,BLUE
7,2175,2129,5434,3206,6147,7038,266,173,RED
8,1816,2502,2987,4663,2491,2470,190,192,BLUE
9,3206,6147,7038,7028,2052,2169,159,193,BLUE
10,1816,2502,2987,5464,2531,3184,207,157,RED
11,2175,2129,5434,4663,2491,2470,219,195,RED
12,1816,2502,2987,7028,2052,2169,182,223,BLUE
13,4663,2491,2470,7028,2052,2169,187,240,BLUE
14,2175,2129,5434,7028,2052,2169,220,216,RED
15,2175,2129,5434,7028,2052,2169,194,256,BLUE
16,2175,2129,5434,7028,2052,2169,232,195,RED
