#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,2549,2052,2175,3891,2207,9157,163•,63•,RED,1,1.3666666666666667,19,15,2,2,0,0.9333333333333333,14,6,0,2
2,2861,4663,1816,2491,8516,7019,138•,119•,RED,0,1.2666666666666666,25,11,1,2,0,1.0,14,13,1,2
3,3018,3206,4536,2470,3883,5275,127,119•,RED,0,0.26666666666666666,15,14,1,1,0,2.0666666666666664,25,11,0,2
4,2879,3100,7850,7028,2531,2169,98•,132•,BLUE,1,2.0666666666666664,14,8,0,2,0,2.7333333333333334,15,14,1,2
5,8787,5434,7849,2472,5271,3026,58•,58•,TIE,0,1.1333333333333333,11,6,0,2,0,1.0666666666666667,10,7,0,2
6,3184,5278,7273,5541,3751,2987,70•,76•,BLUE,1,1.6333333333333333,13,4,0,2,0,1.0,11,9,1,2
7,3691,2498,9149,4664,7038,2181,61•,91•,BLUE,0,0.9333333333333333,11,7,0,2,0,1.1666666666666667,23,7,0,2
8,6147,6749,3202,4693,2264,3610,114•,69•,RED,0,4.766666666666666,16,9,1,2,0,0.9666666666666667,17,7,0,2
9,3082,2511,3630,7068,2129,7541,96,147•,BLUE,0,1.1333333333333333,11,11,1,1,0,2.6333333333333333,21,16,0,2
10,3038,4511,2502,2220,8234,4277,77,100•,BLUE,0,1.9333333333333333,20,6,0,1,1,1.9,9,12,0,2
11,4624,5278,2501,5464,7530,2175,83•,134•,BLUE,1,1.1,24,3,0,2,0,0.23333333333333334,14,16,1,2
12,4536,2181,2531,4663,3751,5271,73•,74•,BLUE,0,1.0333333333333332,9,7,0,2,0,0.19999999999999998,19,6,0,2
13,7850,6749,7273,2470,9149,3202,91•,71,RED,1,1.9333333333333333,13,8,0,2,0,1.9333333333333333,13,7,0,1
14,2549,7068,4664,7038,3100,3206,95•,99•,BLUE,0,2.5,28,5,0,2,0,0.2,23,8,0,2
15,2169,6147,5434,2052,3082,7541,100•,110•,BLUE,0,3.9,19,7,1,2,0,1.6,19,10,1,2
16,2220,2472,7849,2879,2129,2491,103•,191•,BLUE,0,1.9,9,16,0,2,1,2.9,20,17,2,2
17,7019,8234,3184,2501,3891,3018,106•,95,RED,0,1.6666666666666665,8,17,0,2,0,0.16666666666666666,18,9,0,1
18,2511,2987,3038,3026,2498,1816,90,104•,BLUE,0,2.0666666666666664,13,10,1,1,0,1.1666666666666667,13,10,1,2
19,3630,5275,3610,4277,3691,5541,124•,62•,RED,1,1.9,12,10,1,2,0,1.9,8,8,0,2
20,8516,9157,4511,3883,8787,2264,61,77•,BLUE,0,1.0,11,5,0,1,0,0.16666666666666666,15,8,0,2
21,2861,2207,4693,4624,7028,2502,85•,140•,BLUE,0,1.8666666666666667,26,3,0,2,0,1.0,21,11,2,2
22,9149,2472,7530,7019,2052,5464,72•,164•,BLUE,0,1.1,8,11,0,2,0,1.2,20,15,2,2
23,6749,2175,7849,7541,3184,7038,153•,82•,RED,0,2.0666666666666664,16,20,1,2,0,1.9666666666666666,20,5,0,2
24,3610,2501,5271,3038,7850,4664,58•,76•,BLUE,0,0.09999999999999999,11,6,0,2,0,2.0,18,7,0,2
25,9157,3018,2264,2129,4277,3082,110•,158•,BLUE,0,0.16666666666666666,8,17,0,2,1,2.033333333333333,24,13,1,2
26,2169,2498,4536,5541,8516,4693,140,64•,RED,0,1.0666666666666667,12,20,1,1,0,1.9333333333333333,13,6,0,2
27,3630,2470,3751,2502,3891,6147,135•,130•,RED,0,1.0333333333333334,23,16,0,2,1,2.9,24,9,1,2
28,2531,2220,2549,2511,2861,3691,81•,66•,RED,0,2.833333333333333,14,9,0,2,0,1.0333333333333334,17,5,0,2
29,2207,3206,4624,3026,2491,4511,105•,91•,RED,0,1.0666666666666667,30,6,0,2,0,2.9,16,7,1,2
30,5464,5434,7028,2987,2181,8787,145•,99,RED,0,1.8333333333333335,24,7,2,2,0,1.1666666666666667,11,8,1,1
31,2879,1816,8234,3202,5278,3883,104•,73•,RED,0,1.1666666666666667,7,12,2,2,0,0.9666666666666667,13,9,0,2
32,7273,4663,7530,5275,3100,7068,62•,120•,BLUE,0,1.2666666666666666,20,3,0,2,1,1.5,26,6,0,2
33,2470,2052,8516,5271,3038,2549,111•,72•,RED,0,1.3666666666666667,12,11,1,2,0,2.0,17,6,0,2
34,2491,3891,2531,4693,7541,9149,107•,74•,RED,0,1.9,23,8,1,2,0,2.1333333333333333,19,6,0,2
35,3751,4511,2861,3610,5464,3082,69•,81•,BLUE,0,1.9333333333333333,17,5,0,2,0,1.0333333333333334,12,8,1,2
36,5278,2264,2207,2181,7849,2498,75•,93•,BLUE,0,1.9,19,6,0,2,0,0.9666666666666667,23,10,0,2
37,2987,9157,2169,3206,6147,4663,116,155•,BLUE,0,1.0333333333333334,9,17,0,1,1,2.9666666666666663,23,12,1,2
38,7068,7038,4277,3883,5541,2220,112•,55•,RED,0,2.466666666666667,27,7,0,2,0,2.9333333333333336,9,5,0,2
39,8787,2502,3184,7850,1816,7530,108•,77•,RED,0,0.7999999999999999,23,9,0,2,0,2.3333333333333335,10,5,1,2
40,3100,3202,3026,4536,7019,3630,74,115,BLUE,0,2.033333333333333,21,5,0,1,0,1.0666666666666667,8,15,1,1
41,3018,3691,4664,2175,2879,7273,81•,95•,BLUE,0,0.26666666666666666,15,9,0,2,0,1.1,11,12,1,2
42,6749,7028,2472,2501,8234,2511,142•,52,RED,0,1.8,20,12,1,2,0,0.06666666666666667,5,8,0,1
43,2129,2531,4624,8516,5275,5434,155•,104•,RED,0,2.033333333333333,13,16,2,2,0,1.0333333333333334,31,5,0,2
44,3038,7530,2220,3751,9149,2207,99•,88•,RED,1,1.0333333333333332,10,12,0,2,1,1.8666666666666667,15,7,0,2
45,4511,7541,7019,4536,7038,2470,79•,100•,BLUE,1,1.2,19,4,0,2,0,0.23333333333333334,25,6,1,2
46,3206,7068,3610,2264,2879,3891,84•,78•,RED,0,0.43333333333333335,14,8,0,2,0,0.9666666666666667,13,8,0,2
47,2052,4663,5541,4664,8787,8234,123•,64•,RED,0,1.3,21,11,1,2,0,0.19999999999999998,16,6,0,2
48,7028,7849,2861,7273,4277,9157,126•,58•,RED,0,2.7666666666666666,24,7,1,2,0,0.9666666666666667,8,7,0,2
49,5271,5464,6147,2498,2511,3018,105•,80•,RED,0,4.8999999999999995,12,10,1,2,1,0.23333333333333334,10,8,0,2
50,2502,2987,3082,3202,4624,3691,141•,64•,RED,0,0.2,30,12,1,2,0,1.0666666666666667,16,5,0,2
51,3026,7850,2129,2175,1816,3883,141•,203•,BLUE,0,2.9,18,16,1,2,1,0.39999999999999997,20,20,2,2
52,5278,3630,3100,5434,2491,6749,145•,165•,BLUE,1,2.066666666666667,15,15,1,2,1,2.0,37,9,1,2
53,5275,2549,3184,2181,2169,2472,99•,118•,BLUE,0,3.5666666666666664,22,7,0,2,1,0.9666666666666667,11,14,0,2
54,4693,7273,4511,2501,8787,2879,61•,44•,RED,0,1.9333333333333333,19,3,0,2,0,1.0666666666666667,8,4,0,2
55,7541,2470,2987,3610,7530,2207,145•,56,RED,0,0.36666666666666664,32,12,1,2,0,1.1,14,4,0,1
56,3202,5271,5541,9149,2175,3206,33•,141•,BLUE,0,0.9666666666666667,4,5,0,2,1,1.0666666666666667,21,10,1,2
