#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,4607,3276,6045,5348,3313,2846,282,106,RED
2,4778,5638,4174,2855,2509,4207,214,210,RED
3,4728,9745,3755,2508,2526,3102,204,139,RED
4,3293,9576,4239,3300,3058,3294,201,144,RED
5,5348,3313,2846,2855,2509,4207,177,194,BLUE
6,2508,2526,3102,3300,3058,3294,153,133,RED
7,4607,3276,6045,4778,5638,4174,258,158,RED
8,4728,9745,3755,3293,9576,4239,177,195,BLUE
9,4778,5638,4174,2508,2526,3102,180,163,RED
10,4728,9745,3755,2855,2509,4207,179,211,BLUE
11,4607,3276,6045,3293,9576,4239,254,212,RED
12,2855,2509,4207,4778,5638,4174,203,171,RED
13,3293,9576,4239,2855,2509,4207,223,184,RED
14,4607,3276,6045,3293,9576,4239,237,182,RED
15,4607,3276,6045,3293,9576,4239,287,176,RED
