#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,9745,3293,3276,3297,4226,2513,218•,74•,RED,1,1.9000000000000001,22,17,3,2,0,3.066666666666667,13,7,0,2
2,2508,7257,2500,6146,3023,3212,105•,98,RED,0,1.6,17,11,0,2,0,0.6,20,10,0,1
3,3291,2239,2518,4239,4703,2526,46,82•,BLUE,0,0.09999999999999999,9,5,0,1,0,0.16666666666666666,21,7,0,2
4,4607,4741,6045,8878,2574,4480,141•,53,RED,0,2.2,14,18,0,2,0,1.1,9,5,0,1
5,4728,4166,4238,9576,5638,3755,112•,110•,RED,1,0.9666666666666667,14,10,1,2,0,1.0333333333333334,34,8,0,2
6,4229,8298,3042,7677,4198,6628,44•,59•,BLUE,0,1.0666666666666667,9,4,0,2,0,1.9000000000000001,13,6,0,2
7,2227,2855,6132,10045,3102,2606,91•,78•,RED,0,0.0,16,10,0,2,0,2.2,22,5,0,2
8,2177,6709,7858,3300,4778,2667,73•,110•,BLUE,0,0.26666666666666666,15,7,0,2,1,1.2666666666666666,20,9,0,2
9,3294,2503,5348,2846,3298,3871,106•,66•,RED,0,1.0666666666666667,7,15,1,2,0,2.1333333333333333,7,9,0,2
10,3740,6175,2538,4174,2509,3313,68,103•,BLUE,0,2.2,15,5,0,0,1,1.1333333333333335,21,6,0,2
11,3058,4207,2239,3007,3122,8878,84•,48,RED,0,1.0666666666666669,24,5,0,2,0,2.2333333333333334,13,3,0,1
12,8298,2508,3023,4226,3276,4480,108•,138•,BLUE,1,1.0,20,8,0,2,0,2.933333333333333,14,15,2,2
13,4778,4166,2177,4198,6146,10045,34•,74•,BLUE,0,1.1333333333333333,10,2,0,2,0,1.2000000000000002,18,6,0,2
14,2503,2606,5638,3297,4229,4741,78•,87•,BLUE,1,1.9333333333333333,13,6,0,2,1,3.4333333333333336,8,11,0,2
15,4607,3871,7858,2538,7257,2227,84•,66•,RED,0,2.6666666666666665,8,10,0,2,0,3.0,17,3,0,2
16,3755,3740,4728,6175,6709,3122,99•,98•,RED,0,0.8333333333333334,14,10,1,2,0,1.3,16,9,0,2
17,6132,3293,3291,2667,3298,3212,111•,43•,RED,0,2.0,13,14,1,2,0,0.5666666666666667,7,5,0,2
18,3102,2509,4239,2500,4207,3042,130•,81•,RED,1,1.2333333333333334,23,10,0,2,0,0.9666666666666667,23,6,0,2
19,2518,2513,3313,4238,5348,9576,58,112•,BLUE,0,0.19999999999999998,13,5,0,1,0,0.16666666666666666,17,13,1,2
20,2526,2846,3007,7677,9745,4174,108•,89•,RED,0,1.0666666666666667,18,14,0,2,0,1.0666666666666667,23,5,0,2
21,2855,4703,3294,3300,6045,2574,99•,79•,RED,0,1.0666666666666667,11,13,1,2,0,1.2666666666666668,13,6,1,2
22,6709,3276,6628,3058,3291,4166,147•,52•,RED,0,1.9000000000000001,15,17,1,2,0,2.0,20,0,0,2
23,2177,3122,10045,3298,4229,4480,74,56•,RED,0,0.26666666666666666,16,9,0,1,0,1.1333333333333333,8,4,1,2
24,2508,6175,2513,2239,6132,7858,88,68,RED,0,0.9666666666666667,16,9,0,1,0,0.19999999999999998,10,9,0,0
25,3755,3212,4238,8298,3102,2503,52•,66•,BLUE,0,0.3666666666666667,10,6,0,2,0,1.1666666666666667,15,6,0,2
26,2500,4778,6045,3871,3007,3297,125•,87•,RED,1,0.36666666666666664,15,11,1,2,1,3.8,13,6,0,2
27,2227,3300,3023,4239,8878,3740,82•,65•,RED,0,1.0,17,9,0,2,0,0.9333333333333333,19,4,0,2
28,4198,3042,3293,3313,3058,7257,121•,123•,BLUE,0,2.0,10,19,0,2,1,2.7666666666666666,27,6,0,2
29,6628,4741,2846,4607,9576,2509,88•,150•,BLUE,1,0.6,10,10,0,2,1,1.5666666666666667,22,12,1,2
30,5638,9745,2855,5348,2518,2538,153•,76,RED,0,1.0666666666666667,43,8,1,2,0,0.6,9,9,0,1
31,2606,2667,6146,2574,2526,7677,67•,96•,BLUE,1,1.3,8,6,0,2,0,0.0,21,10,0,2
32,4174,4728,3294,4207,4703,4226,158•,79•,RED,0,1.0333333333333334,20,18,1,2,1,1.2666666666666666,18,4,0,2
33,4229,3102,2227,3291,4778,6175,62•,101•,BLUE,0,0.3,19,3,0,2,0,2.0999999999999996,21,8,0,2
34,3297,3313,3300,4741,3023,4166,100•,74•,RED,0,2.9333333333333336,20,9,0,2,0,1.4666666666666666,11,10,0,2
35,9576,2500,3058,2855,2177,8298,99•,85•,RED,1,1.1333333333333333,20,7,0,2,0,0.9666666666666667,10,10,1,2
36,4238,6146,4607,3007,2667,2239,84•,74•,RED,0,1.7333333333333334,17,2,1,2,0,1.1333333333333335,15,8,0,2
37,2526,5348,3740,4480,6628,2503,84•,52,RED,0,0.9333333333333333,14,9,0,2,0,1.0,6,4,1,1
38,4239,3298,2513,7257,6709,6045,60•,150•,BLUE,0,0.13333333333333333,14,6,0,2,0,0.8999999999999999,20,16,1,2
39,2574,10045,3755,4207,2846,2518,80•,107•,BLUE,0,0.13333333333333333,14,10,0,2,1,1.1666666666666667,21,9,0,2
40,2538,4728,4703,2508,7677,3293,93•,115•,BLUE,1,1.5,14,7,0,2,0,1.9333333333333336,15,13,0,2
41,4226,9745,3122,3042,8878,6132,97•,60•,RED,0,2.533333333333333,24,8,0,2,0,0.03333333333333333,13,7,0,2
42,2509,2606,4198,5638,3212,3871,65•,75•,BLUE,0,1.9,10,8,0,2,0,2.3,20,4,0,2
43,7858,4174,6146,3294,3276,3291,104•,83•,RED,1,0.43333333333333335,16,9,0,2,0,2.7,12,6,1,2
44,3023,3313,4607,3102,3058,2526,150•,103•,RED,0,1.6666666666666665,24,15,1,2,1,0.26666666666666666,30,4,0,2
45,6628,6175,4207,2855,2508,2667,92•,105•,BLUE,0,1.9666666666666668,15,11,0,2,1,0.13333333333333333,6,10,1,2
46,4166,6045,7677,3122,3293,2503,75,91•,BLUE,0,0.06666666666666667,17,7,0,1,0,1.2666666666666668,5,14,1,2
47,2509,5348,3007,2227,3755,2177,139•,70•,RED,1,2.033333333333333,18,11,1,2,0,0.0,21,5,0,2
48,4480,4238,5638,3298,4174,7257,99•,111•,BLUE,1,1.9333333333333333,18,5,1,2,1,1.7333333333333334,15,10,0,2
49,3042,3212,3297,3294,9576,2574,88•,88•,TIE,0,2.2333333333333334,9,11,0,2,0,1.1333333333333335,17,9,0,2
50,4741,10045,4239,2513,3871,9745,85•,64•,RED,0,1.5666666666666667,17,9,0,2,0,1.0666666666666667,17,4,0,2
51,2239,4226,2606,2846,3740,4778,87•,86•,RED,1,1.2,9,10,0,2,0,1.1,21,8,0,2
52,8878,4198,2500,3276,2518,4728,68•,157•,BLUE,0,2.0,17,5,0,2,0,0.8666666666666666,12,11,3,2
53,2538,6132,4229,3300,8298,6709,35•,83,BLUE,0,0.49999999999999994,8,3,0,2,0,2.033333333333333,18,7,0,1
54,4703,6628,3297,3755,3313,7858,110•,82•,RED,1,2.0,15,11,0,2,0,2.2666666666666666,19,7,0,2
55,4174,2574,4238,3293,4239,2177,90•,109•,BLUE,0,0.16666666666666666,25,7,0,2,0,1.1,18,11,0,2
56,3291,3042,7677,10045,5638,2508,47•,96•,BLUE,0,1.8666666666666667,10,3,0,2,1,1.0,18,6,0,2
57,3212,4480,2846,2513,2227,3058,133•,68•,RED,1,2.433333333333333,11,14,1,2,0,0.06666666666666667,19,5,0,2
58,2538,6146,2500,3122,6132,4741,69,63•,RED,0,0.6,19,4,0,1,0,0.7,9,9,0,2
59,4166,7257,8878,2509,2526,8298,58•,69•,BLUE,0,2.5999999999999996,11,4,0,2,0,1.9333333333333333,13,8,0,2
60,6045,2239,5348,4728,2667,3102,84•,142•,BLUE,0,1.3333333333333335,9,10,0,2,1,0.3333333333333333,21,11,1,2
