Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,4607,9,0,0,9,27,3.0,1158,2,13,146,119,6,18
2,4728,8,1,0,9,25,2.7777777777777777,1101,4,4,159,88,10,18
3,3276,8,1,0,9,24,2.6666666666666665,1352,3,15,138,131,17,16
4,3293,8,1,0,9,24,2.6666666666666665,1140,1,14,115,136,8,17
5,4778,7,2,0,9,23,2.5555555555555554,893,2,11,171,77,1,18
6,2855,7,2,0,9,23,2.5555555555555554,870,2,3,130,87,7,18
7,3300,7,2,0,9,22,2.4444444444444446,928,3,13,162,84,3,17
8,2508,7,2,0,9,22,2.4444444444444446,931,3,6,146,91,1,17
9,5348,7,2,0,9,22,2.4444444444444446,969,1,7,119,108,5,17
10,2509,6,3,0,9,21,2.3333333333333335,976,5,11,176,79,2,18
11,6146,7,2,0,9,21,2.3333333333333335,849,2,7,163,66,3,16
12,4239,6,3,0,9,21,2.3333333333333335,846,2,6,169,77,0,18
13,2526,7,2,0,9,21,2.3333333333333335,879,2,6,161,91,2,16
14,3297,5,3,1,9,20,2.2222222222222223,846,3,22,138,82,0,18
15,6628,6,3,0,9,20,2.2222222222222223,863,2,8,117,95,4,17
16,3294,5,3,1,9,20,2.2222222222222223,904,0,10,117,108,5,18
17,6709,6,3,0,9,20,2.2222222222222223,908,0,8,157,87,3,17
18,2846,5,4,0,9,19,2.111111111111111,934,5,12,130,108,1,18
19,3102,5,4,0,9,19,2.111111111111111,833,4,10,173,61,1,18
20,4174,5,4,0,9,19,2.111111111111111,937,4,9,169,77,2,18
21,3058,5,4,0,9,19,2.111111111111111,823,3,10,213,44,1,18
22,6045,6,3,0,9,19,2.111111111111111,1006,2,7,129,106,6,15
23,6175,6,3,0,9,19,2.111111111111111,894,1,12,136,96,0,15
24,4703,5,4,0,9,18,2.0,893,4,11,146,82,4,17
25,9576,4,4,1,9,18,2.0,932,3,10,184,79,2,18
26,7858,6,3,0,9,18,2.0,749,3,6,131,73,0,14
27,4229,5,4,0,9,18,2.0,676,2,10,101,70,3,17
28,2667,4,5,0,9,17,1.8888888888888888,762,5,4,113,73,2,18
29,7257,4,5,0,9,17,1.8888888888888888,905,4,13,148,79,1,18
30,2606,4,5,0,9,17,1.8888888888888888,777,4,10,113,79,1,18
31,4226,4,5,0,9,17,1.8888888888888888,718,2,12,129,67,2,18
32,3313,5,4,0,9,17,1.8888888888888888,896,2,11,188,69,2,16
33,2500,5,4,0,9,17,1.8888888888888888,781,2,5,153,70,2,16
34,10045,5,4,0,9,17,1.8888888888888888,792,1,10,147,79,2,15
35,3023,4,5,0,9,16,1.7777777777777777,870,3,7,136,91,1,17
36,8298,4,5,0,9,16,1.7777777777777777,728,2,9,115,80,1,17
37,3871,4,5,0,9,16,1.7777777777777777,654,1,17,117,56,1,17
38,4198,4,5,0,9,16,1.7777777777777777,693,1,13,126,70,0,17
39,7677,4,5,0,9,16,1.7777777777777777,779,0,7,153,71,2,17
40,4741,3,6,0,9,15,1.6666666666666667,770,3,12,107,90,0,18
41,4207,3,6,0,9,15,1.6666666666666667,781,2,11,172,64,0,18
42,9745,4,5,0,9,15,1.6666666666666667,962,2,9,218,65,4,16
43,3291,4,5,0,9,15,1.6666666666666667,719,1,13,144,54,3,16
44,3212,3,5,1,9,15,1.6666666666666667,723,1,9,126,71,1,17
45,2227,3,6,0,9,15,1.6666666666666667,683,1,5,167,55,0,18
46,5638,3,6,0,9,14,1.5555555555555556,864,4,10,215,54,2,17
47,4480,4,5,0,9,14,1.5555555555555556,860,2,12,114,81,8,15
48,2177,3,6,0,9,14,1.5555555555555556,727,2,5,138,67,3,17
49,4238,3,6,0,9,14,1.5555555555555556,727,2,3,152,54,4,17
50,3298,2,7,0,9,13,1.4444444444444444,612,2,8,98,58,1,18
51,2239,3,6,0,9,13,1.4444444444444444,770,2,7,123,79,2,15
52,2574,2,6,1,9,13,1.4444444444444444,772,2,5,147,78,1,17
53,3122,4,5,0,9,13,1.4444444444444444,718,1,9,133,75,1,14
54,3007,2,7,0,9,12,1.3333333333333333,771,2,16,140,68,2,17
55,2538,3,6,0,9,12,1.3333333333333333,622,2,8,132,46,0,14
56,3042,1,7,1,9,12,1.3333333333333333,731,2,7,107,85,0,18
57,2503,3,6,0,9,12,1.3333333333333333,656,2,7,97,72,3,15
58,6132,3,6,0,9,12,1.3333333333333333,633,1,2,98,73,2,14
59,3740,3,6,0,9,12,1.3333333333333333,607,0,6,134,50,1,14
60,3755,1,8,0,9,11,1.2222222222222223,759,1,6,162,72,1,18
61,2513,2,7,0,9,10,1.1111111111111112,624,1,5,118,61,1,15
62,2518,2,7,0,9,10,1.1111111111111112,693,1,4,100,70,3,15
63,4166,1,8,0,9,9,1.0,576,1,11,123,47,1,16
64,8878,1,8,0,9,9,1.0,563,0,10,122,48,1,16
