#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,1986,1769,4766,1288,5013,10116,189•,90•,RED,1,1.0666666666666667,11,22,1,2,0,1.9000000000000001,17,7,0,2
2,5809,5918,10121,5126,2357,1939,100•,156•,BLUE,0,1.9333333333333333,16,10,1,2,1,2.8999999999999995,18,14,2,2
3,2718,2560,6843,1785,4959,5801,83•,153•,BLUE,0,0.9333333333333333,15,7,1,2,0,2.0666666666666664,27,14,1,2
4,1987,8825,1764,1730,2001,6907,150•,102,RED,0,0.5666666666666667,37,8,1,2,0,0.0,25,9,0,1
5,1763,9410,2345,4593,5141,5098,115•,117•,BLUE,0,1.1,25,8,1,2,0,1.0,33,8,0,2
6,1723,1847,7531,1825,2457,1775,102•,89•,RED,1,1.0333333333333334,18,8,0,2,0,0.03333333333333333,17,8,0,2
7,937,4455,1827,3061,5268,4009,61•,126•,BLUE,1,1.1666666666666667,11,4,0,2,1,1.866666666666667,18,9,1,2
8,1763,6843,1288,2357,8825,4593,76•,112•,BLUE,0,1.0333333333333334,21,6,0,2,1,1.0333333333333332,17,7,1,2
9,5013,9410,1723,1785,2718,2001,130•,128•,RED,0,1.9666666666666668,26,6,2,2,0,0.9333333333333333,30,10,0,2
10,5809,5141,4009,1825,3061,1987,169•,202•,BLUE,1,1.9333333333333333,32,12,1,2,1,1.2333333333333334,27,16,1,2
11,6907,4766,5126,5801,5268,2345,182•,101•,RED,0,0.9,15,20,3,2,0,1.9,28,3,1,2
12,5918,1769,4455,1986,1939,1764,80•,129•,BLUE,0,0.19999999999999998,11,12,0,2,1,1.2000000000000002,17,16,0,2
13,1730,2457,10121,1775,2560,5098,111•,65,RED,0,0.03333333333333333,18,12,1,2,0,1.0333333333333334,9,8,0,1
14,937,10116,7531,1847,4959,1827,74•,66•,RED,0,0.03333333333333333,19,6,0,2,0,2.1333333333333333,14,6,0,2
15,4766,5013,5918,6843,1769,5268,145•,68,RED,0,0.8,23,10,1,2,0,1.0333333333333334,10,10,0,0
16,4593,1986,1825,2560,5126,1987,120•,197•,BLUE,0,0.13333333333333333,14,16,0,2,1,2.3333333333333335,21,17,3,2
17,4009,1847,1785,5809,1764,2345,107•,123•,BLUE,0,1.1,25,9,0,2,0,3.0,19,11,1,2
18,1775,5801,1723,2001,5098,1827,111•,54•,RED,0,1.9666666666666668,18,10,1,2,0,1.0,17,3,0,2
19,9410,2718,10116,1288,7531,1939,115•,83•,RED,0,2.033333333333333,17,10,1,2,0,1.9,18,7,0,2
20,6907,937,10121,5141,1730,4455,91•,100•,BLUE,0,0.03333333333333333,11,11,1,2,1,1.1666666666666667,16,8,0,2
21,4959,3061,2357,8825,1763,2457,143•,75•,RED,0,2.9,20,13,1,2,0,0.16666666666666666,19,5,0,2
22,1939,1775,2001,5126,1825,4009,52•,156,BLUE,0,1.0,16,3,0,2,0,0.03333333333333333,29,14,1,1
23,5013,1986,1730,4593,2718,937,194•,102•,RED,1,1.0666666666666667,26,18,2,2,0,0.9333333333333333,15,11,0,2
24,2345,1288,2457,1769,3061,5809,86•,146•,BLUE,0,1.9,14,9,0,2,0,1.8333333333333335,19,16,1,2
25,2357,5098,1847,1785,4455,10116,124•,81•,RED,1,2.033333333333333,14,11,1,2,1,1.2333333333333334,9,8,0,2
26,7531,1987,1763,9410,10121,5268,111•,79•,RED,0,0.43333333333333335,27,5,1,2,0,1.0666666666666667,13,8,0,2
27,1827,2560,6907,6843,5918,4959,97•,54•,RED,0,1.9333333333333333,10,10,1,2,0,1.1,15,4,0,2
28,5801,4766,8825,1764,5141,1723,188•,70•,RED,1,2.966666666666667,26,15,1,2,0,2.033333333333333,21,3,0,2
29,5809,1847,1825,4455,5098,5013,137•,128•,RED,0,2.0,18,13,1,2,0,1.1666666666666665,24,10,1,2
30,5126,10121,2718,6907,9410,4959,95•,132•,BLUE,0,0.9666666666666667,14,10,0,2,0,0.16666666666666666,25,10,1,2
31,4766,1764,1288,5141,7531,2560,163•,79•,RED,1,1.9333333333333333,19,16,1,2,0,1.9333333333333333,24,4,0,2
32,4593,1730,5268,937,2457,5801,104•,115•,BLUE,0,0.9666666666666667,24,5,1,2,0,0.9666666666666667,20,10,1,2
33,5918,1939,8825,1987,1827,1785,88•,165•,BLUE,0,2.033333333333333,25,6,0,2,1,1.3333333333333335,23,14,2,2
34,4009,2357,1763,1723,1986,10116,122•,88,RED,0,2.033333333333333,28,7,1,2,0,1.1333333333333335,15,6,1,1
35,3061,2001,6843,2345,1775,1769,100,62•,RED,0,0.9,20,9,1,1,0,1.0333333333333334,11,7,0,2
36,4766,4455,5809,2457,1939,2718,174•,140•,RED,1,2.033333333333333,13,15,2,2,1,1.9,28,10,1,2
37,2560,5801,9410,1986,10121,8825,155•,91,RED,0,2.0,10,17,2,2,0,0.26666666666666666,11,12,0,1
38,5013,1987,1775,2357,6907,7531,160•,158•,RED,0,1.3333333333333335,29,10,2,2,0,1.9333333333333331,17,16,2,2
39,1769,937,2001,1763,1847,5918,70•,58•,RED,0,1.0333333333333334,12,9,0,2,0,1.1,13,6,0,2
40,6843,1785,5141,1288,1825,1730,74,137•,BLUE,0,1.0,17,7,0,0,1,0.9333333333333333,20,12,1,2
