Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1987,12,0,0,12,35,2.9166666666666665,1909,5,12,300,139,22,23
2,4766,11,1,0,12,33,2.75,2005,6,11,222,183,19,23
3,3061,10,2,0,12,31,2.5833333333333335,1667,6,11,238,148,10,23
4,9410,10,2,0,12,31,2.5833333333333335,1670,3,10,245,142,16,23
5,1730,9,3,0,12,29,2.4166666666666665,1635,4,6,278,142,12,23
6,5801,8,4,0,12,28,2.3333333333333335,1589,3,14,262,134,10,24
7,4009,9,3,0,12,28,2.3333333333333335,1545,3,8,295,120,6,22
8,2560,8,4,0,12,27,2.25,1323,5,15,170,124,10,23
9,5013,8,4,0,12,27,2.25,1618,3,12,299,120,13,23
10,2357,7,5,0,12,26,2.1666666666666665,1633,6,24,213,134,16,24
11,1764,7,5,0,12,26,2.1666666666666665,1466,5,13,275,125,4,24
12,4593,7,5,0,12,26,2.1666666666666665,1324,3,4,231,116,5,24
13,4959,7,5,0,12,26,2.1666666666666665,1289,2,11,246,102,7,24
14,1825,7,5,0,12,25,2.0833333333333335,1538,4,7,233,142,9,23
15,1785,7,5,0,12,24,2.0,1459,5,8,254,135,5,20
16,2457,6,6,0,12,24,2.0,1369,4,5,231,124,7,24
17,1288,6,6,0,12,24,2.0,1316,3,16,220,114,6,24
18,1723,7,5,0,12,24,2.0,1277,3,13,242,97,9,22
19,7531,6,6,0,12,24,2.0,1248,2,6,263,94,5,24
20,8825,6,6,0,12,23,1.9166666666666667,1291,4,9,262,98,5,23
21,1769,6,6,0,12,22,1.8333333333333333,1287,3,9,190,139,6,21
22,5809,6,6,0,12,22,1.8333333333333333,1499,2,17,233,123,13,22
23,6907,6,6,0,12,22,1.8333333333333333,1380,1,5,191,138,12,21
24,937,5,7,0,12,22,1.8333333333333333,1137,1,4,221,101,5,24
25,1986,6,6,0,12,21,1.75,1565,6,10,188,162,10,21
26,5141,5,7,0,12,21,1.75,1165,3,16,271,75,5,22
27,2718,5,7,0,12,21,1.75,1496,2,12,269,118,11,23
28,1939,4,8,0,12,20,1.6666666666666667,1366,5,15,228,123,7,24
29,5098,5,7,0,12,20,1.6666666666666667,1264,2,11,256,103,6,22
30,1847,4,8,0,12,19,1.5833333333333333,1076,2,16,181,104,4,23
31,5268,4,8,0,12,19,1.5833333333333333,1063,2,13,211,77,6,22
32,4455,3,9,0,12,18,1.5,1134,5,10,163,110,5,24
33,5126,5,7,0,12,18,1.5,1474,2,8,206,145,12,19
34,10116,5,7,0,12,17,1.4166666666666667,1084,2,8,186,90,6,19
35,2001,4,8,0,12,17,1.4166666666666667,1122,2,6,240,93,4,21
36,2345,4,8,0,12,17,1.4166666666666667,1223,1,16,214,100,9,20
37,5918,3,9,0,12,17,1.4166666666666667,1117,0,14,209,103,4,23
38,10121,3,9,0,12,16,1.3333333333333333,1163,2,7,160,116,9,22
39,6843,4,8,0,12,15,1.25,1061,2,9,188,99,6,17
40,1763,3,9,0,12,15,1.25,1041,0,9,244,81,3,20
41,1827,2,10,0,12,14,1.1666666666666667,1087,2,15,191,86,7,21
42,1775,2,10,0,12,14,1.1666666666666667,944,0,8,181,77,5,22
