#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,8558,4371,8734,6017,5932,8740,30•,54,BLUE,0,0.0,9,2,0,2,0,0.03333333333333333,6,8,0,1
2,2283,5716,7725,3527,6647,3794,46•,60,BLUE,0,1.1333333333333333,11,3,0,2,0,1.0333333333333334,12,6,0,1
3,3526,7546,6170,4731,4775,6832,43,46•,BLUE,0,0.9666666666666667,7,5,0,0,0,0.0,10,5,0,2
4,7161,6106,5959,3354,6652,9134,48•,60•,BLUE,0,0.0,11,5,0,2,0,1.1666666666666667,10,7,0,2
5,3522,3933,8290,7421,4723,6348,45,121•,BLUE,0,0.9666666666666667,14,2,0,1,0,1.2,19,12,1,2
6,9593,6606,4635,9053,3472,9120,130•,59•,RED,1,2.0,10,17,1,2,0,1.9,13,5,0,2
7,4010,9280,6896,7018,9065,3158,78•,48,RED,0,1.0,17,8,0,2,0,0.06666666666666667,15,1,0,1
8,10140,5887,6605,5874,5948,9702,46•,66•,BLUE,0,2.033333333333333,14,2,0,2,0,1.0333333333333334,24,1,0,2
9,6647,4723,6832,4371,6348,3527,80,43,RED,0,0.06666666666666667,14,9,0,1,0,1.9333333333333333,19,0,0,1
10,4635,5932,7421,8558,9593,6106,171•,37•,RED,0,0.3,15,19,2,2,0,0.9666666666666667,12,2,0,2
11,8734,3794,6606,3522,4731,3158,31,115•,BLUE,0,0.9666666666666667,8,3,0,1,1,0.06666666666666667,25,9,0,2
12,8290,5874,6170,7725,5887,9053,44,30•,RED,0,0.0,13,3,0,0,0,1.0,12,0,0,2
13,5716,7546,9134,2283,3472,10140,62,60•,RED,0,0.16666666666666666,11,8,0,1,0,1.0333333333333334,9,6,0,2
14,6605,6896,3354,4775,6017,3933,37•,76•,BLUE,0,0.9,14,1,0,2,0,1.0,18,6,0,2
15,3526,5959,7018,9702,9120,9065,65•,41•,RED,0,0.9666666666666667,21,3,0,2,0,1.9333333333333333,16,0,0,2
16,7161,4010,5948,8740,6652,9280,66,34,RED,0,1.0333333333333334,22,2,0,1,0,0.19999999999999998,2,6,0,0
17,7546,6106,3527,8290,5887,4635,31,90•,BLUE,0,0.9666666666666667,12,1,0,1,0,0.1,11,7,0,2
18,3158,8558,3354,6170,6606,6647,63•,72•,BLUE,1,2.0,7,5,0,2,0,1.0333333333333334,14,7,0,2
19,10140,3794,7725,9053,6896,3933,30,49,BLUE,0,1.0,8,1,0,1,0,0.9666666666666667,9,6,0,1
20,6348,9120,5959,6605,8740,8734,76•,11•,RED,1,1.9333333333333333,19,3,0,2,0,0.9666666666666667,5,0,0,2
21,9134,9593,9702,3526,4731,5932,58•,57,RED,0,2.0,13,4,0,2,0,0.9666666666666667,17,4,0,1
22,5716,3522,5874,9280,3472,4775,60•,71,BLUE,0,1.1,22,2,0,2,0,0.9666666666666667,20,5,0,1
23,6832,7161,4371,7421,9065,6652,38•,105,BLUE,0,0.0,11,3,0,2,0,0.39999999999999997,12,10,1,1
24,5948,2283,6017,4723,7018,4010,135•,61,RED,1,0.16666666666666666,29,9,0,2,0,0.9666666666666667,23,2,0,1
25,5959,9053,6647,7546,3933,4731,117•,63•,RED,1,0.06666666666666667,12,14,0,2,0,0.9666666666666667,12,8,0,2
26,5874,6606,3472,6106,8734,7725,57•,15,RED,0,0.9,11,7,0,2,0,0.9666666666666667,7,0,0,0
27,3794,9065,7161,6605,4635,6348,38•,99•,BLUE,0,0.0,16,0,0,2,0,2.0,13,10,1,2
28,8290,5716,4371,10140,3354,5948,22,79•,BLUE,0,0.09999999999999999,7,2,0,1,1,1.0333333333333334,19,4,0,2
29,9593,4775,5932,8740,6832,7018,43•,20•,RED,0,0.9666666666666667,9,4,0,2,0,0.0,4,2,0,2
30,6652,9120,2283,5887,3158,3526,74•,72•,RED,0,2.2,21,4,0,2,0,1.0666666666666667,19,5,0,2
31,7421,9280,8558,6170,9134,4723,93•,76,RED,0,0.26666666666666666,14,7,1,2,0,0.06666666666666667,20,6,0,1
32,3527,6896,9702,4010,6017,3522,39•,62•,BLUE,0,1.9333333333333333,12,2,0,2,0,1.0,18,3,0,2
