Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,4635,11,1,0,12,33,2.75,1357,30,18,378,587,130,23
2,7421,11,1,0,12,32,2.6666666666666665,1327,45,20,378,604,110,22
3,5948,11,1,0,12,31,2.5833333333333335,1008,75,18,604,205,10,21
4,3354,9,3,0,12,30,2.5,835,60,30,382,255,20,24
5,6017,10,2,0,12,30,2.5,943,45,10,368,362,10,22
6,4775,9,3,0,12,29,2.4166666666666665,855,0,17,460,263,10,23
7,5959,9,3,0,12,28,2.3333333333333335,945,45,12,400,353,10,22
8,6647,10,2,0,12,28,2.3333333333333335,971,30,15,290,448,0,18
9,3522,8,4,0,12,26,2.1666666666666665,930,30,15,544,224,10,22
10,4010,8,4,0,12,25,2.0833333333333335,666,0,26,418,140,0,20
11,9280,8,4,0,12,25,2.0833333333333335,720,0,13,336,254,10,19
12,6170,7,5,0,12,23,1.9166666666666667,730,45,6,330,256,0,19
13,6348,7,5,0,12,23,1.9166666666666667,809,30,27,412,235,20,21
14,5874,7,5,0,12,23,1.9166666666666667,655,0,11,404,164,0,20
15,9120,5,7,0,12,22,1.8333333333333333,710,60,39,316,190,10,24
16,2283,5,7,0,12,22,1.8333333333333333,851,45,20,468,216,0,24
17,6606,6,6,0,12,22,1.8333333333333333,730,15,30,320,285,10,22
18,5716,6,6,0,12,21,1.75,658,30,14,326,202,20,21
19,4723,8,4,0,12,21,1.75,876,15,14,440,283,20,17
20,4731,5,7,0,12,20,1.6666666666666667,715,45,8,300,276,0,21
21,8558,6,6,0,12,20,1.6666666666666667,666,30,17,316,206,10,20
22,9053,5,7,0,12,20,1.6666666666666667,612,30,12,324,156,0,22
23,5887,5,7,0,12,20,1.6666666666666667,761,15,20,352,238,10,22
24,5932,6,6,0,12,20,1.6666666666666667,758,15,12,318,283,20,19
25,9702,4,8,0,12,20,1.6666666666666667,665,0,40,394,137,0,24
26,3526,6,6,0,12,20,1.6666666666666667,783,0,25,442,189,20,19
27,7546,7,5,0,12,20,1.6666666666666667,792,0,9,346,314,10,17
28,3158,5,7,0,12,19,1.5833333333333333,894,30,20,436,300,0,21
29,3794,6,6,0,12,19,1.5833333333333333,611,30,8,316,153,20,19
30,9593,5,7,0,12,19,1.5833333333333333,717,15,31,290,282,20,21
31,3472,6,6,0,12,19,1.5833333333333333,724,15,22,316,265,10,19
32,8290,6,6,0,12,19,1.5833333333333333,618,15,5,274,223,10,18
33,3933,6,6,0,12,18,1.5,763,15,28,358,249,20,17
34,9065,5,7,0,12,18,1.5,678,15,7,344,179,20,20
35,6652,6,6,0,12,18,1.5,763,0,20,312,310,10,16
36,6832,4,8,0,12,18,1.5,600,0,5,270,226,10,22
37,7725,4,8,0,12,17,1.4166666666666667,531,15,30,310,122,0,20
38,9134,5,7,0,12,17,1.4166666666666667,700,0,14,348,236,0,17
39,4371,4,8,0,12,16,1.3333333333333333,667,30,9,370,190,10,20
40,6896,5,7,0,12,16,1.3333333333333333,654,0,10,316,240,0,17
41,6605,2,10,0,12,15,1.25,538,15,22,300,133,10,22
42,8740,3,9,0,12,14,1.1666666666666667,526,15,11,200,225,10,19
43,7018,3,9,0,12,14,1.1666666666666667,693,15,7,372,191,10,19
44,3527,4,8,0,12,14,1.1666666666666667,695,0,32,392,189,10,18
45,10140,4,8,0,12,13,1.0833333333333333,748,15,16,332,250,10,15
46,8734,2,10,0,12,13,1.0833333333333333,453,0,11,296,104,0,20
47,7161,2,10,0,12,13,1.0833333333333333,581,0,8,346,140,10,21
48,6106,2,10,0,12,10,0.8333333333333334,521,15,14,296,144,0,17
