#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,8429,587,10030,10141,3459,4561,168,135,RED
2,8746,2059,4861,3229,8727,8304,122,170,BLUE
3,4795,6894,10178,6729,1533,6502,176,151,RED
4,7763,4829,7890,9607,900,3822,184,67,RED
5,10141,3459,4561,8746,2059,4861,166,123,RED
6,6729,1533,6502,9607,900,3822,146,98,RED
7,8429,587,10030,3229,8727,8304,162,147,RED
8,4795,6894,10178,7763,4829,7890,225,172,RED
9,3229,8727,8304,6729,1533,6502,157,184,BLUE
10,7763,4829,7890,10141,3459,4561,147,161,BLUE
11,8429,587,10030,4795,6894,10178,142,175,BLUE
12,10141,3459,4561,6729,1533,6502,139,147,BLUE
13,8429,587,10030,6729,1533,6502,168,152,RED
14,4795,6894,10178,8429,587,10030,171,155,RED
15,4795,6894,10178,8429,587,10030,169,163,RED
