#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,8757,8746,10009,3336,10178,4829,56•,60•,BLUE,0,0.03333333333333333,14,4,0,2,0,0.06666666666666667,12,6,0,2
2,8804,2059,8429,10141,2640,6502,121•,68,RED,0,0.0,19,11,1,2,0,0.03333333333333333,14,7,0,1
3,4561,900,6729,4795,8304,7763,113,166,BLUE,0,0.13333333333333333,15,11,1,1,0,0.06666666666666667,26,18,1,1
4,6894,4816,3349,5679,8205,3459,52•,75•,BLUE,0,0.0,13,4,0,2,0,0.0,18,5,0,2
5,8758,10030,4861,7890,9259,1533,46•,97•,BLUE,0,0.03333333333333333,15,2,0,2,0,0.9666666666666667,14,9,1,2
6,9707,9607,3822,3229,10079,8090,57•,48•,RED,1,0.0,15,2,0,2,0,0.03333333333333333,9,5,0,2
7,587,8727,6729,9724,900,10208,165•,70•,RED,1,1.1,35,10,1,2,0,0.1,16,6,0,2
8,1533,4816,8757,4861,7890,4795,75,125•,BLUE,0,0.9666666666666667,7,8,1,1,0,0.06666666666666667,23,12,1,2
9,6894,9707,3336,3229,3349,8804,56•,61•,BLUE,0,0.0,16,4,0,2,1,0.0,10,5,0,2
10,4829,587,10009,6502,8090,5679,92,40,RED,0,0.03333333333333333,22,8,0,1,0,0.0,14,1,0,1
11,9724,9607,8727,2059,2640,10178,78•,60•,RED,1,0.09999999999999999,20,2,0,2,0,0.06666666666666667,16,4,0,2
12,3459,10141,8746,8758,10208,8429,89•,49•,RED,0,0.03333333333333333,21,8,0,2,0,0.03333333333333333,9,3,1,2
13,9259,10079,7763,10030,8205,8304,85•,64,RED,0,0.03333333333333333,16,8,1,2,0,0.03333333333333333,17,5,0,1
14,4561,2640,4861,3822,6502,4829,86•,64•,RED,0,0.06666666666666667,18,4,1,2,0,0.0,17,4,0,2
15,8746,4795,8090,10141,5679,3349,95•,30•,RED,0,0.06666666666666667,17,7,1,2,0,0.03333333333333333,7,2,0,2
16,10208,4816,10009,8205,3336,900,38•,52•,BLUE,0,0.06666666666666667,8,3,0,2,0,0.06666666666666667,14,3,0,2
17,587,6894,8804,8727,4561,10079,114•,103•,RED,0,0.0,33,7,0,2,0,1.2000000000000002,16,9,1,2
18,3822,8757,10030,8429,9607,7763,47•,101•,BLUE,1,0.03333333333333333,10,1,0,2,0,0.0,19,6,2,2
19,9259,10178,8758,7890,9707,9724,36•,63•,BLUE,0,0.06666666666666667,9,3,0,2,0,0.0,11,6,0,2
20,3229,1533,3459,6729,8304,2059,111•,80•,RED,0,0.9666666666666667,15,10,1,2,0,0.0,18,7,0,2
21,10009,8090,3336,9607,8757,10079,34,42•,BLUE,0,0.03333333333333333,10,2,0,1,0,0.03333333333333333,12,3,0,2
22,4829,9259,900,8429,10141,3822,66•,76•,BLUE,0,0.06666666666666667,15,6,0,2,0,0.03333333333333333,9,7,1,2
23,8727,7763,1533,3459,4795,587,185,174•,RED,0,1.0666666666666667,25,14,3,1,1,0.06666666666666667,22,18,1,2
24,4816,4561,5679,2640,9724,6729,45,66•,BLUE,0,0.06666666666666667,7,5,0,1,0,0.0,15,6,0,2
25,3349,6502,10178,9707,10208,10030,42•,50,BLUE,0,0.06666666666666667,8,4,0,2,0,0.06666666666666667,13,3,0,1
26,4861,8746,3229,8205,8804,8758,58•,40•,RED,0,0.0,13,4,0,2,0,0.0,12,2,0,2
27,8304,7890,8090,2059,6894,4561,57•,148•,BLUE,0,0.0,8,6,0,2,0,0.06666666666666667,39,8,1,2
28,9707,8757,10141,6729,10009,3349,56•,56•,TIE,0,0.03333333333333333,11,6,0,2,0,0.03333333333333333,13,5,0,2
29,4816,3336,8758,8804,4795,6502,26,103•,BLUE,0,0.0,8,1,0,1,1,0.06666666666666667,17,7,1,2
30,2640,7890,6894,10030,3459,900,95•,83•,RED,0,0.0,24,7,0,2,0,0.1,15,8,0,2
31,10208,3229,8205,9259,8727,5679,60•,57•,RED,0,0.03333333333333333,8,9,0,2,0,0.09999999999999999,14,3,0,2
32,8746,9724,7763,9607,4829,1533,108,65•,RED,0,0.0,20,6,1,1,0,0.9666666666666667,20,3,0,2
33,10178,587,8304,3822,2059,4861,72•,90•,BLUE,0,0.06666666666666667,17,7,0,2,0,0.0,27,6,0,2
34,7890,10030,10079,8429,6729,8090,67•,84•,BLUE,0,0.06666666666666667,10,7,0,2,0,0.0,15,8,1,2
35,4561,4829,3349,6502,8758,8727,109•,74•,RED,0,0.06666666666666667,19,9,1,2,0,0.09999999999999999,24,3,0,2
36,7763,5679,9707,1533,3822,10208,77•,65•,RED,0,0.0,14,6,1,2,0,2.0,11,3,1,2
37,900,8746,9607,10079,2059,4816,74•,73•,RED,0,0.06666666666666667,21,6,0,2,0,0.03333333333333333,14,7,0,2
38,9724,8205,8429,8804,8304,8757,85,52•,RED,0,0.0,11,9,1,1,0,0.0,11,5,0,2
39,4795,10009,3229,9259,3459,2640,118,61•,RED,0,0.1,18,13,0,1,1,0.0,10,4,0,2
40,6894,10141,10178,3336,4861,587,99•,72•,RED,1,0.1,27,3,0,2,0,0.0,13,9,0,2
41,5679,6729,9607,8304,900,6502,42•,86,BLUE,0,0.0,13,2,0,2,0,0.06666666666666667,25,6,0,1
42,10030,4829,2059,8804,4816,9707,100•,40•,RED,0,0.03333333333333333,25,9,0,2,0,0.0,9,4,0,2
43,587,8429,9259,3349,2640,3336,125•,50•,RED,0,0.0,18,13,1,2,0,0.0,14,3,0,2
44,8727,3822,7890,1533,10009,10141,122•,69•,RED,1,0.09999999999999999,20,8,1,2,0,1.0333333333333334,8,6,1,2
45,7763,8090,8758,8746,8205,4561,82•,80•,RED,0,0.0,24,2,1,2,0,0.06666666666666667,15,7,1,2
46,8757,4795,10178,9724,6894,3229,101•,56•,RED,0,2.1333333333333333,13,10,1,2,0,0.0,14,4,0,2
47,10079,10208,5679,3459,4861,8429,28,102•,BLUE,0,0.06666666666666667,7,2,0,1,0,0.0,13,11,1,2
48,2640,9607,4816,3349,8758,8304,46•,34,RED,0,0.0,11,4,0,2,0,0.0,14,0,0,1
49,8757,8090,8205,6729,9707,9259,40•,58•,BLUE,0,0.0,10,3,0,2,0,0.0,18,4,0,2
50,10079,4861,6502,10141,3229,8727,54•,94,BLUE,0,0.03333333333333333,13,4,0,2,0,0.13333333333333333,9,11,1,1
51,4795,9724,10030,10009,3822,3459,100•,76•,RED,0,0.1,18,9,1,2,0,0.03333333333333333,23,3,0,2
52,900,1533,2059,3336,8804,4561,126•,58•,RED,0,1.0333333333333334,23,12,0,2,0,0.06666666666666667,11,4,0,2
53,10208,587,7890,4829,6894,8746,102•,118,BLUE,0,0.03333333333333333,16,11,0,2,0,0.0,42,4,0,1
54,7763,10030,2640,10178,8727,10009,119•,98•,RED,0,0.03333333333333333,22,10,1,2,0,0.19999999999999998,21,6,1,2
55,6729,6502,8757,9607,9259,2059,74•,66•,RED,0,0.0,17,7,0,2,1,0.0,11,5,0,2
56,10208,3336,4795,4861,8304,9707,83•,60•,RED,0,0.1,14,9,0,2,0,0.0,16,5,0,2
57,10178,3459,4561,3229,8429,4829,110•,127•,BLUE,0,0.13333333333333333,16,9,1,2,0,0.0,18,14,1,2
58,8090,1533,9724,8758,900,6894,61•,80•,BLUE,0,0.9666666666666667,10,5,1,2,0,0.06666666666666667,24,4,0,2
59,8205,10141,4816,7763,587,3822,56•,129•,BLUE,0,0.03333333333333333,12,6,0,2,0,0.0,29,8,1,2
60,5679,8804,7890,8746,3349,10079,53•,50•,RED,0,0.0,9,4,0,2,0,0.03333333333333333,15,2,0,2
61,10009,4561,9259,9607,10030,6894,76•,85•,BLUE,0,0.1,10,8,1,2,1,0.03333333333333333,23,3,0,2
62,8429,9707,10178,8090,8727,4816,78•,76•,RED,0,0.06666666666666667,14,8,1,2,0,0.09999999999999999,13,5,1,2
63,5679,3229,8304,8757,8758,7890,56,52•,RED,0,0.0,13,6,0,1,0,0.0,11,5,0,2
64,4861,6729,8205,587,8746,2640,70•,109•,BLUE,0,0.0,22,4,0,2,0,0.0,23,11,0,2
65,6502,2059,10208,1533,10079,4795,81•,132•,BLUE,0,0.03333333333333333,18,6,0,2,0,0.06666666666666667,19,14,0,2
66,3822,3349,900,4829,7763,8804,46•,98•,BLUE,0,0.06666666666666667,14,2,0,2,0,0.0,17,7,1,2
67,3336,3459,9607,10141,4561,9724,67•,68•,BLUE,0,0.0,22,2,0,2,0,0.1,13,4,0,2
68,8304,8429,8746,2059,10009,9707,82•,73•,RED,0,0.0,17,7,0,2,0,0.03333333333333333,18,5,0,2
69,900,7763,3229,6502,1533,6894,123•,115,RED,0,0.06666666666666667,32,10,0,2,0,0.9666666666666667,34,6,0,1
70,10030,3336,10141,5679,9724,587,75•,41,RED,1,0.06666666666666667,12,6,0,2,0,0.0,9,2,0,1
71,8758,3822,2640,8727,8757,10208,55•,86•,BLUE,1,0.0,14,0,0,2,0,0.13333333333333333,21,7,0,2
72,8090,8804,3459,4816,4861,9259,62•,46•,RED,0,0.0,17,4,0,2,0,0.0,9,6,0,2
73,4795,4829,6729,10079,10178,8205,146,46•,RED,0,0.06666666666666667,29,10,1,1,0,0.1,9,5,0,2
74,3349,8429,8727,7890,7763,3336,111•,105,RED,1,0.09999999999999999,15,8,1,2,0,0.0,15,10,1,1
75,6894,9259,3822,2059,5679,8746,52•,57•,BLUE,0,0.0,23,0,0,2,0,0.0,12,4,0,2
76,10009,6502,9724,8090,10208,4861,42•,54,BLUE,0,0.03333333333333333,9,4,0,2,0,1.0333333333333334,12,5,0,1
77,3459,8758,9707,900,587,8757,79•,97•,BLUE,0,0.0,22,5,0,2,0,0.06666666666666667,18,10,0,2
78,8205,3349,4795,4561,7890,9607,113•,78•,RED,0,0.06666666666666667,20,9,1,2,0,0.06666666666666667,14,8,1,2
79,2640,10079,8804,10178,6729,1533,38,110•,BLUE,0,0.03333333333333333,6,4,0,1,1,1.0333333333333334,13,10,1,2
80,8304,4829,10141,4816,3229,10030,70•,48•,RED,0,0.03333333333333333,17,7,0,2,0,0.03333333333333333,8,5,0,2
