Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,8429,11,1,0,12,33,2.75,1141,15,0,386,475,120,23
2,4795,11,1,0,12,31,2.5833333333333335,1456,30,4,510,604,90,21
3,7763,11,1,0,12,30,2.5,1378,0,2,568,480,140,20
4,8746,9,3,0,12,28,2.3333333333333335,976,0,0,496,310,30,22
5,3229,9,3,0,12,27,2.25,960,15,1,356,414,30,21
6,4829,9,3,0,12,27,2.25,1115,0,1,548,368,40,21
7,9607,7,5,0,12,26,2.1666666666666665,801,60,1,426,199,30,24
8,6729,7,4,1,12,25,2.0833333333333335,1064,30,4,482,361,50,22
9,10141,7,4,1,12,25,2.0833333333333335,850,30,2,334,312,30,22
10,8804,7,5,0,12,25,2.0833333333333335,840,30,0,368,281,30,23
11,8727,7,5,0,12,24,2.0,1249,60,6,520,394,100,22
12,587,7,5,0,12,24,2.0,1292,30,2,554,511,40,22
13,6894,7,5,0,12,24,2.0,1070,30,1,684,231,10,22
14,2059,6,6,0,12,24,2.0,1075,15,2,528,391,20,24
15,9707,6,5,1,12,24,2.0,747,15,0,368,247,20,23
16,900,7,5,0,12,24,2.0,1016,0,2,508,366,10,22
17,7890,6,6,0,12,23,1.9166666666666667,1016,15,1,382,437,50,23
18,9724,7,5,0,12,23,1.9166666666666667,838,15,1,360,282,40,21
19,4861,6,6,0,12,23,1.9166666666666667,863,0,2,410,303,30,23
20,3822,5,7,0,12,22,1.8333333333333333,879,60,4,452,196,40,24
21,10030,6,6,0,12,22,1.8333333333333333,884,45,0,396,287,20,22
22,10178,5,7,0,12,22,1.8333333333333333,912,30,6,376,320,50,24
23,3459,5,7,0,12,22,1.8333333333333333,1089,30,1,468,403,40,24
24,2640,6,6,0,12,22,1.8333333333333333,853,30,0,406,276,20,22
25,8757,5,6,1,12,22,1.8333333333333333,778,15,5,326,291,20,23
26,1533,6,6,0,12,21,1.75,1211,15,18,444,465,100,21
27,9259,4,8,0,12,20,1.6666666666666667,825,30,1,356,316,40,24
28,3349,4,7,1,12,20,1.6666666666666667,754,30,0,346,232,30,23
29,8205,5,7,0,12,20,1.6666666666666667,781,0,0,350,283,30,22
30,10208,5,7,0,12,19,1.5833333333333333,766,0,6,326,293,20,21
31,8090,5,7,0,12,19,1.5833333333333333,733,0,3,338,222,50,21
32,4561,4,8,0,12,18,1.5,1074,0,2,422,394,90,22
33,3336,4,8,0,12,17,1.4166666666666667,738,15,0,338,261,10,21
34,8304,5,7,0,12,17,1.4166666666666667,879,0,0,414,336,10,19
35,5679,5,7,0,12,17,1.4166666666666667,601,0,0,294,193,10,19
36,10079,3,9,0,12,16,1.3333333333333333,766,0,2,314,305,20,22
37,6502,3,9,0,12,14,1.1666666666666667,843,15,1,460,241,10,20
38,8758,2,10,0,12,14,1.1666666666666667,653,15,0,390,125,20,22
39,10009,2,9,1,12,14,1.1666666666666667,828,0,2,374,283,30,21
40,4816,1,11,0,12,11,0.9166666666666666,621,0,1,254,242,20,21
