#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,2642,9032,5511,6908,5190,10151,188,82,RED
2,6639,8738,5518,435,977,5607,169,83,RED
3,1501,422,5919,10013,9008,6500,203,137,RED
4,4828,3737,5160,8746,4534,6004,159,120,RED
5,6908,5190,10151,435,977,5607,75,92,BLUE
6,10013,9008,6500,8746,4534,6004,138,142,BLUE
7,2642,9032,5511,6639,8738,5518,174,138,RED
8,1501,422,5919,4828,3737,5160,180,179,RED
9,6639,8738,5518,8746,4534,6004,149,138,RED
10,4828,3737,5160,435,977,5607,150,102,RED
11,2642,9032,5511,1501,422,5919,143,196,BLUE
12,4828,3737,5160,6639,8738,5518,206,168,RED
13,2642,9032,5511,4828,3737,5160,164,191,BLUE
14,1501,422,5919,4828,3737,5160,212,131,RED
15,1501,422,5919,4828,3737,5160,168,213,BLUE
16,1501,422,5919,4828,3737,5160,196,215,BLUE
