#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,5919,5607,435,9259,5160,10013,54•,76•,BLUE,0,0.0,15,4,0,2,0,0.1,6,9,1,2
2,7671,10009,5190,6500,10151,8090,42,66•,BLUE,0,0.03333333333333333,13,2,0,1,0,0.03333333333333333,18,5,0,2
3,8746,10178,977,5518,5511,4861,73•,60•,RED,0,0.9,18,6,0,2,0,0.0,17,5,0,2
4,9788,4828,9032,6240,6004,8804,111•,30•,RED,1,0.06666666666666667,21,8,0,2,0,0.0,8,2,0,2
5,2642,4935,1501,9008,4534,9042,157•,84,RED,1,1.2666666666666668,16,13,1,2,0,0.8666666666666667,10,11,0,1
6,6908,3737,8738,8758,422,6639,110•,92•,RED,0,0.9,20,9,1,2,0,0.1,24,5,1,2
7,9789,8746,8090,5511,7671,9259,71•,40•,RED,1,0.0,15,4,0,2,0,0.0,10,4,0,2
8,5160,9788,10009,6240,4935,5190,82•,24•,RED,1,0.1,14,7,0,2,0,0.0,7,1,0,2
9,4828,977,8758,5607,5518,422,99•,108•,BLUE,0,0.9,18,7,1,2,1,0.06666666666666667,18,7,1,2
10,4861,6500,8804,3737,435,9042,58•,60•,BLUE,0,0.0,12,6,0,2,0,0.0,16,5,0,2
11,1501,9008,5919,9789,6908,6639,106•,72•,RED,0,2.1,16,10,1,2,1,0.03333333333333333,13,2,1,2
12,10151,8738,10178,4534,2642,9032,106•,153•,BLUE,1,1.0,16,8,1,2,1,0.03333333333333333,30,12,0,2
13,5160,5511,6004,10013,10009,422,68•,71•,BLUE,0,0.06666666666666667,7,6,1,2,0,0.13333333333333333,9,7,1,2
14,5607,5190,9789,8746,3737,5518,50•,99•,BLUE,0,0.0,13,4,0,2,1,0.0,26,5,0,2
15,8090,9008,7671,2642,435,9788,59•,85•,BLUE,0,0.8666666666666667,14,5,0,2,0,0.03333333333333333,18,6,1,2
16,8758,6004,10178,6908,9042,4828,42,87•,BLUE,0,0.06666666666666667,14,1,0,1,0,0.06666666666666667,8,11,1,2
17,10151,4534,9259,6500,6240,1501,89•,123•,BLUE,0,0.03333333333333333,15,11,0,2,1,1.2333333333333334,14,11,1,2
18,5919,8738,6639,977,4861,4935,109•,67•,RED,0,0.9333333333333333,16,8,2,2,0,0.8333333333333334,17,5,0,2
19,10013,9032,9042,8804,5160,7671,76•,72•,RED,0,0.03333333333333333,25,3,0,2,0,0.06666666666666667,9,10,0,2
20,6004,1501,422,9788,6500,9789,190•,46•,RED,1,1.3,23,16,3,2,0,0.0,13,3,0,2
21,9008,5190,8758,9259,977,2642,70,109•,BLUE,0,0.8666666666666667,14,6,0,1,0,0.8666666666666667,21,8,1,2
22,10151,3737,6240,4861,5919,9032,64•,68•,BLUE,0,1.0333333333333334,23,2,0,2,0,0.0,19,5,0,2
23,10178,10013,6908,5607,8738,5511,46•,96•,BLUE,0,0.1,10,4,0,2,1,0.9,20,3,1,2
24,4828,5518,4534,8090,10009,6639,112•,85•,RED,0,0.06666666666666667,10,16,1,2,1,0.06666666666666667,17,3,1,2
25,4935,8804,422,8746,435,7671,80•,42•,RED,0,0.06666666666666667,10,5,1,2,0,0.0,13,2,0,2
26,5190,6908,6500,977,9032,6004,83•,106•,BLUE,1,0.0,18,6,0,2,1,0.8333333333333334,25,6,0,2
27,6639,6240,4828,9042,1501,10151,97•,88•,RED,0,0.1,15,11,0,2,0,1.2666666666666668,6,11,1,2
28,4534,4861,8758,9008,5607,10013,69•,85•,BLUE,0,0.0,8,9,0,2,1,-0.1,13,7,0,2
29,5160,4935,3737,8090,10178,5518,105•,42•,RED,0,0.06666666666666667,17,11,1,2,0,0.06666666666666667,12,3,0,2
30,8746,9259,9788,8738,2642,10009,48•,119•,BLUE,0,0.0,16,2,0,2,1,0.9666666666666667,13,8,2,2
31,9789,5919,977,8804,5511,435,55•,44•,RED,0,0.8333333333333334,11,6,0,2,0,0.0,13,3,0,2
32,5160,9032,9008,3737,5190,1501,133•,145•,BLUE,1,0.9333333333333333,23,10,1,2,0,1.2333333333333334,29,12,2,2
33,10009,6004,4861,10178,5607,2642,58•,102•,BLUE,0,0.03333333333333333,10,6,0,2,0,0.1,18,9,1,2
34,8090,8804,4534,422,8746,5919,66•,113•,BLUE,0,0.0,10,8,0,2,0,1.0666666666666667,22,9,1,2
35,9259,6908,6240,435,6639,10151,24•,60•,BLUE,0,0.0,7,2,0,2,0,0.06666666666666667,20,2,0,2
36,5511,9042,6500,8738,5518,9788,58•,53•,RED,0,0.0,7,9,0,2,0,-0.09999999999999999,13,2,1,2
37,4828,10013,7671,8758,9789,4935,55•,28•,RED,0,0.1,6,5,1,2,0,0.0,13,-1,0,2
38,5190,9259,8090,6004,6908,4534,32•,75,BLUE,0,0.0,12,1,0,2,0,0.0,11,9,0,1
39,8804,977,8738,1501,10178,5160,116•,142•,BLUE,0,1.7333333333333334,19,11,1,2,1,2.3666666666666667,10,12,2,2
40,422,9788,4861,4935,6639,9032,78•,96•,BLUE,0,0.06666666666666667,15,7,1,2,1,0.03333333333333333,22,2,1,2
41,5511,9789,10009,7671,10151,5607,32,46,BLUE,0,0.03333333333333333,6,3,0,1,0,0.03333333333333333,16,2,0,1
