Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,2642,11,1,0,12,33,2.75,1367,4,3,218,107,12,23
2,1501,10,2,0,12,31,2.5833333333333335,1547,5,18,174,140,18,23
3,9032,9,3,0,12,30,2.5,1202,5,1,299,70,3,24
4,422,9,3,0,12,30,2.5,1380,4,2,223,113,13,24
5,4828,8,4,0,12,28,2.3333333333333335,1172,3,2,144,114,11,24
6,6639,8,4,0,12,28,2.3333333333333335,1075,3,0,235,64,11,24
7,8738,8,4,0,12,27,2.25,1382,6,6,207,108,14,23
8,435,7,5,0,12,26,2.1666666666666665,850,3,3,183,61,4,24
9,8746,7,5,0,12,26,2.1666666666666665,1008,3,1,240,64,4,24
10,3737,7,5,0,12,26,2.1666666666666665,1091,2,2,253,82,6,24
11,10013,7,5,0,12,26,2.1666666666666665,822,2,2,142,66,5,24
12,6908,8,4,0,12,25,2.0833333333333335,963,3,2,168,76,7,21
13,5607,8,4,0,12,25,2.0833333333333335,902,3,1,198,64,4,21
14,977,7,5,0,12,25,2.0833333333333335,1020,2,1,210,85,4,23
15,5919,7,5,0,12,25,2.0833333333333335,939,1,3,176,82,5,23
16,6004,7,5,0,12,24,2.0,1000,3,2,190,80,5,22
17,6500,6,6,0,12,24,2.0,952,3,1,196,83,2,24
18,9008,7,5,0,12,24,2.0,1090,2,3,177,105,3,22
19,5160,7,5,0,12,23,1.9166666666666667,1105,4,2,133,117,9,21
20,5518,6,6,0,12,23,1.9166666666666667,878,2,1,193,69,4,23
21,4935,5,7,0,12,22,1.8333333333333333,857,4,1,166,57,4,24
22,9788,5,7,0,12,22,1.8333333333333333,795,2,0,181,58,4,24
23,10151,6,6,0,12,22,1.8333333333333333,901,1,5,201,73,3,22
24,5511,6,6,0,12,22,1.8333333333333333,908,1,2,150,88,7,22
25,4534,5,7,0,12,20,1.6666666666666667,1073,2,0,163,119,3,22
26,10009,5,7,0,12,19,1.5833333333333333,854,3,1,156,66,4,21
27,10178,4,8,0,12,19,1.5833333333333333,843,2,3,176,63,5,23
28,9259,4,8,0,12,19,1.5833333333333333,718,1,0,158,58,3,23
29,9042,5,7,0,12,19,1.5833333333333333,737,0,1,135,73,3,21
30,6240,4,8,0,12,18,1.5,708,2,2,160,51,2,22
31,9789,3,9,0,12,17,1.4166666666666667,718,2,3,141,53,4,23
32,5190,4,8,0,12,16,1.3333333333333333,941,2,1,181,85,6,20
33,8090,3,9,0,12,16,1.3333333333333333,821,2,1,171,62,3,22
34,8758,3,9,0,12,16,1.3333333333333333,754,2,0,164,49,4,22
35,7671,3,9,0,12,15,1.25,592,0,1,129,50,2,21
36,4861,2,10,0,12,15,1.25,822,0,0,169,70,3,23
37,8804,1,11,0,12,14,1.1666666666666667,811,1,1,154,70,3,24
