#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,5813,6933,1512,8544,319,3451,219,141,RED
2,3597,1277,811,8046,5459,6690,152,163,BLUE
3,8410,1922,8708,4905,9101,7913,124,155,BLUE
4,4546,509,1721,95,2523,9055,178,129,RED
5,8544,319,3451,3597,1277,811,168,157,RED
6,8410,1922,8708,95,2523,9055,139,138,RED
7,5813,6933,1512,8046,5459,6690,215,162,RED
8,4905,9101,7913,4546,509,1721,164,155,RED
9,8046,5459,6690,8410,1922,8708,137,173,BLUE
10,4546,509,1721,8544,319,3451,140,145,BLUE
11,5813,6933,1512,4905,9101,7913,190,146,RED
12,8544,319,3451,8410,1922,8708,148,163,BLUE
13,4905,9101,7913,8410,1922,8708,141,138,RED
14,5813,6933,1512,4905,9101,7913,185,151,RED
15,5813,6933,1512,4905,9101,7913,202,149,RED
