Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,5813,12,0,0,12,36,3.0,1607,3,14,229,137,15,24
2,8410,10,2,0,12,32,2.6666666666666665,1182,6,10,234,101,1,24
3,4546,11,1,0,12,32,2.6666666666666665,1362,1,8,258,106,13,22
4,3597,9,3,0,12,30,2.5,1004,5,4,230,76,1,24
5,1922,10,2,0,12,30,2.5,1186,4,4,312,69,2,22
6,8046,9,3,0,12,30,2.5,1085,2,9,200,93,2,24
7,5459,8,4,0,12,28,2.3333333333333335,1116,4,8,224,99,1,24
8,95,8,4,0,12,27,2.25,1133,6,7,213,92,2,23
9,509,7,5,0,12,26,2.1666666666666665,1137,4,3,208,116,2,24
10,4905,7,5,0,12,25,2.0833333333333335,1116,6,4,190,98,2,23
11,8544,7,5,0,12,25,2.0833333333333335,995,5,11,205,80,1,22
12,2523,7,5,0,12,25,2.0833333333333335,1029,4,14,228,71,2,23
13,1512,7,5,0,12,25,2.0833333333333335,884,4,8,211,54,1,23
14,6161,6,6,0,12,24,2.0,894,6,6,149,81,1,24
15,319,6,6,0,12,24,2.0,1034,4,10,170,106,1,24
16,9101,6,6,0,12,23,1.9166666666666667,993,5,7,192,87,1,23
17,7913,6,6,0,12,23,1.9166666666666667,981,2,8,187,92,1,23
18,9055,6,6,0,12,22,1.8333333333333333,868,4,1,210,62,0,22
19,811,5,7,0,12,22,1.8333333333333333,921,2,15,174,85,0,24
20,6933,6,6,0,12,22,1.8333333333333333,1126,1,7,316,67,1,22
21,6690,6,6,0,12,22,1.8333333333333333,841,1,4,205,65,1,22
22,8708,6,6,0,12,22,1.8333333333333333,878,1,3,186,80,1,22
23,1721,5,7,0,12,21,1.75,968,5,5,173,89,3,22
24,6691,5,7,0,12,21,1.75,781,4,11,122,78,1,23
25,5902,6,6,0,12,21,1.75,871,3,5,165,81,2,21
26,1277,5,7,0,12,21,1.75,1039,2,16,235,84,2,23
27,10083,6,6,0,12,20,1.6666666666666667,829,0,6,177,71,2,20
28,9732,4,8,0,12,19,1.5833333333333333,794,3,2,181,64,0,23
29,5491,4,8,0,12,19,1.5833333333333333,855,2,6,178,69,2,23
30,3451,5,7,0,12,19,1.5833333333333333,948,2,5,179,99,2,20
31,8421,3,9,0,12,18,1.5,837,3,13,153,79,1,24
32,7674,3,9,0,12,18,1.5,772,1,15,157,68,0,24
33,1307,4,8,0,12,18,1.5,846,1,8,180,69,2,22
34,10125,4,8,0,12,17,1.4166666666666667,757,1,7,173,61,0,21
35,2262,3,9,0,12,17,1.4166666666666667,830,1,3,179,67,2,23
36,1831,3,9,0,12,16,1.3333333333333333,637,3,5,166,41,0,22
37,5265,3,9,0,12,16,1.3333333333333333,686,3,3,171,46,0,22
38,4925,3,9,0,12,15,1.25,681,1,12,174,42,1,21
39,1247,3,9,0,12,14,1.1666666666666667,787,2,4,168,59,3,20
