#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1923,11,3515,5438,204,708,178,133,RED
2,2720,9094,203,2722,1811,87,158,178,BLUE
3,2607,1403,4653,10212,2495,7110,191,92,RED
4,365,25,1647,1257,1279,8721,135,118,RED
5,5438,204,708,2720,9094,203,144,171,BLUE
6,10212,2495,7110,1257,1279,8721,130,122,RED
7,1923,11,3515,2722,1811,87,157,172,BLUE
8,2607,1403,4653,365,25,1647,207,99,RED
9,1923,11,3515,10212,2495,7110,191,111,RED
10,365,25,1647,2720,9094,203,144,138,RED
11,2722,1811,87,2607,1403,4653,229,239,BLUE
12,365,25,1647,1923,11,3515,157,222,BLUE
13,2722,1811,87,1923,11,3515,153,194,BLUE
14,2607,1403,4653,1923,11,3515,203,216,BLUE
15,2607,1403,4653,1923,11,3515,212,192,RED
15,2607,1403,4653,1923,11,3515,193,193,TIE
16,2607,1403,4653,1923,11,3515,172,184,BLUE
