Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1923,10,1,1,12,32,2.6666666666666665,1442,75,56,416,536,120,23
2,2607,10,2,0,12,32,2.6666666666666665,1485,60,39,450,596,140,24
3,1403,10,2,0,12,31,2.5833333333333335,1548,45,23,346,684,210,23
4,365,9,3,0,12,30,2.5,1214,60,22,242,594,110,24
5,2720,10,2,0,12,30,2.5,1251,30,22,482,383,150,21
6,11,8,4,0,12,27,2.25,1462,60,27,280,810,120,23
7,25,8,4,0,12,27,2.25,1030,45,42,450,293,60,23
8,2722,8,4,0,12,26,2.1666666666666665,1333,60,19,384,563,120,22
9,9094,8,4,0,12,26,2.1666666666666665,1341,30,41,376,608,120,22
10,1257,7,5,0,12,26,2.1666666666666665,1023,30,14,238,519,60,24
11,10212,7,4,1,12,26,2.1666666666666665,968,15,21,378,375,50,23
12,5438,7,4,1,12,26,2.1666666666666665,988,0,33,388,376,40,23
13,2495,6,6,0,12,24,2.0,1101,60,29,312,505,40,24
14,4750,7,5,0,12,24,2.0,877,0,45,290,357,40,22
15,10152,6,6,0,12,23,1.9166666666666667,962,30,21,296,380,80,23
16,4653,6,6,0,12,23,1.9166666666666667,901,15,22,464,240,40,23
17,1811,5,6,1,12,22,1.8333333333333333,1191,45,39,478,368,120,23
18,1279,5,7,0,12,22,1.8333333333333333,1004,45,36,470,286,40,24
19,203,5,7,0,12,22,1.8333333333333333,992,45,25,358,346,70,24
20,7110,5,7,0,12,22,1.8333333333333333,913,30,32,382,303,50,24
21,8130,6,6,0,12,22,1.8333333333333333,754,15,24,256,319,30,20
22,708,5,7,0,12,22,1.8333333333333333,1047,15,20,384,398,80,24
23,5407,5,7,0,12,21,1.75,959,45,38,266,419,70,23
24,752,5,7,0,12,21,1.75,831,0,24,354,275,70,23
25,1647,5,7,0,12,21,1.75,931,0,21,420,286,70,23
26,3515,5,7,0,12,20,1.6666666666666667,860,15,35,338,308,40,22
27,303,4,7,1,12,19,1.5833333333333333,786,30,40,298,279,40,22
28,5732,4,8,0,12,19,1.5833333333333333,828,15,33,334,309,40,23
29,428,4,7,1,12,19,1.5833333333333333,784,0,24,410,207,30,21
30,87,3,9,0,12,18,1.5,952,15,42,370,333,70,24
31,204,3,9,0,12,17,1.4166666666666667,988,60,44,328,404,40,23
32,9424,3,9,0,12,17,1.4166666666666667,834,60,22,276,338,50,23
33,10043,4,8,0,12,17,1.4166666666666667,894,30,26,300,352,40,20
34,8721,2,10,0,12,15,1.25,906,15,40,372,305,40,23
35,8704,2,10,0,12,12,1.0,872,30,39,324,281,60,19
