#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1391,103,193,6808,834,293,253,169,RED
2,222,5895,272,341,4575,75,243,164,RED
3,1807,1768,321,4638,714,484,197,114,RED
4,1640,5684,8117,4285,219,8630,169,181,BLUE
5,6808,834,293,341,4575,75,190,176,RED
6,4638,714,484,1640,5684,8117,119,159,BLUE
7,1391,103,193,222,5895,272,218,181,RED
8,1807,1768,321,4285,219,8630,216,198,RED
9,222,5895,272,1640,5684,8117,277,179,RED
10,4285,219,8630,6808,834,293,166,154,RED
11,1391,103,193,1807,1768,321,231,272,BLUE
12,4285,219,8630,222,5895,272,182,219,BLUE
13,1391,103,193,222,5895,272,250,214,RED
14,1807,1768,321,1391,103,193,240,227,RED
15,1807,1768,321,1391,103,193,227,267,BLUE
16,1807,1768,321,1391,103,193,206,244,BLUE
