#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,5895,3142,193,219,484,1807,93•,121•,BLUE,0,2.0666666666666664,17,6,1,2,1,1.1666666666666667,17,9,1,2
2,8117,6808,8075,4638,103,321,55•,125•,BLUE,0,2.8666666666666667,13,4,0,2,0,2.666666666666667,18,12,1,2
3,6860,423,1391,834,6945,5490,105•,67•,RED,1,2.0,21,8,0,2,0,1.9,20,3,0,2
4,75,341,10146,272,4285,4575,76•,121•,BLUE,0,1.9666666666666668,12,4,1,2,0,1.166666666666667,23,9,1,2
5,1640,1768,2180,293,8630,1672,123•,73•,RED,0,1.0666666666666667,20,10,1,2,0,2.7666666666666666,10,4,1,2
6,5684,714,2458,1143,4361,222,75•,134•,BLUE,0,0.26666666666666666,12,8,0,2,1,0.09999999999999999,13,15,1,2
7,103,1391,5490,423,8075,219,187•,66•,RED,0,1.7,28,15,3,2,0,1.0,18,4,0,2
8,6945,293,6860,3142,4575,341,72•,112•,BLUE,0,1.8666666666666667,18,2,1,2,0,1.0333333333333334,16,8,1,2
9,10146,1672,321,5684,4638,222,67•,118•,BLUE,0,1.8333333333333335,12,7,0,2,0,1.1333333333333335,14,12,2,2
10,2458,2180,8630,5895,1807,714,64•,172•,BLUE,0,1.0666666666666667,18,5,0,2,0,1.2000000000000002,23,17,2,2
11,4361,834,6808,4285,484,1768,121•,165•,BLUE,1,1.0,27,9,0,2,1,1.1666666666666667,20,14,2,2
12,272,1143,1640,193,75,8117,134•,69•,RED,1,1.1,12,13,1,2,0,2.9,20,4,0,2
13,4638,423,293,219,2180,1672,84•,80•,RED,0,1.8,14,7,1,2,0,1.1,19,6,0,2
14,1768,714,321,4575,1391,484,115•,130•,BLUE,0,2.9333333333333336,25,5,1,2,0,1.1,24,12,1,2
15,341,8075,8630,4361,2458,4285,79•,104•,BLUE,0,2.8666666666666663,15,8,0,2,0,0.13333333333333333,15,9,1,2
16,5895,8117,5684,3142,75,1143,148,86•,RED,0,1.1,18,13,2,1,0,1.0,19,7,0,2
17,193,6945,272,6860,6808,222,83•,114•,BLUE,0,2.966666666666667,20,7,0,2,0,1.1333333333333335,17,12,1,2
18,1640,103,834,10146,5490,1807,175•,90,RED,1,0.9666666666666667,26,11,2,2,0,1.9,11,9,1,1
19,1391,293,341,714,75,4361,161•,92•,RED,0,2.7333333333333334,19,17,2,2,0,1.1333333333333333,22,7,0,2
20,6860,5684,321,219,1768,5895,76•,163•,BLUE,0,0.9666666666666667,9,9,0,2,0,1.0666666666666667,25,10,3,2
21,423,193,1143,6808,2180,3142,65•,82•,BLUE,0,0.9666666666666667,20,4,0,2,0,1.0666666666666669,20,7,0,2
22,1672,222,4575,10146,834,8630,87•,66•,RED,0,1.1,13,9,1,2,0,1.0333333333333334,20,3,0,2
23,484,4638,272,5490,1640,2458,60•,92,BLUE,0,2.1333333333333337,9,8,0,2,0,1.0,10,12,0,1
24,103,1807,8117,6945,8075,4285,140•,77,RED,0,2.8,20,13,1,2,0,2.0,9,6,1,1
25,75,6860,4575,4361,2180,423,62•,62•,TIE,0,2.0666666666666664,16,3,0,2,0,0.06666666666666667,18,3,0,2
26,834,1768,3142,1640,8630,5895,141•,165•,BLUE,0,1.0,29,11,1,2,1,2.1,20,13,2,2
27,272,2458,103,5684,193,484,130•,97,RED,1,1.9333333333333336,18,9,2,2,0,1.1666666666666667,22,6,1,1
28,6945,1672,6808,321,1807,8075,76•,106,BLUE,1,2.9,16,4,0,2,0,2.7333333333333334,12,11,1,1
29,10146,1143,219,1391,714,4638,78•,104•,BLUE,0,0.1,23,3,0,2,0,2.0666666666666664,28,5,0,2
30,222,341,4285,8117,5490,293,134•,95•,RED,0,1.1666666666666667,10,18,1,2,0,2.7,20,7,0,2
31,8075,6860,834,8630,5684,75,58,101•,BLUE,0,1.0333333333333334,14,5,0,1,0,2.0,13,10,1,2
32,3142,484,1640,1143,4575,103,130•,128,RED,1,0.23333333333333334,20,11,1,2,0,0.9,25,12,1,1
33,714,1672,5490,1807,272,1768,68•,192•,BLUE,0,2.033333333333333,12,7,0,2,1,2.9333333333333336,21,18,2,2
34,222,10146,2458,423,6945,8117,63•,57•,RED,0,0.16666666666666666,8,8,0,2,0,1.9333333333333333,20,2,0,2
35,193,219,4638,4285,6808,293,66•,128•,BLUE,0,2.0,18,4,0,2,0,0.9,21,10,1,2
36,321,4361,1391,2180,5895,341,113•,129•,BLUE,0,1.7666666666666666,21,10,1,2,0,1.1,20,9,2,2
37,75,103,423,1672,2458,1768,143•,115•,RED,1,1.8333333333333335,27,9,1,2,0,2.9333333333333336,17,11,1,2
38,293,1807,4575,4638,1143,8075,180•,43•,RED,0,1.8333333333333335,24,13,3,2,0,1.9,8,4,0,2
39,714,8630,193,6808,1391,5684,76•,121•,BLUE,0,2.0999999999999996,25,2,0,2,0,0.9666666666666667,18,9,2,2
40,219,341,484,1640,6860,10146,137•,88•,RED,1,1.1666666666666667,22,13,1,2,1,0.16666666666666666,8,7,1,2
41,5490,4285,2180,321,5895,6945,79,113•,BLUE,0,1.0666666666666667,9,7,1,1,0,1.8666666666666667,25,7,1,2
42,3142,8117,4361,834,222,272,82•,123•,BLUE,0,0.0,18,7,0,2,1,1.1666666666666667,19,9,1,2
43,2458,293,484,1672,5684,103,82•,158•,BLUE,0,0.0,15,9,0,2,0,1.9000000000000001,23,14,3,2
44,8075,2180,75,321,1640,219,63•,89•,BLUE,0,1.9666666666666668,18,3,0,2,0,-0.033333333333333326,25,6,0,2
45,1143,8630,1391,341,272,5490,115•,83•,RED,1,1.9,17,9,1,2,0,2.9,8,9,1,2
46,1768,4575,6808,6945,3142,10146,120•,72•,RED,0,1.9333333333333333,32,7,0,2,0,1.0333333333333334,23,4,0,2
47,714,834,8117,4361,4638,6860,92•,54,RED,0,1.1666666666666667,24,7,0,2,0,1.0333333333333334,9,6,0,1
48,4285,193,1807,423,222,5895,157•,140,RED,0,2.033333333333333,18,12,2,2,0,0.16666666666666666,27,7,3,1
49,6808,272,10146,103,293,2180,58,173•,BLUE,0,2.033333333333333,7,6,0,1,1,1.7666666666666668,24,12,2,2
50,8630,6860,219,8117,1768,1143,101•,122•,BLUE,1,2.1,30,3,0,2,0,1.9,22,10,1,2
51,2458,5895,4638,1391,4285,834,140•,166•,BLUE,0,1.0666666666666667,14,15,2,2,0,1.0666666666666669,27,15,2,2
52,5490,4361,5684,4575,1640,423,126•,91•,RED,0,0.9666666666666667,18,12,1,2,0,0.1,23,7,0,2
53,1672,3142,1807,341,321,193,106•,96•,RED,0,0.9666666666666667,14,10,1,2,0,2.7666666666666666,13,6,1,2
54,8075,222,714,484,75,6945,105•,68•,RED,0,1.2000000000000002,15,12,0,2,0,2.0666666666666664,21,3,0,2
55,2180,4575,8117,834,219,2458,68•,111•,BLUE,0,1.0666666666666667,17,5,0,2,1,0.13333333333333333,28,6,0,2
56,1807,4638,8630,3142,103,6860,129•,106•,RED,0,2.9,19,9,1,2,0,0.9666666666666667,20,5,2,2
57,222,1391,1640,4285,321,1143,153•,92•,RED,0,2.1,14,14,2,2,0,0.9333333333333333,10,12,0,2
58,1768,4361,6945,272,8075,5684,116•,111•,RED,0,1.9,25,7,1,2,0,2.0333333333333337,14,12,1,2
59,341,423,1672,484,6808,714,115•,80•,RED,1,1.9333333333333333,7,12,1,2,0,1.2666666666666668,21,6,0,2
