Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1391,11,1,0,12,34,2.8333333333333335,1568,45,39,546,571,150,24
2,1807,11,1,0,12,32,2.6666666666666665,1733,30,43,466,701,200,22
3,103,10,2,0,12,31,2.5833333333333335,1766,75,35,604,599,200,23
4,1640,10,2,0,12,31,2.5833333333333335,1570,75,21,450,644,140,23
5,222,10,2,0,12,31,2.5833333333333335,1447,60,19,422,608,150,23
6,341,8,4,0,12,28,2.3333333333333335,1423,30,43,372,609,130,24
7,1768,8,4,0,12,28,2.3333333333333335,1663,30,40,628,596,150,24
8,4285,9,3,0,12,28,2.3333333333333335,1486,15,24,422,639,150,22
9,219,6,6,0,12,25,2.0833333333333335,1243,75,24,630,315,50,24
10,4638,7,5,0,12,25,2.0833333333333335,1157,0,41,400,469,80,23
11,6808,6,6,0,12,24,2.0,1139,45,36,532,349,40,23
12,75,5,6,1,12,24,2.0,1114,30,44,566,296,50,24
13,293,6,6,0,12,24,2.0,1408,15,37,504,499,150,24
14,5895,7,5,0,12,24,2.0,1552,15,24,526,570,210,22
15,5684,7,5,0,12,24,2.0,1461,0,27,454,598,180,22
16,4575,6,5,1,12,24,2.0,1292,0,22,578,429,80,23
17,272,6,6,0,12,23,1.9166666666666667,1253,75,45,382,485,90,23
18,2458,6,6,0,12,23,1.9166666666666667,1121,45,17,388,454,70,23
19,8117,6,6,0,12,23,1.9166666666666667,1176,15,39,480,427,60,23
20,8630,5,7,0,12,22,1.8333333333333333,1116,60,46,474,329,60,24
21,1672,5,7,0,12,22,1.8333333333333333,1113,30,42,368,439,80,24
22,3142,5,7,0,12,22,1.8333333333333333,1190,15,21,474,410,80,24
23,714,5,7,0,12,22,1.8333333333333333,1192,0,33,576,385,30,24
24,484,5,7,0,12,21,1.75,1232,75,22,482,439,80,23
25,834,5,7,0,12,21,1.75,1315,60,19,628,383,70,23
26,321,5,7,0,12,21,1.75,1201,0,37,504,404,70,23
27,423,4,7,1,12,20,1.6666666666666667,1033,45,24,478,298,60,23
28,2180,4,7,1,12,20,1.6666666666666667,1111,30,22,486,337,70,23
29,4361,4,7,1,12,20,1.6666666666666667,1184,30,13,492,417,60,23
30,1143,4,8,0,12,19,1.5833333333333333,1135,45,16,422,429,60,23
31,193,3,9,0,12,17,1.4166666666666667,1155,30,41,480,340,90,23
32,6945,3,9,0,12,17,1.4166666666666667,1043,15,41,526,273,70,23
33,5490,4,8,0,12,17,1.4166666666666667,1117,0,36,410,436,80,21
34,6860,2,9,1,12,15,1.25,936,45,27,380,304,50,22
35,8075,3,9,0,12,15,1.25,938,0,43,356,363,30,21
36,10146,2,10,0,12,14,1.1666666666666667,951,15,22,370,335,50,22
